Affymetrix Probe Set	Locuslink	Cox score	p-value	Gene Name
209758_s_at	8076	30.3422259	3.62156E-08	Microfibril-associated glycoprotein-2
213764_s_at	8076	27.91977529	1.26451E-07	Microfibril-associated glycoprotein-2
213765_at	8076	21.97170791	2.76699E-06	Microfibril-associated glycoprotein-2
214043_at	5789	20.82280417	5.03795E-06	protein tyrosine phosphatase, receptor type, D
226084_at	4131	15.29818218	9.18048E-05	microtubule-associated protein 1B
232914_s_at	54843	13.95792329	0.000186948	synaptotagmin-like 2
204130_at	3291	13.93285854	0.000189457	hydroxysteroid (11-beta) dehydrogenase 2
218469_at	26585	13.28776025	0.000267144	cysteine knot superfamily 1, BMP antagonist 1
1552430_at	116966	13.01266752	0.000309391	WD repeat domain 17
225496_s_at	54843	12.47268994	0.000412945	synaptotagmin-like 2
222196_at		12.41687559	0.000425471	Homo sapiens cDNA FLJ20463 fis, clone KAT06143
232578_at	51208	11.79185638	0.000594904	claudin 18
238865_at	132430	11.79151484	0.000595013	Homo sapiens mRNA; cDNA DKFZp686J06116 (from clone DKFZp686J06116)
238717_at		11.74013972	0.000611664	Homo sapiens transcribed sequences
238580_at		11.56523153	0.000671965	Homo sapiens transcribed sequences
218240_at	28511	11.29786282	0.000775964	I-kappa-B-interacting Ras-like protein 2
228776_at		10.63346267	0.001110596	Homo sapiens cDNA FLJ40955 fis, clone UTERU2011199.
222834_s_at	55970	10.46782744	0.001214715	guanine nucleotide binding protein (G protein), gamma 12
204750_s_at	1824	10.36694624	0.001282916	desmocollin 2
214383_x_at	116138	8.698327942	0.003185021	kelch domain containing 3
1558683_a_at	8091	8.669733034	0.003235386	high mobility group AT-hook 2
224674_at	80727	8.456130309	0.003638151	tweety homolog 3 (Drosophila)
205331_s_at	51308	8.135331301	0.004341092	SGC32445 protein
1553608_a_at		8.08604136	0.004460749	gb:NM_138968.1 /DB_XREF=gi:20373184 /TID=Hs2.282882.1 /CNT=5 /FEA=FLmRNA /TIER=FL /STK=3 /LL=193629 /UG_GENE=C21orf109 /UG=Hs.282882 /UG_TITLE=chromosome 21 open reading frame 109 /DEF=Homo sapiens chromosome 21 open reading frame 109 (C21orf109), mRNA. /FL=gb:NM_138968.1 gb:AF490769.1
219735_s_at	29842	6.87795674	0.008726527	LBP protein; likely ortholog of mouse CRTR-1
1566893_at		6.62543288	0.010053271	gb:AL832401.1 /DB_XREF=gi:21732964 /TID=Hs2.377006.1 /CNT=1 /FEA=mRNA /TIER=ConsEnd /STK=0 /UG=Hs.377006 /UG_TITLE=Homo sapiens mRNA; cDNA DKFZp667B1113 (from clone DKFZp667B1113) /DEF=Homo sapiens mRNA; cDNA DKFZp667B1113 (from clone DKFZp667B1113).
1556329_a_at		4.441529009	0.035074827	Homo sapiens, clone IMAGE:5277693, mRNA
235708_at	152831	19.24436546	1.15009E-05	klotho beta like
213943_at	7291	18.57739807	1.63143E-05	twist homolog 1 (acrocephalosyndactyly 3; Saethre-Chotzen syndrome) (Drosophila)
205959_at	4322	17.52838933	2.8305E-05	matrix metalloproteinase 13 (collagenase 3)
203439_s_at	8614	17.45291968	2.94512E-05	stanniocalcin 2
213125_at	25903	17.35534771	3.10025E-05	DKFZP586L151 protein
220351_at	51554	17.27485333	3.23439E-05	chemokine (C-C motif) receptor-like 1
229088_at		16.46113525	4.96577E-05	Homo sapiens transcribed sequence with weak  similarity to protein ref:NP_060265.1 (H.sapiens)  hypothetical protein FLJ20378 [Homo sapiens]
210135_s_at	6474	16.42717892	5.05551E-05	short stature homeobox 2
229404_at	117581	16.33029866	5.32064E-05	twist homolog 2 (Drosophila)
228376_at		16.23538486	5.59395E-05	Homo sapiens, clone IMAGE:4812754, mRNA
210244_at	820	15.70390932	7.40709E-05	cathelicidin antimicrobial peptide
205066_s_at	5167	15.56696111	7.9634E-05	ectonucleotide pyrophosphatase/phosphodiesterase 1
244056_at		15.10745267	0.000101562	Homo sapiens clone DNA59854 GSGL541 (UNQ541) mRNA, complete cds
211372_s_at	7850	14.93099587	0.000111516	interleukin 1 receptor, type II
232523_at	84466	14.7084083	0.000125486	MEGF10 protein
204844_at	2028	14.45433158	0.000143599	glutamyl aminopeptidase (aminopeptidase A)
1556567_at	4676	13.66508198	0.000218479	nucleosome assembly protein 1-like 4
219213_at	58494	13.6092626	0.000225072	junctional adhesion molecule 2
229659_s_at	5284	13.58161201	0.000228412	polymeric immunoglobulin receptor
227376_at		13.26036373	0.000271077	Homo sapiens transcribed sequences
231130_at	51661	12.90678513	0.000327393	FK506 binding protein 7
227642_at	29842	12.81508396	0.000343836	LBP protein; likely ortholog of mouse CRTR-1
1556283_s_at	26127	12.72360898	0.000361068	DKFZP564O1863 protein
223472_at	7468	12.41683619	0.00042548	Wolf-Hirschhorn syndrome candidate 1
203700_s_at	1734	12.12843924	0.000496587	deiodinase, iodothyronine, type II
226612_at	134111	11.9566355	0.000544531	Homo sapiens cDNA FLJ25076 fis, clone CBL06117
206026_s_at	7130	11.25685533	0.000793295	tumor necrosis factor, alpha-induced protein 6
203735_x_at	8496	11.22901641	0.000805283	PTPRF interacting protein, binding protein 1 (liprin beta 1)
227235_at		11.22547034	0.000806823	Homo sapiens cDNA FLJ42250 fis, clone TKIDN2007828
231001_at		11.22433738	0.000807316	Homo sapiens cDNA clone MGC:24932 IMAGE:4938507, complete cds
203035_s_at	10401	11.08017384	0.000872556	protein inhibitor of activated STAT3
230440_at	84627	10.92677095	0.000947846	zinc finger protein 469
1564307_a_at	144568	10.88474486	0.000969595	hypothetical protein FLJ25179
230109_at	27115	10.72686688	0.001055911	phosphodiesterase 7B
231568_at	255313	10.61772435	0.001120088	hypothetical protein LOC255313
204690_at	9482	10.53050133	0.001174204	syntaxin 8
205749_at	1543	10.22447196	0.001385894	cytochrome P450, family 1, subfamily A, polypeptide 1
221942_s_at	2982	10.13213175	0.001457068	guanylate cyclase 1, soluble, alpha 3
203214_x_at	983	9.895742502	0.001656616	cell division cycle 2, G1 to S and G2 to M
206209_s_at	762	9.869275247	0.001680617	carbonic anhydrase IV
238934_at		9.846666178	0.001701398	Homo sapiens transcribed sequences
214199_at	6441	9.804885751	0.001740489	surfactant, pulmonary-associated protein D
207712_at	574	9.790681353	0.001753985	B melanoma antigen
218923_at	64173	9.630263433	0.001913972	spermatogenesis associated 1
242631_x_at		9.550087172	0.001999399	Homo sapiens transcribed sequences
1563643_at		9.37062889	0.002204899	Homo sapiens mRNA; cDNA DKFZp686C1437 (from clone DKFZp686C1437)
207124_s_at	10681	9.28278275	0.002313178	guanine nucleotide binding protein (G protein), beta 5
211401_s_at	2263	9.137566779	0.002504139	fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)
220205_at	7179	8.932095703	0.002802027	transmembrane phosphatase with tensin homology
241676_x_at		8.920075568	0.002820528	Homo sapiens transcribed sequences
210559_s_at	983	8.904086175	0.002845332	cell division cycle 2, G1 to S and G2 to M
241121_at		8.885540193	0.00287438	Homo sapiens transcribed sequences
214598_at	9073	8.864611962	0.002907521	claudin 8
238727_at		8.73018612	0.003129846	Homo sapiens, clone IMAGE:5295746, mRNA, partial cds
218193_s_at	51026	8.71913908	0.003148867	CGI-141 protein
226623_at	220965	8.702363688	0.003177977	family with sequence similarity 13, member C1
211694_at	83942	8.630602179	0.003305623	serine/threonine kinase 22D (spermiogenesis associated) /// serine/threonine kinase 22D (spermiogenesis associated)
228679_at		8.519216716	0.003514157	Homo sapiens cDNA FLJ30856 fis, clone FEBRA2003258.
209363_s_at	9412	8.49203943	0.003567037	SRB7 suppressor of RNA polymerase B homolog (yeast)
203736_s_at	8496	8.486111779	0.003578678	PTPRF interacting protein, binding protein 1 (liprin beta 1)
229694_at	55717	8.372827263	0.003808726	WD repeat domain 11
203639_s_at	2263	8.338234119	0.003881931	fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)
228506_at	54780	8.073762908	0.004491076	hypothetical protein FLJ20003
240913_at	2263	8.062893433	0.004518098	fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)
228433_at	221442	8.003365496	0.004669049	hypothetical protein LOC221442
1560859_at		7.943588067	0.004825806	Homo sapiens full length insert cDNA clone YW21D11
234584_s_at	11101	7.912410342	0.004909681	arginyltransferase 1
238252_at		7.738002797	0.005407058	Homo sapiens transcribed sequences
240964_at		7.679592219	0.005584879	Homo sapiens transcribed sequences
244384_at		7.493918275	0.006190771	Homo sapiens transcribed sequences
239113_at		7.157721617	0.007464195	Homo sapiens transcribed sequences
207889_at	1757	7.118145737	0.007630759	sarcosine dehydrogenase
1561608_at		7.022805706	0.008047803	Homo sapiens, clone IMAGE:4826598, mRNA
237077_at		7.012019539	0.00809643	Homo sapiens transcribed sequences
212365_at	4430	6.992073553	0.008187146	myosin IB
211376_s_at	54780	6.638777176	0.009978241	hypothetical protein FLJ20003
237548_at		5.835545329	0.015705542	Homo sapiens transcribed sequences
1558337_at		5.299960403	0.021325911	Homo sapiens LPP-LRFT fusion protein (LPP-LRFT fusion) mRNA, partial cds
214416_at		5.044522228	0.024703923	gb:AA654415 /DB_XREF=gi:2590569 /DB_XREF=nt03g09.s1 /CLONE=IMAGE:1192096 /FEA=EST /CNT=21 /TID=Hs.322808.0 /TIER=Stack /STK=11 /UG=Hs.322808 /UG_TITLE=ESTs, Moderately similar to AMYP_HUMAN ALPHA-AMYLASE, PANCREATIC PRECURSOR (H.sapiens)
243544_at	125	4.104483666	0.042769654	alcohol dehydrogenase IB (class I), beta polypeptide
226777_at	8038	10.94997323	0.00093605	a disintegrin and metalloproteinase domain 12 (meltrin alpha)
221234_s_at	60468	10.1864348	0.001414776	BTB and CNC homology 1, basic leucine zipper transcription factor 2 /// BTB and CNC homology 1, basic leucine zipper transcription factor 2
234635_at		9.641100364	0.001902712	gb:AJ406942.1 /DB_XREF=gi:12655457 /GEN=KRTAP4.10 /FEA=mRNA /CNT=1 /TID=Hs.307017.0 /TIER=ConsEnd /STK=0 /UG=Hs.307017 /DEF=Homo sapiens mRNA for keratin associated protein 4.10 (KRTAP4.10 gene). /PROD=keratin associated protein 4.10
237923_at		8.909475681	0.002836947	Homo sapiens transcribed sequences
214299_at	7156	8.868921284	0.002900665	topoisomerase (DNA) III alpha
202150_s_at	4739	8.847655928	0.002934656	neural precursor cell expressed, developmentally down-regulated 9
226069_at	144165	8.676082882	0.003224132	prickle-like 1 (Drosophila)
214577_at	4131	8.620154812	0.003324636	microtubule-associated protein 1B
231181_at		8.217220006	0.004149472	Homo sapiens transcribed sequences
221487_s_at	2029	7.763251626	0.005331989	endosulfine alpha
204161_s_at	22875	7.710762942	0.005489255	ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative function)
229947_at		7.431910846	0.006407727	Homo sapiens cDNA FLJ26876 fis, clone PRS09003
205091_x_at	5965	7.284504239	0.006955192	RecQ protein-like (DNA helicase Q1-like)
241291_at		6.937896133	0.008438832	Homo sapiens mRNA; cDNA DKFZp686E1161 (from clone DKFZp686E1161)
222527_s_at	55696	6.671182468	0.009798416	hypothetical protein FLJ10290
242763_at		6.583561063	0.010292479	Homo sapiens transcribed sequence with moderate similarity to protein ref:NP_054848.1 (H.sapiens)  PRO0478 protein [Homo sapiens]
205489_at	1428	6.354959929	0.01170536	crystallin, mu
236594_at	2314	10.23417947	0.001378619	flightless I homolog (Drosophila)
212364_at	4430	9.28038256	0.002316211	myosin IB
206987_x_at	8817	9.087186535	0.002574066	fibroblast growth factor 18
216086_at	22987	9.053995845	0.002621213	synaptic vesicle protein 2C
210319_x_at	4488	8.944545498	0.002782993	msh homeo box homolog 2 (Drosophila)
212876_at	8702	8.726396728	0.003136357	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 4
210337_s_at	47	8.628752779	0.003308981	ATP citrate lyase
213362_at	5789	8.342146374	0.003873581	protein tyrosine phosphatase, receptor type, D
228636_at	27319	7.917389728	0.004896187	basic helix-loop-helix domain containing, class B, 5
212557_at	26036	7.582465924	0.005893876	zinc finger protein 451
244873_s_at		7.571905146	0.005928509	Homo sapiens transcribed sequences
227741_at	201562	7.036801209	0.007985153	protein tyrosine phosphatase-like (proline instead of catalytic arginine), member b
1568682_a_at		6.828591854	0.008970997	Homo sapiens, Similar to hypothetical protein PRO2852, clone IMAGE:4837965, mRNA
236468_at	114795	6.581264479	0.010305766	KIAA1906 protein
201969_at	4678	6.321562272	0.011927851	nuclear autoantigenic sperm protein (histone-binding)
201127_s_at	47	6.039760226	0.013987186	ATP citrate lyase
239447_at		5.378067755	0.020391452	Homo sapiens transcribed sequences
1557385_at	84140	4.201141252	0.040396788	hypothetical protein FLJ13305
228080_at	143903	7.791732287	0.005248585	layilin
221627_at	10107	6.4884201	0.010857944	tripartite motif-containing 10
213001_at	23452	9.789466695	0.001755144	angiopoietin-like 2
1568827_at		9.260172808	0.002341909	Homo sapiens, clone IMAGE:4817603, mRNA
204612_at	5569	8.325048715	0.003910209	protein kinase (cAMP-dependent, catalytic) inhibitor alpha
204580_at	4321	5.810193391	0.015933543	matrix metalloproteinase 12 (macrophage elastase)
242115_at		2.568590177	0.109004868	Homo sapiens transcribed sequence with weak  similarity to protein pir:I49130 (M.musculus) I49130 reverse transcriptase - mouse
219700_at	57125	10.02825274	0.001541572	plexin domain containing 1
230424_at	9315	7.879214505	0.00500062	chromosome 5 open reading frame 13
201916_s_at	11231	7.326003591	0.006796401	SEC63-like (S. cerevisiae)
207518_at	8526	6.349150946	0.01174375	diacylglycerol kinase, epsilon 64kDa
218820_at	56967	9.343368056	0.002237939	chromosome 14 open reading frame 132
214595_at	3755	7.824181734	0.005155178	potassium voltage-gated channel, subfamily G, member 1
1554712_a_at	219970	7.495520979	0.006185264	BXMAS2-10
224608_s_at	84313	6.507370403	0.010742826	hypothetical protein MGC10540
212746_s_at	9859	9.609120694	0.001936133	KARP-1-binding protein
228530_at		2.220314096	0.136205384	Homo sapiens, clone IMAGE:5263527, mRNA
222853_at	23767	7.703823972	0.005510397	fibronectin leucine rich transmembrane protein 3
205700_at	8630	5.259317301	0.021829583	3-hydroxysteroid epimerase
234786_at		8.631814693	0.003303423	Homo sapiens mRNA; cDNA DKFZp566E213 (from clone DKFZp566E213)
219134_at	64123	10.26177707	0.001358148	EGF, latrophilin and seven transmembrane domain containing 1 /// EGF, latrophilin and seven transmembrane domain containing 1
210713_at	6453	9.598880757	0.00194696	intersectin 1 (SH3 domain protein)
211754_s_at	10478	5.226363675	0.022246999	solute carrier family 25 (mitochondrial carrier; peroxisomal membrane protein, 34kDa), member 17 /// solute carrier family 25 (mitochondrial carrier; peroxisomal membrane protein, 34kDa), member 17
1562456_at		6.817607142	0.009026343	Homo sapiens mRNA; cDNA DKFZp566C0924 (from clone DKFZp566C0924)
231500_s_at	339088	8.372454121	0.003809509	Homo sapiens similar to My016 protein (LOC339088), mRNA
213062_at	123803	8.230173048	0.00411996	N-terminal Asn amidase
221288_at	2845	2.916785855	0.087662335	G protein-coupled receptor 22
229168_at	91522	7.97343419	0.00474688	collagen, type XXIII, alpha 1
242514_at		3.529306437	0.060293014	Homo sapiens transcribed sequences
232335_at		3.398423719	0.065258768	Homo sapiens cDNA: FLJ23141 fis, clone LNG09072
210568_s_at	5965	7.058264272	0.007890041	RecQ protein-like (DNA helicase Q1-like)
235875_at		5.952775835	0.014694131	Homo sapiens transcribed sequences
231893_at	85449	5.587571169	0.018088362	KIAA1755 protein
204518_s_at	5480	8.249686073	0.004075905	peptidylprolyl isomerase C (cyclophilin C)
1564985_a_at	6546	5.751995656	0.016469937	solute carrier family 8 (sodium/calcium exchanger), member 1
239744_at		10.12629505	0.001461689	Homo sapiens transcribed sequences
1552946_at	163071	7.961366009	0.004778634	hypothetical protein MGC17986
201299_s_at	55233	5.108684426	0.023806369	chromosome 2 open reading frame 6
230930_at		8.755916644	0.003085992	Homo sapiens hypothetical protein LOC338620, mRNA (cDNA clone IMAGE:6023208), partial cds
234986_at	2730	7.382798183	0.006585064	glutamate-cysteine ligase, modifier subunit
1564544_x_at		2.232782243	0.135110419	gb:BC014871.1 /DB_XREF=gi:15928825 /TID=Hs2.348636.1 /CNT=1 /FEA=mRNA /TIER=ConsEnd /STK=0 /UG=Hs.348636 /UG_TITLE=Homo sapiens, clone IMAGE:3925346, mRNA, partial cds /DEF=Homo sapiens, clone IMAGE:3925346, mRNA, partial cds.
204988_at	2244	7.718986292	0.005464307	fibrinogen, B beta polypeptide
222344_at	9315	6.645052396	0.009943156	chromosome 5 open reading frame 13
205572_at	285	6.499752298	0.010788953	angiopoietin 2
1569557_at	57209	2.33320192	0.126641186	zinc finger protein 248
229569_at		8.326250577	0.003907623	Homo sapiens mRNA; cDNA DKFZp686C1090 (from clone DKFZp686C1090)
217672_x_at		6.595516724	0.010223589	Homo sapiens transcribed sequences
230166_at	158405	6.721621594	0.009525099	KIAA1958
207481_at	746	8.960449484	0.00275887	chromosome 11 open reading frame 10
1564031_a_at	285613	7.064763618	0.007861469	hypothetical protein FLJ90583
203501_at	10404	8.019104164	0.004628646	plasma glutamate carboxypeptidase /// plasma glutamate carboxypeptidase
203294_s_at	3998	6.774315696	0.009247895	lectin, mannose-binding, 1
208035_at	2916	4.165035819	0.041266545	glutamate receptor, metabotropic 6
1552892_at	115650	4.424260863	0.035431462	tumor necrosis factor receptor superfamily, member 13C
210426_x_at	6095	5.928231423	0.014900189	RAR-related orphan receptor A
235343_at	79805	8.454057754	0.003642299	hypothetical protein FLJ12505
