Component	Gene Symbol	Fold
PM0-HT0339-015-B12		-3.871947231
RC3-CI0042-021-C09	C10orf54	-3.370771002
MR3-ST0203-024-F08	CDKN1B	-3.204038617
MR4-UM0115-203-F10	NENF	-3.054454367
CM0-BN0103-296-H10	LOC84661	-3.037335705
CM1-AN0080-548-D09	EDNRB	-3.013614077
CM0-CN0039-231-F08		-2.796164309
QV1-EN0042-237-G04	ZCCHC7	-2.78197646
CM1-FT0045-270-B07		-2.63947256
QV0-ST0294-186-H04	ATP5H	-2.552524032
CM1-CN0060-618-G04	C6orf170	-2.50355833
CM3-NT0089-176-H03	MOXD1	-2.478892828
MR2-CI0186-006-D01	COX5B	-2.420125035
CM0-HT0245-085-H06	MPPE1	-2.389805059
CM1-HT0876-454-D04	NFYC	-2.297837818
RC4-BN0408-012-F06		-2.296861182
MR2-CN0037-106-H10	MANBA	-2.146215626
QV2-HT0698-277-C12	FLJ20323	-2.059678893
RC3-CI0163-021-D06	RGS3	-2.052844927
RC0-BN0050-031-D12	GCNT1	-2.031370857
QV3-HT0513-125-A06	CCT2	2.051391703
CM0-ET0122-659-G08	PTGES2	2.051437878
QV1-BN0397-386-A09	TRPV2	2.061309014
RC3-CI0043-023-H12	LTV1	2.325248905
RC2-HT0584-013-A09	LMBRD2	2.437642523
QV4-HT0893-373-B09	ALG8	2.449126287
MR0-HT0559-030-F01	NRD1	2.518921971
PM0-ET0155-006-D06		2.688220688
QV0-CI0197-501-D05	FGFR1	2.689638969
RC2-BN0123-011-G04	TMEM87B	3.05463492
PM0-CT0263-005-E08		3.076678779
MR1-BT0796-001-B04	RPS6KA3	3.235069626
MR4-TN0109-201-D05	SLC43A3	3.93949841
MR2-GN0126-008-G08	DGAT1	4.275249107
