Probe ID	Gene ID	Symbol	Gene description	FC	Corrected P‡	P§
213629_x_at	4494	MT1F	Metallothionein 1F	19.1	0.0049	5.42 × 10?7
210524_x_at	NA	NA	Similar to metallothionein 1F	13.2	0.0185	3.11 × 10?6
217165_x_at	4494	MT1F	Metallothionein 1F	11.8	0.0023	8.59 × 10?8
208581_x_at	4501	MT1X	Metallothionein 1X	9.7	0.0025	2.06 × 10?7
204326_x_at	4501	MT1X	Metallothionein 1X	9	0.0025	2.23 × 10?7
206461_x_at	4496	MT1H	Metallothionein 1H	7.5	0.0095	1.22 × 10?6
212185_x_at	4502	MT2A	Metallothionein 2A	6.8	0.0023	5.31 × 10?8
204745_x_at	4495	MT1G	Metallothionein 1G	6.5	0.0272	5.98 × 10?6
211456_x_at	645745	MT1P2	Metallothionein 1 pseudogene 2	6.1	0.0234	4.28 × 10?6
212907_at	7779	SLC30A1	Solute carrier family 30 (zinc transporter)	5	0.0025	2.29 × 10?7
216336_x_at	4499	MT1K	Metallothionein 1M	4.4	0.0901	3.73 × 10?5
228181_at	7779	SLC30A1	Solute carrier family 30 (zinc transporter)	4.4	0.0479	1.14 × 10?5
200800_s_at	3303	HSPA1A	Heat shock 70 kDa protein 1A	3.6	0.0901	3.56 × 10?5
203665_at	3162	HMOX1	Heme oxygenase (decycling) 1	3	0.1278	7.87 × 10?5
200799_at	3303	HSPA1A	Heat shock 70 kDa protein 1A	2.2	0.0901	2.70 × 10?5
227124_at	221710	LOC221710	Hypothetical protein	1.7	0.0901	3.26 × 10?5
218566_s_at	26973	CHORDC1	Cysteine and histidine-rich domain containing 1	1.7	0.1371	9.03 × 10?5
200881_s_at	3301	DNAJA1	DnaJ (Hsp40) homologue, subfamily A	1.6	0.0901	4.12 × 10?5
200880_at	3301	DNAJA1	DnaJ (Hsp40) homologue, subfamily A	1.6	0.0272	5.82 × 10?6
207714_s_at	871	SERPINH1	Heat shock protein 47	1.5	0.1467	1.15 × 10?4
217911_s_at	9531	BAG3	BCL2-associated athanogene 3	1.5	0.1467	1.17 × 10?4
