Name	Accession no.	Fold change (Cy5/Cy3)	Fold change (Cy3/Cy5)	Gene symbol	Regulation
Homo sapiens PUMP-1 gene encoding PUMP	Z11887	4.0627	5.0339	MMP-7	Down-regulated genes
H. sapiens crystallin, ?(CRYM) mRNA	NM_001888	2.2503	2.5798	CRYM	Down-regulated genes
H. sapiens cDNA FLJ10500 fis, clone NT	AK001362	2.2929	2.4311	L2HGDH	Down-regulated genes
H. sapiens protein tyrosine phosphatase	NM_002829	2.1629	2.391	PTPN3	Down-regulated genes
Human HepG2 3? region cDNA, clone hmd1b1	D16856	2.2327	2.3069	HMD1B10	Down-regulated genes
H. sapiens clusterin (complement lysis inhibitor)	NM_001831	2.5188	2.2404	APOJ, clusterin	Down-regulated genes
H. sapiens solute carrier family 4	NM_003759	1.9691	2.2241	SLC4A4	Down-regulated genes
H. sapiens Ras-related associated with diabetes	NM_004165	2.0304	2.1757	RRAD	Down-regulated genes
H. sapiens secreted phosphoprotein 1	NM_000582	2.2614	2.1739	SPP1	Down-regulated genes
H. sapiens N-acylsphingosine amidohydrolase	NM_004315	2.2597	2.1343	ASAH1	Down-regulated genes
H. sapiens serpin peptidase inhibitor	NM_000295	2.4027	2.1251	SERPINA1	Down-regulated genes
H. sapiens signal transducer and activator of transcription 1, 91 kd (STAT1)	NM_007315	1.9253	2.1027	STAT1	Down-regulated genes
Homo sapiens KIAA0977 protein (KIAA0977)	NM_014900	1.9847	2.0635	COBLL1	Down-regulated genes
Human ?-1-antitrypsin (?-1-AT)	M26123	2.301	2.0072	SERPINA1	Down-regulated genes
H. sapiens insulin-like growth factor	NM_001553	2.0164	1.9455	IGFBP7	Down-regulated genes
H. sapiens up-regulated by 1,25-dihydro	NM_006472	12.1736	11.2292	TXNIP	Up-regulated genes
H. sapiens chemokine (C-C motif) ligand 20	NM_004591	4.3665	6.2174	CCL20, MIP3A_	Up-regulated genes
H. sapiens transferrin receptor (p90, CD71) (TFRC)	NM_003234	3.8612	3.9039	TFRC, TRFR_	Up-regulated genes
H. sapiens heat shock 70-kd protein	NM_006597	2.8836	2.8227	HSPA8	Up-regulated genes
H. sapiens G0/G1 switch 2 (G0S2)	NM_015714	2.3696	2.7238	HSD11B1	Up-regulated genes
Human plasminogen activator inhibitor-1	M16006	2.215	2.3579	PAI-1	Up-regulated genes
H. sapiens angiopoietin-like 4 (ANGPTL4)	NM_016109	2.8786	2.35E+00	ANGPTL4	Up-regulated genes
Human mRNA for 90-kd heat-shock protein	X15183	2.2072	2.3411	HSPCA	Up-regulated genes
H. sapiens heat shock 105 kd (HSP105B)	NM_006644	2.0881	2.0406	HSPH1	Up-regulated genes
H. sapiens tissue factor pathway inhibitor 2 (TFPI2)	NM_006528	2.7032	2.0056	TFPI2	Up-regulated genes
