Probe Set ID	Fold Regulation	A269_R11	A269_R18	A269_R28	A269_R43	A269_R46	A269_R8	Gene Symbol	Gene Title
202391_at	0.016314652	51.113888	9.466599	10.892661	1324.7074	2796.2227	259.98773	BASP1	brain abundant, membrane attached signal protein 1
212998_x_at	0.022257961	0.84807515	1.7568356	9.84359	237.58731	98.54151	223.15425	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1 /// major histocompatibility complex, class II, DQ beta 1
213831_at	0.027717977	12.429075	2.843365	1.1464149	299.0526	170.62196	122.67945	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1
203987_at	0.037617374	7.047049	9.667577	14.871043	49.414387	137.28969	652.95233	FZD6	frizzled homolog 6 (Drosophila)
215193_x_at	0.047103709	36.016132	5.2751865	219.45183	2151.3105	1072.9637	2311.2378	HLA-DRB1	major histocompatibility complex, class II, DR beta 1
208306_x_at	0.059141352	13.362745	3.8717816	416.81607	2645.1292	1559.0763	3135.001	HLA-DRB5	Major histocompatibility complex, class II, DR beta 3
208894_at	0.062456422	21.433123	5.435654	392.12595	3243.4937	1620.537	1844.5625	HLA-DRA	major histocompatibility complex, class II, DR alpha /// major histocompatibility complex, class II, DR alpha
201721_s_at	0.078785689	62.772682	30.22136	38.142586	103.4915	398.7594	1162.2218	LAPTM5	lysosomal associated multispanning membrane protein 5
211991_s_at	0.081227706	41.4816	2.8137882	237.31914	1148.6669	1424.3646	893.94476	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1
201141_at	0.088251432	171.06296	12.765429	82.105064	516.86383	1305.2867	1191.2108	GPNMB	glycoprotein (transmembrane) nmb
1567628_at	0.104008572	17.566172	12.804009	20.8084	331.33167	57.010742	103.71877	CD74	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)
226614_s_at	0.119077558	75.61603	21.59183	23.686018	176.40388	121.568275	717.2811	C8orf13	chromosome 8 open reading frame 13
217478_s_at	0.122706891	60.979668	25.46369	48.870575	512.10254	295.49957	295.139	HLA-DMA	major histocompatibility complex, class II, DM alpha
219563_at	0.130934305	53.283596	23.183624	40.320076	349.0942	216.95183	325.90735	C14orf139	chromosome 14 open reading frame 139
1554018_at	0.165970665	37.598026	10.601504	20.95081	145.57053	131.72359	139.34782	GPNMB	glycoprotein (transmembrane) nmb
205290_s_at	0.177168894	10.96289	15.152158	17.222546	49.094704	107.01111	88.50594	BMP2	bone morphogenetic protein 2
223611_s_at	0.186356263	395.7134	30.15715	42.19606	661.9353	938.5554	911.1856	LNX	ligand of numb-protein X
223217_s_at	0.187981488	110.199814	31.510096	58.166565	197.22227	225.99597	640.0592	NFKBIZ	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, zeta
208712_at	0.188096007	379.76096	87.71331	144.16093	726.7699	1878.2378	646.71045	CCND1	cyclin D1
211026_s_at	0.194417829	180.27884	132.12334	160.58148	357.5167	748.6622	1326.6415	MGLL	monoglyceride lipase /// monoglyceride lipase
203932_at	0.203573186	48.764698	40.42377	91.11194	322.4487	317.50586	245.72401	HLA-DMB	major histocompatibility complex, class II, DM beta /// major histocompatibility complex, class II, DM beta
227330_x_at	0.205085331	135.43172	25.213194	21.876162	406.09308	211.04808	272.8351	LOC389833	similar to hypothetical protein MGC27019
224979_s_at	0.207517875	36.618866	6.6139154	8.260168	68.128006	113.28223	66.72718	USP36	ubiquitin specific peptidase 36
204112_s_at	0.247417204	165.51872	265.3811	311.3786	827.18115	1438.3263	734.6009	HNMT	histamine N-methyltransferase
210770_s_at	0.253803403	26.232615	16.856861	57.267944	118.114105	163.26172	114.03818	CACNA1A	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit
227705_at	0.260563871	454.28583	291.29102	502.5607	1337.7709	2196.2336	1256.136	TCEAL7	transcription elongation factor A (SII)-like 7
223603_at	0.273277744	55.56641	53.753887	122.472145	268.40945	375.0578	204.72638	ZNF179	zinc finger protein 179
243606_at	0.281160313	110.21541	41.10263	39.91674	263.68527	255.6436	160.83391		Transcribed locus, weakly similar to XP_510104.1 PREDICTED: similar to hypothetical protein FLJ25224 [Pan troglodytes]
217118_s_at	0.291246795	286.76324	112.268776	289.08792	597.66656	844.0712	920.9318	C22orf9	chromosome 22 open reading frame 9
225941_at	0.29284255	103.68744	22.874502	28.36662	157.14424	188.41795	183.48853	EIF4E3	eukaryotic translation initiation factor 4E member 3
202838_at	0.293180363	287.5816	164.40851	99.51301	538.9366	669.06635	673.1023	FUCA1	fucosidase, alpha-L- 1, tissue
229412_at	0.293895424	38.562428	10.494465	19.72601	61.7402	81.354805	90.943695	TBN	Taube nuss homolog (mouse)
38037_at	0.298857472	175.26967	43.954506	79.86159	225.92435	393.82486	381.01468	HBEGF	heparin-binding EGF-like growth factor
231769_at	0.321685859	76.82581	43.805386	65.61067	115.950874	135.97789	327.02695	FBXO6	F-box protein 6
203167_at	0.327675211	223.19225	157.33878	295.52377	647.04095	806.02045	610.12427	TIMP2	TIMP metallopeptidase inhibitor 2
232429_at	0.333205726	24.26531	10.003254	21.204914	52.97088	71.419	42.094288		MRNA; cDNA DKFZp434G1972 (from clone DKFZp434G1972)
236077_at	0.334482392	65.617935	32.443153	41.56819	160.88292	150.35115	106.214745	GANC	glucosidase, alpha; neutral C
206506_s_at	0.336694376	64.48737	25.633783	23.59846	158.76547	95.7313	83.25646	SUPT3H	suppressor of Ty 3 homolog (S. cerevisiae)
217540_at	0.349630331	54.002502	23.635725	33.570927	82.691	109.117935	126.267456		Transcribed locus, weakly similar to XP_510104.1 PREDICTED: similar to hypothetical protein FLJ25224 [Pan troglodytes]
210095_s_at	0.357033417	2165.8135	2081.7917	1157.8279	3698.7236	5577.7554	5863.373	IGFBP3	insulin-like growth factor binding protein 3
203125_x_at	0.363384764	44.749596	60.353848	59.19698	109.25817	143.21353	199.6673	SLC11A2	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 2
219468_s_at	0.367931555	82.30379	48.66458	68.5784	103.89722	232.0626	206.38771	CUEDC1	CUE domain containing 1
213189_at	0.372537629	167.46107	83.52776	60.24166	274.5009	266.34366	294.58914	MINA	MYC induced nuclear antigen
214211_at	0.372572222	1383.7478	750.1186	1720.6891	3205.5022	2608.4897	4531.8022	FTH1	ferritin, heavy polypeptide 1
202794_at	0.375195248	347.93698	209.97589	273.79956	678.0329	1002.99884	535.7139	INPP1	inositol polyphosphate-1-phosphatase
212274_at	0.396746063	262.01825	200.67511	308.34918	453.2929	463.61453	1026.5083	LPIN1	lipin 1
1554393_a_at	0.419964799	52.222088	33.691765	26.688375	67.00768	114.209045	86.90629	ADC	arginine decarboxylase
217717_s_at	0.420518321	579.5407	349.4888	629.82666	1259.719	1186.0714	1261.1971	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide
201537_s_at	0.426223401	90.81373	44.886158	53.81753	108.27676	171.12663	165.24	DUSP3	dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related)
229986_at	0.427666605	53.51268	23.296907	44.116135	94.88728	77.89131	109.9784	LOC377064	kruppel-like zinc finger factor X17
226024_at	0.431243037	307.3244	332.21155	298.67804	590.5856	686.7332	898.285	COMMD1	copper metabolism (Murr1) domain containing 1
229689_s_at	0.4341265	126.38996	75.63147	85.3501	184.97568	278.21826	198.7595	DLG5	Discs, large homolog 5 (Drosophila)
218799_at	0.435442581	168.31845	119.9769	87.10951	252.34143	218.4845	391.2966	ATPBD1B	ATP binding domain 1 family, member B
1553960_at	0.4381135	116.34502	74.7304	116.619095	238.86104	274.22232	189.23354	C20orf161	chromosome 20 open reading frame 161
59999_at	0.438822272	78.591	49.682602	45.87909	96.08977	162.92998	137.84409	HIF1AN	hypoxia-inducible factor 1, alpha subunit inhibitor
205299_s_at	0.439441769	60.57768	33.795452	37.910835	65.522865	120.925	114.57943	BTN2A2	butyrophilin, subfamily 2, member A2
219267_at	0.441499234	209.8872	156.19218	202.42189	473.53403	420.00037	394.12643	GLTP	glycolipid transfer protein
214270_s_at	0.452753758	65.72173	30.783669	37.387497	103.940254	124.74393	67.045876	MAPRE3	microtubule-associated protein, RP/EB family, member 3
206472_s_at	0.455711408	62.734497	57.270763	61.197727	108.20538	118.17788	171.24336	TLE3	transducin-like enhancer of split 3 (E(sp1) homolog, Drosophila)
203013_at	0.457943207	116.85287	83.92623	66.373436	166.52405	195.65773	221.19304	HSGT1	suppressor of S. cerevisiae gcr2
213868_s_at	0.458511448	20.479677	17.374733	14.098027	48.26398	27.004429	38.03833	DHRS7	Dehydrogenase/reductase (SDR family) member 7
203595_s_at	0.470874928	244.6066	130.45325	118.34439	367.34537	318.99847	361.5018	IFIT5	interferon-induced protein with tetratricopeptide repeats 5
202262_x_at	0.471105523	235.1469	175.77277	195.51196	531.44293	444.11642	311.69287	DDAH2	dimethylarginine dimethylaminohydrolase 2
1555420_a_at	0.473190148	62.523296	52.70555	57.14969	84.330475	117.9275	162.03223	KLF7	Kruppel-like factor 7 (ubiquitous)
236813_at	0.473290898	109.230804	67.27576	53.49496	150.6628	157.9875	177.31198	C10orf83	chromosome 10 open reading frame 83
226718_at	0.47653512	95.65422	41.454903	67.29141	178.83914	124.91676	125.17478	AMIGO1	adhesion molecule with Ig-like domain 1
211665_s_at	0.488552492	39.06501	28.659346	30.436148	72.4955	59.55348	68.87212	SOS2	son of sevenless homolog 2 (Drosophila) /// son of sevenless homolog 2 (Drosophila)
225900_at	0.492972655	131.59387	72.55891	76.54827	171.88185	173.47878	224.04428	SEC15L2	SEC15-like 2 (S. cerevisiae)
209311_at	0.495980491	200.52686	202.86931	134.14645	413.87692	363.56757	306.35342	BCL2L2	BCL2-like 2
