Accession no.	Symbol	Gene	Fold change CD4+	Fold change CD45RO+
AF070648	CAV1	Caveolin 1	34.82	49.74
AF150241	PGDS	Prostaglandin D2 synthase	31.21	12.56
AL080181	TSLC1	Tumor suppressor in lung cancer 1	30.36	36.86
M36711	TFAP2A	Transcription factor AP-2 alpha	19.14	11.28
AF079529	PDE8B	Phosphodiesterase 8B	17.58	13.07
AB002305	ARNT2	Aryl-hydrocarbon receptor nuclear translocator 2	17.15	22.59
X58288	PTPRM	Protein tyrosine phosphatase, receptor type, M	15.89	5.12
Y00664	NMYC	V-myc myelocytomatosis viral related oncogene, neuroblastoma	15.3	12.11
J03802	PTHLH	Parathyroid hormone-like hormone†	14.1	8.68
AF022797	KCNN4 (hKCa4)	Potassium intermediate/small conductance calcium-activated	12.78	6.05
X00948	RLN2	Relaxin 2 (H2)	12.02	8.85
M25753	CCNB1	CyclinB1	11.53	5.33
W26466	NA	32f11	11.2	10.83
X65233	ZNF80	Zinc finger protein 80 (pT17)	10.54	7.1
U49089	DLG3	Discs, large (Drosophila) homolog 3	9.6	6.79
AL080146	CCNB2	CyclinB2	9.56	7.18
AI760162	NA	wg58e09.x1	9.19	4.34
D87119	TRB2	Tribbles homolog 2	9.18	4.24
AF030107	RGS13	Regulator of G-protein signaling 13	8.33	9.41
AF024714	AIM2	Interferon-inducible protein (AIM2) absent in melanoma	8.26	5.74
D13633	DLG7	Discs large homolog 7	7.53	3.06
M37712	CDC2L2	Cell division cycle 2-like 2	7.16	7.26
X01057	IL2RA	Interleukin 2 receptor, alpha†	6.78	3.73
AI375913	NA	tc14c08.x1	6.62	4.23
AB020316	UST	Uronyl-2-sulfotransferase	6.58	3.72
L25876	CDKN3	CIP2 (cyclin-dependent interacting protein 2) cyclin-dependent kinase inhibitor 3	6.39	8.06
D38073	MCM3	Minichromosome maintenance deficient 3	6.34	2.71
AB014566	DAAM1	Disheveled associated activator of morphogenesis 1	6.27	5.55
AF007155	LOC254531	PISC domain containing hypothetical protein	6.14	4.2
L47276	HUMTOPATR	Homo sapiens alpha topoisomerase truncated-form mRNA	6.12	4.03
U37426	KIF11	Kinesin family member 11	6.12	3.15
AB012911	FZD6	Frizzled homolog 6	6.12	5.48
AL080121	DKFZp564O0823	Highly similar to rat castration induced prostatic apoptosis related protein-1	6.1	6.96
X83490	TNFRSF6	Tumor necrosis factor receptor superfamily member 6(Fas/APO-1)	6.02	3.85
AL050107	TAZ	Transcriptional co-activator with PDZ (PSD-95, DLG, and ZO-1)—binding motif	5.81	5.67
J04088	TOP2A	Topoisomerase (DNA) II alpha	5.59	4.52
D42055	NEDD4	Neural precursor cell expressed, developmentally down-regulated 4	5.47	2.02
D38251	POLR2E	Polymerase (RNA) II (DNA directed) polypeptide E	5.4	8.51
M74089	LOC91137	Hypothetical protein BC017169	5.28	3.81
D13643	DHCR24	24-dehydrocholesterol reductase	5.17	5.52
D14657	KIAA0101	KIAA0101 gene product	4.94	3.93
AA203476	NA	zx55e01.rl	4.92	2.31
M13755	GIP2	Interferon, alpha-inducible protein	4.86	6.2
U63743	KIF2C	Kinesin family member 2C	4.69	3.78
J03473	ADPRT	ADP-ribosyltransferase	4.52	3.58
U43916	EMP1	Epithelial membrane protein 1	4.49	2.75
Z70519	TNFRSF6	FAS soluble protein	4.44	2.69
U73379	UBE2C	Ubiquitin-conjugating enzyme E2C	4.43	4.57
D86062	C21orf33	Chromosome 21 open reading frame 33	4.41	7.29
AI127424	NA	qb75b02.x1	4.36	6.1
AC_004528	C19orf6	Chromosome 19 open reading frame 6	4.31	4.16
AL050069	DOK5	Docking protein 5	4.27	5.45
U81561	PTPRN2	Protein tyrosine phosphatase, receptor type, N polypeptide 2	4.24	5.04
M15205	TK1	Thymidine kinase 1, soluble	4.21	4.71
M84443	GALK2	Galactokinase 2	4.09	2.29
D63861	PPID	Peptidylprolyl isomerase D (cyclophilin D)	4.08	2.34
X02883	HSTCRAC	Human gene for T-cell receptor alpha chain C region	4.05	2.81
D00596	TYMS	Thymidylate synthetase	4.03	4.17
U03494	TFCP2	Transcription factor CP2 (CCAAT protein)	3.99	3.15
U31601	JAK3	Janus kinase 3 (a protein tyrosine kinase, leukocyte)	3.95	3.48
AF009426	C18orf1	Chromosome 18 open reading frame 1	3.93	2.87
AL022398	ADORA2BP	Adenosine A2b receptor pseudogene	3.9	2.8
M97935	STAT1	Signal transducer and activator of transcription 1	3.89	4.36
AA919102	NA	o184h02.sl	3.86	2.11
U88964	ISG20	Interferon-stimulated gene	3.81	3.21
AJ010953	ATP2CI	ATPase, Ca++transporting, type 2C, member 1	3.73	2.87
U53003	C21orf33	Chromosome 21 open reading frame 33	3.69	2.76
M36711	NA	DNA-binding protein Ap-2	3.67	3.09
M34641	FGFR1	Fibroblast growth factor receptor 1	3.62	2.37
AI652660		wb30c10.x1	3.62	3.47
AJ000534	SGCE	Sarcoglycan, epsilon	3.61	3.07
D50920	THRAP4	Thyroid hormone receptor associated protein 4	3.48	2.05
AB024704	TPX2	Microtubule-associated protein homolog	3.45	3.2
X14798	ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1	3.44	3.36
Y11681	Y11681	Mitochondrial ribosomal protein S12	3.44	7.9
D26155	SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	3.42	3.1
AL031737	NA	Human DNA sequence from clone 8B22 on chromosome 1p35.1-36.21	3.42	2.35
M86699	TTK	TTK (threonine/tyrosine kinase) protein kinase	3.4	2.38
U16799	ATP1B1	ATPase, Na+/K+transporting, beta 1 polypeptide	3.39	3.81
AB018270	MYO1D	Myosin ID	3.34	2.57
U76638	BARD1	BRCA1 (breast cancer 1) associated RING domain 1	3.34	2.62
AB013452	ATP8A1	ATPase, aminophospholipid transporter (APLT), class 1, type 8A, member 1	3.32	3.29
Y11525	CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	3.32	3.34
M34423	GLB1	Galactosidase, beta 1	3.31	4.04
AA203213	NA	zx57e04.r1	3.31	3.49
X64624	POU4F1	POU (Pit, Oct, Unc) domain, class 4, transcription factor 1	3.31	3.92
AB018271	BPAG1	Bullous pemphigoid antigen 1	3.25	2.12
LI3435	NA	Human chromosome 3p21.1 gene sequence	3.24	2.92
AF055993	SAP30	Sin3-associated polypeptide	3.18	3.47
U29332	FHL2	Four and a half LIM (Lin-1, Tsl-1, MEC-3) domains 2	3.16	3.6
AI540958	NA	Homo sapiens cDNA, 5 end/clone_end=5	3.15	3.59
D38522	SYT11	Synaptotagmin XI	3.09	3.58
U01038	PLK1	Polo-like kinase 1	3.07	3.4
X74262	RBBP4	Retinoblastoma binding protein 4	3.05	5.58
L23959	TFDP1	Transcription factor Dp-1 (E2F dimerization partner-1)	3.03	3.76
M87434	OAS2	2-5-oligoadenylate synthetase 2	3.02	2.96
M25280	SELL	Selectin L (lymphocyte adhesion molecule 1)	3.02	3.31
M63488	RPA1	Replication protein A1	3.01	3.39
U78190	GCHFR	GTP cyclohydrolase I feedback regulatory protein	3.01	2.09
AF067656	ZWINT	ZW10 interactor	2.97	2.5
M15024	MYB	v-myb myeloblastosis viral oncogene homolog	2.97	4.54
M81830	SSTR2	Somatostatin receptor 2	2.96	3.33
D28364	ANXA11	Annexin II, 5	2.96	6.05
M63838	FI16	Interferon, gamma-inducible protein 16	2.92	3.05
X72889	NA	NA	2.91	2.45
AC_003108	Anxa6	Annexin VI	2.84	3.79
L07541	RFC3	Replication factor C (activator 1) 3	2.83	2.67
D78261	IRF4	Interferon regulatory factor 4	2.83	3.14
AA005018	NA	zh96a09.rl	2.83	2.12
AA310786	NA	EST181572 Homo sapiens cDNA	2.78	2.29
M87284	OAS2	2-5-oligoadenylate synthetase 2	2.77	3.11
U09813	ATP5G3	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9) isoform 3	2.76	4.85
AC_005253	UBA52	Ubiquitin A-52 residue ribosomal protein fusion product 1	2.75	2.85
AF070523	JWA	Cytoskeleton related vitamin A responsive protein	2.75	2.29
U38545	PLD1	Phospholipase D1, phophatidylcholine-specific	2.74	2.17
U25182	PRDX4	Peroxiredoxin 4	2.73	3.1
AF022385	PDCD10	Programmed cell death 10	2.73	2.09
AF000416	EXTL2	Exostoses (multiple)-like 2	2.73	2.13
D26361	KIF14	Kinesin family member 14	2.72	2.47
AF064084	ICMT	Isoprenylcysteine carboxyl methyltransferase	2.7	4.31
X98248	SORT1	Sortilin 1	2.69	5.01
U65410	MAD2L1	MAD2 (mitotic arrest-deficient 2) mitotic arrest deficient-like 1	2.66	2.73
U51004	HINT1	Histidine triad nucleotide binding protein 1	2.64	2.09
