GI	Gene Symbol	GenBank Accession	BG01ES	BG01EB
GI_4507424-S	TDGF1	NM_003212.1	5179.9	80.9
GI_20428651-S	LCK	NM_005356.2	1101.4	20.4
GI_30061561-A	GABRB3	NM_021912.2	938.6	31.7
GI_27804312-S	GAL	NM_015973.2	3993.9	135
GI_14249487-S	ZNF206	NM_032805.1	1778.2	64.8
GI_37539625-S	LOC138255	XM_059956.3	810.8	31.7
GI_5901931-S	LECT1	NM_007015.1	688.7	27
GI_21359975-S	SCGB3A2	NM_054023.2	635.2	31.7
GI_10863922-S	PMAIP1	NM_021127.1	1153.2	61.8
GI_31563516-S	NTS	NM_006183.3	1266.2	80.8
GI_10190669-S	GDF3	NM_020634.1	529.4	34.5
GI_4505966-S	POU5F1	NM_002701.1	503	33.3
GI_11641403-S	CKMT1	NM_020990.2	686	46.6
GI_38348331-S	FLJ44186	NM_198508.1	263.6	18.3
GI_37547151-S	LOC375180	XM_353275.1	732	51.8
GI_7657330-A	MIBP	NM_014446.1	274.1	19.6
GI_5031734-S	CHST4	NM_005769.1	285.4	20.5
GI_31542662-S	FLJ10884	NM_019079.2	3377	244.8
GI_33285007-S	GYLTL1B	NM_152312.2	1736.5	128.9
GI_17921988-S	TUBA1	NM_006000.1	416	31.2
GI_28559062-A	DNMT3B	NM_175849.1	3887.7	297.3
GI_42655585-S	LOC388666	XM_371283.2	1855.6	157.5
GI_10835229-S	MT1G	NM_005950.1	3273.3	279.5
GI_27436880-S	EBAF	NM_003240.2	1888.3	163.1
GI_34222152-S	VSNL1	NM_003385.3	411.6	36.2
GI_5016087-S	ACTA1	NM_001100.2	231.5	20.8
GI_7657135-S	GPCR1	NM_014373.1	685.8	61.8
GI_42734326-S	GARNL4	NM_015085.1	459.6	42.1
GI_5803124-S	PIM2	NM_006875.1	904.2	83.5
GI_34147351-S	MGC8407	NM_024046.2	1049.2	97.5
GI_29171744-A	PPAP2C	NM_177526.1	576.7	56.8
GI_31543213-S	MT1X	NM_005952.2	5278.7	521
GI_37545625-S	TAF4B	XM_290809.2	293.8	29.2
GI_9257244-A	TERF1	NM_003218.2	3567.2	356.9
GI_11386156-S	CDA	NM_001785.1	1847.1	186.8
GI_31341197-S	KCP3	NM_173853.2	475.8	49.8
GI_22001414-S	RIS1	NM_015444.1	1042.4	115.7
GI_31543613-S	SCNN1A	NM_001038.2	1532.3	173.6
GI_8923166-S	FLJ20171	NM_017697.1	881.2	100
GI_10835084-S	MT1H	NM_005951.1	3755.5	432.6
GI_4504542-S	HTR3A	NM_000869.1	215.2	25.3
GI_8923147-S	BSPRY	NM_017688.1	189.2	22.4
GI_31342255-S	MT1J	NM_175622.2	1169.6	139.3
GI_31317237-S	FRAT2	NM_012083.2	1205.8	144.5
GI_37539894-S	LOC375762	XM_351854.1	192.6	23.2
GI_7705930-S	CEB1	NM_016323.1	586.5	71.1
GI_6382070-I	DIAPH2	NM_007309.1	1099.8	135.2
GI_4758127-S	DCAMKL1	NM_004734.1	424.4	53.1
GI_20302152-I	HAS3	NM_005329.2	275.2	35.4
GI_8922611-S	FLJ10713	NM_018189.1	821.9	107.7
GI_27754187-S	MTND6	NM_173714.1	142.8	18.8
GI_14165458-S	MAP7	NM_003980.2	338.9	44.7
GI_4504794-S	ITPR3	NM_002224.1	566.2	78.2
GI_5901975-S	HRASLS3	NM_007069.1	529.8	77.3
GI_11545760-S	KCNK12	NM_022055.1	761.3	112.9
GI_33356561-S	VENTX2	NM_014468.2	501.5	74.7
GI_21614524-S	GPC4	NM_001448.2	1305.8	198.2
