PrimSeqName	Entrez Gene ID	Family	Foldchange A549 Paz+Lap	Foldchange H1975 Paz +Lap	Foldchange H1299 Paz + Lap	Foldchange AGS Paz + Lap	Foldchange HCT116 Paz + lap
EPPK1	83481	other	1.04	3.23	1.62	1.16	1.38
CTAGE1	64693	other	1.33	1.76	2.87	1.69	2.45
LOC728836	728836	other	1.74	1.52	1.28	1.72	1.04
CR615261			3.01	1.95	3.46	1.73	2.64
C16orf79	283870	enzyme	-1.43	-1.85	-1.45	-1.2	-1.26
C14orf45	80127	other	1.74	1.62	2.27	2.23	1.53
RAB5A	5868	enzyme	1.4	-1.02	1.38	1.44	1.17
ZC3H13	23091	other	1.66	1.16	1.26	1.16	1.7
OCRL	4952	phosphatase	1.14	-1.09	2.59	1.49	1.71
BZW1	9689	translation regulator	-1.54	-1.68	-1.07	-1.21	-1.98
CR590180			1.37	1.39	1.36	-1.06	3.03
TTC7B	145567	other	1.24	1.13	2.45	1.59	1.34
CTAGE5	4253	enzyme	1.47	1.78	2.44	1.75	1.87
LOC642897			1.37	1.17	2.26	1.1	1.41
CITED4	163732	transcription regulator	1.36	2.28	-1.02	1.08	1.77
BC028842			1.64	1.09	3.34	1.44	2.02
C4orf16	55435	other	1.29	1.08	1.86	1.89	1.13
EAF1	85403	transcription regulator	1.36	1.43	1.76	1.19	1.1
APBB3	10307	other	1.52	1.45	2.75	2.26	3.32
WDR82	80335	other	-1.4	-1.46	-1.9	-1.39	-1.54
AK057015			-2.27	-2.38	-2.06	-3.04	-1.57
CTAGE4			1.49	1.8	2.57	1.76	1.83
AK022443			-1.31	1.21	NA	2.1	2.04
VPS24	51652	other	1.19	1.17	1.94	1.22	1.4
SERINC2	347735	transporter	1.54	1.94	1.05	2.16	2.1
CTAGE4			1.45	1.78	2.6	1.78	1.78
AL133018			1.46	1.7	2.71	1.76	1.72
CHGB	1114	other	2.11	1	2.57	1	1.37
HIST1H1B	3009	other	-1.61	-2.3	-8.03	-4.81	1
EGFR	1956	kinase	1.44	1.98	4.11	1.36	2.55
JAK1	3716	kinase	1.13	1.17	1.41	1.51	1.29
A_23_P2032			1.48	3.34	1.02	3.23	1.01
MED12	9968	transcription regulator	1.51	1.47	2.88	1.68	1.9
LOC441294	441294	other	1.28	1.62	2.64	1.65	1.93
AK057476	89874	other	3.52	1.85	7.37	1.52	5.76
CDKL5	6792	kinase	1.49	1.41	1.92	1.24	1.24
PCYOX1	51449	enzyme	-1.21	-1.34	-1.44	-1.35	-1.45
RHOT1	55288	enzyme	2.6	1.51	3.61	2.06	4.36
AK095300			-2.16	-2.04	-1.22	-1.65	-1.5
PIF1	80119	enzyme	-1.36	-1.63	-1.25	-1.14	-1.24
CITED4			1.55	2.39	-1.09	1.28	1.34
PML	5371	transcription regulator	1.07	1.21	2.15	1.55	1.22
PRDM1	639	transcription regulator	1.06	1.14	1.75	1.41	2.05
ZNF19	7567	transcription regulator	2.63	1.67	5.44	3.53	3.49
A_24_P622697			1.37	1.09	1.39	1.18	1.06
ZCCHC2	54877	other	-1.4	-1.76	-1.82	-1.01	-1.97
BC092421			1.35	1.63	1.89	1.89	1.87
LMAN1	3998	other	-1.12	-1.59	-1.19	-1.37	-1.28
SAFB	6294	other	-1.66	-2.23	-2.23	-1.84	-2.04
SLC16A6	9120	transporter	2.4	1.1	2.86	3.56	4.05
LOC339047	339047	other	1.31	2.25	3.1	2.6	2.88
LMNB1	4001	other	-1.65	-1.01	-1.7	-1.31	-1.59
AV702101			2.78	2.55	1.39	1.71	-1.03
GORASP2	26003	other	1.14	1.23	2.67	1.36	1.35
PHLDA1	22822	other	1.2	2.1	4.06	1.91	2.24
ANKHD1	54882	transcription regulator	1.33	1.16	2.19	1.71	1.52
TP53	7157	transcription regulator	1.58	1.3	1.65	1.89	3.12
UPP1	7378	enzyme	1.48	3.93	9.36	1.41	6.76
