Group name	Affy ID	Gene	Symbol	Array fold change 1% CSE	Array fold change 10% CSE	Array fold change 25% CSE
MAPK signalling	201041_s_at	Dual specificity phosphatase 1	DUSP1	-1.16	1.72	3.13
MAPK signalling	201044_x_at	Dual specificity phosphatase 1	DUSP1	-1.22	1.25	3.09
MAPK signalling	208893_s_at	Dual specificity phosphatase 6	DUSP6	1.23	1.03	-2.08
MAPK signalling	209664_x_at	Nuclear factor of activated T-cells1	NFATC1	-1.05	-2.26	-1.24
MAPK signalling	202545_at	Protein kinase Cdelta	PRKCD	-1.04	-1.59	-2.07
MAPK signalling	201328_at	v-ets erythroblastosis virus E26 oncogene homolog 2	ETS2	1.06	2.06	2.14
AP-1 signalling	204420_at	FOS-like antigen 1	FOSL1	1.04	1.67	2.01
AP-1 signalling	218880_at	FOS-like antigen 2	FOSL2	1.52	2.55	2.78
AP-1 signalling	201465_s_at	v-Jun sarcoma virus 17 oncogene homolog (avian)	JUN	2.81	4.27	5.9
AP-1 signalling	201466_s_at	v-Jun sarcoma virus 17 oncogene homolog (avian)	JUN	1.37	2.33	2.77
NF-kappaB signalling	228177_at	CREB binding protein (Rubinstein–Taybi syndrome)	CREBBP	1.07	1.78	2.24
NF-kappaB signalling	204549_at	Inhibitor of kappalight polypeptide gene enhancer in B-cells, kinase epsilon	IKK3	-1.09	-1.92	-2
NF-kappaB signalling	209239_at	Nuclear factor kappa B1 (p50, p105)	NFKB1	-1.03	-1.15	-2.06
NF-kappaB signalling	201502_s_at	Nuclear factor kappalight polypeptide gene enhancer in B-cells inhib alpha	NFKBIA	-1.13	-1.1	-2.03
NF-kappaB signalling	202643_s_at	TNFalpha-induced protein 3	TNFAIP3 / A20	-1.07	-1.34	-2.92
Toll-like receptor signalling	231779_at	Interleukin-1 receptor associated kinase 2	IRAK2	1.23	2.35	1.43
Toll-like receptor signalling	237342_at	Toll interacting protein	TOLLIP	1.77	5.62	3.67
Toll-like receptor signalling	204924_at	Toll-like receptor 2	TLR2	1.06	-1.19	-2.31
Other signalling	205891_at	Adenosine A2b receptor	ADORA2B	1.26	2.52	3.27
Other signalling	1570507_at	B-catenin	CTNNB1	1.55	2.1	2.99
Other signalling	208712_at	Cyclin D1	CCND1	-1.02	-2.25	-1.85
Other signalling	206369_s_at	Phosphoinositide-3-kinase, catalytic, gamma subunit	PIK3CG	-1.08	-2.06	-2.08
Other signalling	239294_at	Phosphoinositide-3-kinase, catalytic, gamma subunit	PIK3CG	-1.06	-1.72	-2.03
Other signalling	207091_at	Purinergic receptor P2X, ligand-gated ion channel, 7	P2RX7	-2.37	-3.98	-3.46
Other signalling	205841_at	Janus kinase 2 (a protein tyrosine kinase)	JAK2	-1.14	-3.82	-2.33
Other signalling	205842_s_at	Janus kinase 2 (a protein tyrosine kinase)	JAK2	-1.54	-2.94	-2.84
Other signalling	227677_at	Janus kinase 3 (a protein tyrosine kinase, leucocyte)	JAK3	-1.22	-1.5	-2.03
Other signalling	232375_at	Signal transducer and activator of transcription 1	STAT1	-1.05	-1.23	-2.68
