Probe set ID	Gene symbol	Control mean	Knock-down mean	Fold change	P-value
209122_at	ADFP	507.68	1770.48	3.49	0.002
202912_at	ADM	1520.93	3907.83	2.57	0.009
221577_x_at	GDF15	1008.05	2476.28	2.46	0.01
217028_at	CXCR4	906.39	2121.55	2.34	0.019
201631_s_at	IER3	2014.52	4662.5	2.31	0.008
201170_s_at	BHLHB2	871.26	1934.09	2.22	0.007
202644_s_at	TNFAIP3	642.6	1460.89	2.27	0.098
218145_at	TRIB3	765.57	1689.03	2.21	0.073
202627_s_at	SERPINE1	751.51	1649.65	2.2	0.067
217997_at	PHLDA1	166.68	526.31	3.16	0.071
200632_s_at	NDRG1	1197.63	2478.69	2.07	0.029
211919_s_at	CXCR4	802	1676.47	2.09	0.032
204597_x_at	STC1	322.14	763.66	2.37	0.044
212689_s_at	JMJD1A	392.79	870.45	2.22	0.031
211527_x_at	VEGF	191.38	529.1	2.76	0.009
221827_at	C20orf18	1051.33	2080.89	1.98	0.009
202769_at	CCNG2	308.58	707.92	2.29	0.013
201466_s_at	JUN	151.22	453.6	3	0.011
36711_at	MAFF	293.1	682.91	2.33	0.011
212724_at	RND3	706.14	1413.65	2	0.042
210512_s_at	VEGF	844.03	1669.64	1.98	0.007
200920_s_at	BTG1	671.17	1341.53	2	0.047
211962_s_at	ZFP36L1	347.49	757.68	2.18	0.005
221477_s_at	MGC5618	532.07	1080.21	2.03	0.027
218456_at	C1QDC1	342.13	734.55	2.15	0.007
40446_at	PHF1	288.55	642.9	2.23	0.003
207992_s_at	AMPD3	109.65	365.86	3.34	0.009
209566_at	INSIG2	176.93	466	2.63	0.004
210999_s_at	GRB10	306.25	663.11	2.17	0.046
212171_x_at	VEGF	361.13	754.97	2.09	0.027
203438_at	STC2	217.36	519.61	2.39	0.009
212665_at	TIPARP	859.71	1619.29	1.88	0.012
203476_at	TPBG	442.23	884.34	2	0.023
202497_x_at	SLC2A3	164.17	430.44	2.62	0.018
205067_at	IL1B	211.01	490.59	2.32	0.042
202364_at	MXI1	815.82	1474.5	1.81	0.046
203108_at	GPRC5A	1365.46	2412.73	1.77	0.028
201849_at	BNIP3	1214.29	2123.66	1.75	0.002
209882_at	RIT1	232.39	490.69	2.11	0.012
218335_x_at	TNIP2	526.22	954.81	1.81	0.002
215493_x_at	BTN2A1	226.27	481.06	2.13	0.037
205193_at	MAFF	131.9	342.26	2.59	0.012
204015_s_at	DUSP4	454.23	835.3	1.84	0.022
219901_at	FGD6	179.98	405.86	2.26	0.022
202770_s_at	CCNG2	117.06	313.96	2.68	0.049
214683_s_at	CLK1	124.65	317.09	2.54	0.021
48531_at	TNIP2	333.02	629.77	1.89	0.011
220046_s_at	CCNL1	304	579.96	1.91	0.029
209124_at	MYD88	303.3	575.15	1.9	0.003
203574_at	NFIL3	564.85	982.66	1.74	0.046
