Gene symbol	Description	CHR-2797 6 h	CHR-2797 24 h	w/o AAs 6 h
CLEC7A	C-type lectin domain family 7, member A	6.7	29.5	6.3
STC2	Stanniocalcin 2	13.3	15.3	3.7
RETN	Resistin	1.4	15	0.7
CCNG2	Cyclin G2	5.1	13.9	4.5
DDIT4	DNA-damage-inducible transcript 4 (REDD1)	18.7	13.8	4
CDKN1A	Cyclin-dependent kinase inhibitor 1A (p21, Cip1)	1.7	11.7	3
CTH	Cystathionine ?-lyase	17.9	11.3	1.7
SESN2	Sestrin 2	14	10	3.9
PPP1R15A	Protein phosphatase 1, regulatory (inhibitor) subunit 15A (GADD34)	4.5	7.5	5.9
ATF5	Activating transcription factor 5	4.2	7.1	1.9
TRIB3	Tribbles homologue 3	4.7	6.7	2.6
MGC4504	Hypothetical protein	11.9	6	5.1
ATF3	Activating transcription factor 3	8.1	5.9	3.9
VEGF	Vascular endothelial growth factor	5.8	5.4	2.3
FYN	Protooncogene tyrosine protein kinase Fyn	4.6	5.1	2.4
ASNS	Asparagine synthetase	4.4	5.1	1.8
DDIT3	DNA-damage-inducible transcript 3 (CHOP, GADD153)	5.2	4.8	3.8
WARS	Tryptophanyl-tRNA synthetase	1.9	4.2	1.2
SLC7A11	Solute carrier family 7, (cationic amino acid transporter, y+ system) member 11	7.5	3.8	4.8
ASS	Argininosuccinate synthetase	1.6	3.7	0.7
CBS	Cystathionine ?-synthase	3.8	3.4	1.6
SLC38A2	Solute carrier family 38, member 2 (SNAT2)	4	3.1	3.4
IL-8	Interleukin 8	3.8	3	4.6
GADD45A	Growth arrest and DNA-damage-inducible, ? (DDIT1)	3.5	2.9	1
PSAT1	Phosphoserine aminotransferase 1	2.9	2.2	1.3
CARS	Cysteinyl-tRNA synthetase	2.2	2	2.8
CEBPB	CCAAT/enhancer binding protein (C/EBP), ?	1.2	1.9	2.9
SARS	Seryl-tRNA synthetase	1.6	1.9	1.1
MARS	Methionine-tRNA synthetase	2.1	1.4	1.4
