Affymetrix probe set	Gene symbol	Fold difference (CAF/NF)	Gene name
220979_s_at	ST6GALNAC5	12.2	ST6 (?-N-acetyl-neuraminyl-2,3-?-galactosyl-1,3)-N-acetylgalactosaminide ?-2,6-sialyltransferase 5
219090_at	SLC24A3	6.3	Solute carrier family 24 (sodium/potassium/calcium exchanger), member 3
223484_at	C15orf48	5.7	Chromosome 15 open reading frame 48
209909_s_at	TGFB2	5.6	Transforming growth factor, ? 2
202718_at	IGFBP2	5.4	Insulin-like growth factor-binding protein 2
207426_s_at	TNFSF4	5.2	Tumor necrosis factor (ligand) superfamily, member 4
228109_at	RASGRF2	4.5	Ras protein-specific guanine nucleotide-releasing factor 2
217428_s_at	COL10A1	4.4	Collagen, type X, ? 1 (Schmid metaphyseal chondrodysplasia)
203397_s_at	GALNT3	4.3	UDP-N-acetyl-?-d-galactosamine:polypeptide N-acetylgalactosaminyl transferase 3 (GalNAc-T3)
209604_s_at	GATA3	4.2	GATA-binding protein 3
226701_at	GJA5	4.1	Gap junction protein, ? 5, 40?kDa
202796_at	SYNPO	3.7	Synaptopodin
204653_at	TFAP2A	3.6	Transcription factor AP-2 ? (activating enhancer-binding protein 2 ?)
206796_at	WISP1	3.1	WNT1 inducible signaling pathway protein 1
205286_at	TFAP2C	2.9	Transcription factor AP-2 ? (activating enhancer-binding protein 2 ?)
47550_at	LZTS1	2.7	Leucine zipper, putative tumor suppressor 1
213541_s_at	ERG	2.6	V-ets erythroblastosis virus E26 oncogene homolog (avian)
219655_at	C7orf10	2.6	Chromosome 7 open reading frame 10
236738_at	LOC401097	2.5	Similar to LOC166075
203821_at	HBEGF	2.3	Heparin-binding EGF-like growth factor
202625_at	LYN	2.1	V-yes-1 Yamaguchi sarcoma viral-related oncogene homolog
