Gene ID	Fold Change	q-value (%)	Accession	Unigene	Symbol	Function	Gene Name
204475_at	5.37	0.32	NM_002421	Hs.83169	MMP1	Proteolysis	matrix metalloproteinase 1 (interstitial collagenase)
230147_at	4.58	0.32	NM_004101	Hs.194351	F2RL2	Signaling	F2RL2 Coagulation factor II (thrombin) receptor-like 2
204614_at	3.57	0.32	NM_002575	Hs.75716	SERPINB2	Apoptosis	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 2
223062_s_at	2.6	0.32	NM_021154	Hs.286049	PSA	Other/Unknown	phosphoserine aminotransferase
201650_at	2.5	0.32	NM_002276	Hs.182265	KRT19	Cytoskeleton	keratin 19
201849_at	2.32	0.32	NM_004052	Hs.79428	BNIP3	Apoptosis	BCL2/adenovirus E1B 19kDa interacting protein 3
225138_at	2.25	0.32	NM_017580	Hs.26320	TRABID	Signaling	TRAF-binding protein domain
226955_at	2.23	0.32	H28999	Hs.64313	FLJ36748	Other/Unknown	hypothetical protein FLJ36748
226279_at	2.22	0.54	NM_007173	Hs.25338	SPUVE	Proteolysis	protease, serine, 23
224579_at	2.17	0.32	AK024263	Hs.193063	NA	0 Other/Unknown	Homo sapiens cDNA FLJ14201 fis, clone NT2RP3002955, mRNA sequence
201848_s_at	2.15	0.32	NM_004052	Hs.79428	BNIP3	Apoptosis	BCL2/adenovirus E1B 19kDa interacting protein 3
227971_at	2.06	0.68	AI653107	Hs.30643	NA	Signaling	CNH.2, nck-interacting kinase-like embryo specific kinase
226281_at	2.06	0.54	NM_139072	Hs.234074	DNER	Signaling	delta-notch-like EGF repeat-containing transmembrane
205501_at	2	0.68	AI143879	Hs.348762	NA	0 Signaling	Homo sapiens cDNA FLJ25677 fis, clone TST04054, mRNA sequence
212281_s_at	1.99	0.32	L19183	Hs.199695	MAC30	Other/Unknown	hypothetical protein MAC30
228273_at	1.99	0.54	BG165011	Hs.165909	NA	0 Other/Unknown	ESTs, Weakly similar to hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]
203180_at	1.95	0.54	NM_000693	Hs.75746	ALDH1A3	Apoptosis	aldehyde dehydrogenase 1 family, member A3
226694_at	1.93	0.78	NM_007203	Hs.42322	AKAP2	Signaling	A kinase (PRKA) anchor protein 2
228570_at	1.91	0.68	NM_152322	Hs.271272	FLJ33957	Other/Unknown	hypothetical protein FLJ33957
222412_s_at	1.91	0.78	NM_007107	Hs.28707	SSR3	Signaling	signal sequence receptor, gamma (translocon-associated protein gamma)
230493_at	1.84	1.44	AW664964	Hs.433791	NA	0 Other/Unknown	ESTs, Weakly similar to hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]
224435_at	1.82	1.25	NM_032333	Hs.334437	MGC4248	Other/Unknown	hypothetical protein MGC4248
222431_at	1.82	2.13	NM_006717	Hs.289043	SPIN	Cell Cycle	spindlin
224731_at	1.8	1.44	NM_002128	Hs.6727	HMGB1	Tx Factor	high-mobility group box 1
224761_at	1.8	1.25	NM_006572	Hs.9691	GNA13	Signaling	guanine nucleotide binding protein (G protein), alpha 13
228904_at	1.8	1.44	NM_002146	Hs.166014	HOXB3	Tx Factor	Homeobox B3
221923_s_at	1.8	0.78	NM_002520	Hs.355719	NPM1	Other/Unknown	nucleophosmin (nucleolar phosphoprotein B23, numatrin)
234994_at	1.79	1.49	AA088177	Hs.172870	KIAA1913	Other/Unknown	KIAA1913 protein
238462_at	1.78	2.2	NM_032873	Hs.55067	KIAA1959	Other/Unknown	nm23-phosphorylated unknown substrate
225520_at	1.77	2.13	NM_015440	Hs.44155	DKFZP586G1517	Other/Unknown	DKFZP586G1517 protein
226022_at	1.77	2.2	AU144882	Hs.421529	NA	0 Other/Unknown	Homo sapiens cDNA FLJ13545 fis, clone PLACE1006867, mRNA sequence
200005_at	1.75	1.44	NM_003753	Hs.55682	EIF3S7	Translation	eukaryotic translation initiation factor 3, subunit 7 zeta, 66/67kDa
206307_s_at	1.74	1.25	NM_004472	Hs.96028	FOXD1	Tx Factor	forkhead box D1
200040_at	1.73	2.37	NM_006559	Hs.119537	KHDRBS1	Signaling	KH domain containing, RNA binding, signal transduction associated 1
201195_s_at	1.69	2.13	NM_003486	Hs.184601	SLC7A5	Transporter/Channel	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5
218592_s_at	1.68	1.49	NM_017829	Hs.26890	CECR5	Other/Unknown	cat eye syndrome chromosome region, candidate 5
221773_at	1.68	1.63	AW575374	Hs.288555	NA	0 Tx Factor	Homo sapiens cDNA: FLJ22425 fis, clone HRC08686, mRNA sequence
225562_at	1.67	2.37	NM_007368	Hs.119274	GAP1IP4BP	Signaling	Ins(1,3,4,5)P4-binding protein
225890_at	1.66	2.2	NM_052865	Hs.320831	C20orf72	Other/Unknown	chromosome 20 open reading frame 72
212282_at	1.66	1.44	L19183	Hs.199695	MAC30	Other/Unknown	hypothetical protein MAC30
225464_at	1.66	2.2	NM_152330	Hs.250705	C14orf31	Other/Unknown	chromosome 14 open reading frame 31
232520_s_at	1.65	2.52	AK023585	Hs.343962	NA	0 Other/Unknown	Homo sapiens cDNA FLJ13523 fis, clone PLACE1005968, mRNA sequence
226614_s_at	1.65	2.13	BE856336	Hs.35453	C8orf13	Other/Unknown	chromosome 8 open reading frame 13
228737_at	1.64	2.64	NM_032883	Hs.26608	C20orf100	Tx Factor	chromosome 20 open reading frame 100
224644_at	1.64	2.64	AV724183	Hs.7869	NA	0 Other/Unknown	Homo sapiens cDNA FLJ31362 fis, clone NB9N41000011, mRNA sequence
205047_s_at	1.64	2.37	NM_001673	Hs.75692	ASNS	metabolism	asparagine synthetase
225481_at	1.63	2.52	NM_152330	Hs.250705	C14orf31	Other/Unknown	chromosome 14 open reading frame 31
235113_at	1.63	3.03	NM_152329	Hs.374811	PPIL5	Other/Unknown	peptidylprolyl isomerase (cyclophilin) like 5
218611_at	1.62	2.13	NM_016545	Hs.15725	IER5	Other/Unknown	immediate early response 5
229353_s_at	1.62	2.13	NM_022731	Hs.118064	NUCKS	Signaling	similar to rat nuclear ubiquitous casein kinase 2
223598_at	1.62	3.03	NM_020390	Hs.104660	EIF5A2	Translation	eukaryotic translation initiation factor 5A2
224791_at	1.61	3.03	NM_018482	Hs.10669	DDEF1	Other/Unknown	development and differentiation enhancing factor 1
238974_at	1.6	3.03	NM_153689	Hs.40782	FLJ38973	Other/Unknown	hypothetical protein FLJ38973
232914_s_at	1.6	3.03	NM_017695	Hs.92254	SYTL2	Other/Unknown	synaptotagmin-like 2
222467_s_at	1.59	3.03	NM_018312	Hs.180817	C11orf23	Other/Unknown	chromosome 11 open reading frame 23
223096_at	1.58	3.03	NM_015934	Hs.119908	NOP5 / NOP58	Other/Unknown	nucleolar protein NOP5/NOP58
212646_at	1.54	2.64	D42043	Hs.79123	KIAA0084	Other/Unknown	KIAA0084 protein
224833_at	1.54	2.52	NM_005238	Hs.18063	ETS1	Tx Factor	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)
205717_x_at	0.66	2.64	NM_002588	Hs.284180	PCDHGC3	ECM-Adhesion	protocadherin gamma subfamily C, 3
222240_s_at	0.66	2.52	NM_016368	Hs.405873	ISYNA1	Other/Unknown	myo-inositol 1-phosphate synthase A1
202479_s_at	0.65	3.03	NM_021643	Hs.155418	GS3955	Other/Unknown	GS3955 protein
211600_at	0.65	3.03	U20489		NA	0 metabolism	NA
204086_at	0.64	2.37	NM_006115	Hs.30743	PRAME	Tumor	preferentially expressed antigen in melanoma
210904_s_at	0.64	2.37	NM_001560	Hs.285115	IL13RA1	Immunity	interleukin 13 receptor, alpha 1
