Probe set	Gene Symbol	Description	Fold change shRNA242	Fold change shRNA 558
212061_at	SR140	U2-associated SR140 protein	1.87	0.899
219157_at	KLHL2	kelch-like 2, Mayven (Drosophila)	1.81	0.719
226641_at	ANKRD44	ankyrin repeat domain 44	1.73	0.937
233054_at	CNOT2	CCR4-NOT transcription complex, subunit 2	1.68	1.41
239252_at	NA	NA	1.65	0.963
1556126_s_at	GPATC2	G patch domain containing 2	1.63	0.623
33197_at	MYO7A	myosin VIIA	1.59	1.04
233197_at	KLHL9	kelch-like 9 (Drosophila)	1.51	1.23
228032_s_at	NA	NA	1.42	0.902
213846_at	COX7C	cytochrome c oxidase subunit VIIc	1.34	0.982
235882_at	NA	NA	1.32	0.849
223182_s_at	AGPAT3 /// LOC653101	1-acylglycerol-3-phosphate O-acyltransferase 3	1.22	0.711
209420_s_at	SMPD1	sphingomyelin phosphodiesterase 1, acid	1.22	0.629
226440_at	DUSP22	dual specificity phosphatase 22	1.17	0.712
218288_s_at	MDS025	coiled-coil domain containing 90B	1.16	0.752
232126_at	COQ2	coenzyme Q2 homolog, prenyltransferase (yeast)	1.15	1.07
219628_at	WIG1	zinc finger, matrin type 3	1.11	0.793
203599_s_at	WBP4	WW domain binding protein 4 (formin binding)	1.11	0.747
227031_at	NA	NA	1.1	0.892
219106_s_at	KBTBD10	kelch repeat and BTB (POZ) domain containing	1.07	0.945
228315_at	NA	NA	1.07	0.831
1553148_a_at	SNX13	sortin nexin 13	1.03	0.74
224883_at	PLDN	pallidin homolog (mouse)	1.03	0.61
218845_at	DUSP22	dual specificity phosphatase 22	1.02	0.641
227306_at	NA	NA	1	1.19
226081_at	LZIC	leucine zipper and CTNNBIP1 domain containing	0.937	0.788
217388_s_at	KYNU	kyureninase (L-kyurenine hydrolase)	0.928	0.594
227221_at	NA	NA	0.918	0.755
209379_s_at	KIAA1128	KIAA1128	0.885	0.665
201038_s_at	ANP32A	acidic (leucine-rich) nuclear phosphoprotein 32	0.88	0.673
208736_at	ARPC3	actin related protein 2/3 complex, subunit 3	0.86	0.813
1558733_at	ZBTB38	zinc finger and BTB domain containing 38	0.836	0.62
215548_s_at	SCFD1	sec1 family domain containing 1	0.833	0.633
217491_x_at	COX7C	cytochrome c oxidase subunit VIIc	0.815	0.691
235722_at	SYNJ2BP	synaptojanin 2 binding protein	0.81	0.596
201134_x_at	COX7C	cytochrome c oxidase subunit VIIc	0.786	0.765
229713_at	NA	NA	0.785	0.693
228852_at	ENSA	endosulfine alpha	0.773	0.719
1559426_at	SMURF1	SMAD specific E3 ubiquitin protein ligase 1	0.753	0.837
213791_at	PENK	proenkephalin	0.751	1.08
205854_at	TULP3	tubby like protein 3	0.749	0.73
241244_at	NA	NA	0.729	1.28
225163_at	FRMD4A	FERM domain containing 4A	0.72	0.74
201455_s_at	NPEPPS /// LOC649270	aminopeptidase puromycin sensitive	0.691	0.695
222465_at	C15orf15 /// LOC284288	chromosome 15 open reading frame 15	0.688	0.602
217782_s_at	GPS1	G protein pathway suppressor 1	0.683	0.625
209398_at	HIST1H1C	histone cluster 1, H1c	0.664	1.04
223166_x_at	C9orf86	chromosome 9 open reading frame 86	0.649	0.901
