Accession no. b	Gene symbol	Title	Function a	P-value c	Expression
NM_005998	CCT3	Chaperonin-containing TCP1, subunit 3 (gamma)	Actin and tubulin folding	0.001186538	Genes that have significantly higher expression level in diffuse- than intestinal-type gastric cancer
AF141347	TUBA3	Tubulin, alpha 3	Cytoskeleton	0.005992473	Genes that have significantly higher expression level in diffuse- than intestinal-type gastric cancer
W72297	FLJ20533	Hypothetical protein FLJ20533	Unknown	0.000504459	Genes that have significantly higher expression level in diffuse- than intestinal-type gastric cancer
D21853	KIAA0111	KIAA0111 gene product	Unknown	0.00028293	Genes that have significantly higher expression level in diffuse- than intestinal-type gastric cancer
Y10805	HRMT1L2	HMT1 hnRNP methyltransferase-like 2 (S. cerevisiae)	Methylation	0.002430301	Genes that have significantly higher expression level in diffuse- than intestinal-type gastric cancer
AF007872	TOR1B	Torsin family 1, member B (torsin B)	Chaperone, heat-shock protein activity	6.64E-05	Genes that have significantly higher expression level in diffuse- than intestinal-type gastric cancer
S76822	FDFT1	Farnesyl-diphosphate farnesyltransferase 1	Lipid metabolism	1.50E-05	Genes that have significantly higher expression level in diffuse- than intestinal-type gastric cancer
AF039690	SDCCAG8	Serologically defined colon cancer antigen 8	Tumor Ag	7.96E-05	Genes that have significantly higher expression level in diffuse- than intestinal-type gastric cancer
M85217	KCNA3	Potassium voltage-gated channel, shaker-related subfamily, member 3	Potassium ion transportation	1.02E-06	Genes that have significantly higher expression level in diffuse- than intestinal-type gastric cancer
M33680	CD81	CD81 antigen (target of antiproliferative antibody 1)	Signal transduction, cell motility	0.00455433	Genes that have significantly higher expression level in diffuse- than intestinal-type gastric cancer
BF980037	MGC10433	Hypothetical protein MGC10433	Unknown	0.000447196	Genes that have significantly higher expression level in diffuse- than intestinal-type gastric cancer
NM_002435	MPI	Mannose phosphate isomerase	Glycosylation	0.000549555	Genes that have significantly higher expression level in diffuse- than intestinal-type gastric cancer
NM_002406	MGAT1	Mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	N-glycan biosynthesis, membrane integrity	0.000168686	Genes that have significantly higher expression level in diffuse- than intestinal-type gastric cancer
NM_002951	RPN2	Ribophorin II	N-glycan biosynthesis, membrane integrity	7.48E-05	Genes that have significantly higher expression level in diffuse- than intestinal-type gastric cancer
BE730328	PSK-1	Type I transmembrane receptor (seizure-related protein)	Adhesion protein	0.001107428	Genes that have significantly higher expression level in intestinal- than diffuse-type gastric cancer
AW276348	MUC5B	Mucin 5, subtype B, tracheobronchial	Salivary mucin synthesis	5.83E-05	Genes that have significantly higher expression level in intestinal- than diffuse-type gastric cancer
AA743462		ESTs, Moderately similar to hypothetical protein FLJ20378 [Homo sapiens] [H.sapiens]	Unknown	0.000156482	Genes that have significantly higher expression level in intestinal- than diffuse-type gastric cancer
AA772278	KIAA1673	KIAA1673	Unknown	0.000260902	Genes that have significantly higher expression level in intestinal- than diffuse-type gastric cancer
AW964577		ESTs, Weakly similar to Y18D10A.16.p [Caenorhabditiselegans] [C. elegans]	Unknown	0.002677221	Genes that have significantly higher expression level in intestinal- than diffuse-type gastric cancer
J05633	ITGB5	Integrin, beta 5	Cell–matrix adhesion, signal transduction	5.24E-07	Genes that have significantly higher expression level in intestinal- than diffuse-type gastric cancer
M16660	HSPCB	Heat-shock 90 kDa protein 1, beta	Heat-shock protein activity	0.00191956	Genes that have significantly higher expression level in intestinal- than diffuse-type gastric cancer
