Gene Title	Gene Symbol	RefSeq Transcript Id	p-value(TREATMENTS)	p-value(Let7b - negative control1)	ratio (Let7b - negative control1)	p-value(Let7b - negative control2)	ratio (Let7b - negative control2)
haloacid dehalogenase-like hydrolase domain containing 1A	HDHD1A	NM_012080	1.03E-11	1.83E-11	-2.71347	5.89E-12	-3.07909
transmembrane 4 L six family member 20	TM4SF20	NM_024795	1.59E-08	8.87E-09	-2.59749	2.87E-08	-2.27239
high mobility group AT-hook 2 /// high mobility group AT-hook 2	HMGA2	NM_001015886 /// NM_003483 /// NM_003484	4.08E-10	6.53E-10	-2.11164	2.48E-10	-2.35366
dopa decarboxylase (aromatic L-amino acid decarboxylase)	DDC	NM_000790	2.55E-11	2.94E-11	-2.0939	1.99E-11	-2.18776
lin-28 homolog B (C. elegans)	LIN28B	NM_001004317	6.77E-12	1.34E-10	-2.05419	1.92E-12	-3.30099
fibrinogen beta chain	FGB	NM_005141	1.48E-07	4.92E-07	-2.03096	6.08E-08	-2.58588
chromosome 9 open reading frame 125 /// chromosome 9 open reading frame 125	C9orf125	NM_032342	1.05E-07	1.18E-07	-1.97781	8.01E-08	-2.06729
fibrinogen beta chain	FGB	NM_005141	2.06E-09	5.34E-09	-1.9513	9.60E-10	-2.36822
Chromobox homolog 5 (HP1 alpha homolog, Drosophila)	CBX5	NM_012117	4.31E-05	3.83E-05	-1.92991	3.55E-05	-1.94873
chromosome 6 open reading frame 176	C6orf176	XM_499048	4.55E-09	8.65E-09	-1.90363	2.47E-09	-2.1935
Dicer1, Dcr-1 homolog (Drosophila)	DICER1	NM_030621 /// NM_177438	8.60E-09	2.16E-08	-1.8869	4.04E-09	-2.2821
ERO1-like (S. cerevisiae)	ERO1L	NM_014584	8.95E-13	1.16E-12	-1.87685	6.38E-13	-2.00625
heterogeneous nuclear ribonucleoprotein C (C1/C2)	HNRPC	NM_004500 /// NM_031314	1.13E-09	9.59E-10	-1.86869	1.17E-09	-1.82754
Dicer1, Dcr-1 homolog (Drosophila)	DICER1	NM_030621 /// NM_177438	8.67E-09	2.80E-08	-1.83404	3.66E-09	-2.31021
CDNA FLJ26015 fis, clone MPC03596	NA	NA	1.22E-08	1.39E-08	-1.82122	9.34E-09	-1.90555
zinc finger, CSL-type containing 2	ZCSL2	NM_206831	9.19E-10	1.79E-09	-1.78074	4.95E-10	-2.05834
CDC20-like protein	FLJ37927	NM_152623	0.000276561	8.32E-05	-1.71872	0.00222672	-1.07471
RNA pseudouridylate synthase domain containing 3	RPUSD3	NM_173659	1.28E-10	1.60E-10	-1.68298	9.29E-11	-1.78871
potassium inwardly-rectifying channel, subfamily J, member 16	KCNJ16	NM_018658 /// NM_170741 /// NM_170742	3.28E-08	1.49E-07	-1.6595	1.22E-08	-2.20965
neuroblastoma RAS viral (v-ras) oncogene homolog	NRAS	NM_002524	9.78E-12	1.13E-11	-1.64907	7.64E-12	-1.72212
hypothetical LOC83640	MGC2560	NM_031452	1.96E-10	1.88E-10	-1.6382	1.81E-10	-1.64519
Solute carrier family 4, sodium bicarbonate cotransporter, member 5	SLC4A5	NM_021196 /// NM_033323 /// NM_133478 /// NM_133479	2.33E-08	6.71E-09	-1.61994	3.73E-07	-1.02222
jub, ajuba homolog (Xenopus laevis)	JUB	NM_032876 /// NM_198086	1.16E-09	6.76E-10	-1.58732	1.97E-09	-1.4072
nucleoporin 98kDa	NUP98	NM_005387 /// NM_016320 /// NM_139131 /// NM_139132	2.99E-10	5.58E-10	-1.58055	1.66E-10	-1.81079
hyaluronan-mediated motility receptor (RHAMM)	HMMR	NM_012484 /// NM_012485	3.10E-10	6.22E-10	-1.57449	1.65E-10	-1.82722
organic solute transporter beta	OSTbeta	NM_178859	7.94E-08	2.57E-07	-1.572	3.31E-08	-1.98966
CDNA clone IMAGE:5301910	NA	NA	4.33E-08	4.04E-08	-1.56785	3.96E-08	-1.57175
Protein kinase, cAMP-dependent, regulatory, type II, alpha	PRKAR2A	NM_004157	1.27E-12	1.59E-12	-1.56136	9.36E-13	-1.65585
Dicer1, Dcr-1 homolog (Drosophila)	DICER1	NM_030621 /// NM_177438	2.26E-07	1.18E-06	-1.56028	8.02E-08	-2.1326
cell division cycle 34	CDC34	NM_004359	1.54E-08	2.01E-08	-1.55002	1.07E-08	-1.66521
Protein kinase, cAMP-dependent, regulatory, type II, alpha	PRKAR2A	NM_004157	6.18E-10	5.66E-10	-1.5425	5.91E-10	-1.53501
Galactosidase, beta 1	GLB1	NM_000404	1.01E-09	3.01E-09	-1.53912	4.44E-10	-1.90889
serpin peptidase inhibitor, clade B (ovalbumin), member 9	SERPINB9	NM_004155	3.83E-11	2.62E-10	-1.51528	1.30E-11	-2.12096
jub, ajuba homolog (Xenopus laevis)	JUB	NM_032876 /// NM_198086	7.20E-09	4.97E-09	-1.50851	9.45E-09	-1.40275
fibrinogen alpha chain	FGA	NM_000508 /// NM_021871	4.00E-11	2.29E-10	-1.50784	1.42E-11	-2.05873
