Gene Symbol	Gene Name/Description	Relative Expression Ratio RET9:RET-ve/RET9:RET51	P	HSE	Factor
RET	RET proto-oncogene	7.82	<0.001		RET9>RET-ve
PER3	Period homolog 3 (Drosophila)	3.51	<0.001		RET9>RET-ve
MAPKAPK2	Mitogen-activated protein kinase-activated protein kinase 2	3.39	0.003		RET9>RET-ve
SYMPK	Symplekin; Huntingtin interacting protein I	3.35	0.002	+	RET9>RET-ve
KCNJ10	Potassium inwardly-rectifying channel, subfamily J, member 10	3.14	<0.001		RET9>RET-ve
HSPA1A	Heat shock 70 kD protein 1	3.05	<0.001	+	RET9>RET-ve
DRLM	Down-regulated in liver malignancy	2.98	0.001		RET9>RET-ve
EEA1	Early endosome antigen 1, 162 kD	2.93	0.005		RET9>RET-ve
CLDN5	Claudin 5 (transmembrane protein deleted velocardiofacial syndrome)	2.88	0.001		RET9>RET-ve
MRPL23	Ribosomal protein L23-like	2.88	<0.001		RET9>RET-ve
SDK1	Sidekick homolog 1 (chicken)	2.85	<0.001		RET9>RET-ve
HSPA1B	Heat shock 70 kDa protein 1B	2.83	<0.001	+	RET9>RET-ve
POLR2I	Polymerase (RNA) II (DNA directed) polypeptide I, 14.5 kDa	2.6	0.001		RET9>RET-ve
CROC4	Transcriptional activator of the c-fos promoter	2.55	<0.001		RET9>RET-ve
SUPT5H	Suppressor of Ty (Saccharomyces cerevisiae) 5 homolog	2.48	<0.001		RET9>RET-ve
ATP2C1	ATPase, Ca++ transporting, type 2C, member 1	2.47	0.001		RET9>RET-ve
FADS3	Fatty acid desaturase 3	2.42	<0.001		RET9>RET-ve
INSM1	Insulinoma-associated 1	2.38	<0.001		RET9>RET-ve
LOC149420	Casein kinase	2.35	<0.001		RET9>RET-ve
DKFZp727A071	Similar to tRNA synthetase class II	2.27	<0.001		RET9>RET-ve
CLU	Clusterin	2.21	0.015		RET9>RET-ve
ABO26190	Kelch motif containing protein	2.2	<0.001		RET9>RET-ve
CYB5R1	Cytochrome b5 reductase 1 (B5R.1)	2.17	<0.001		RET9>RET-ve
FKBP4	FK506-binding protein 4 (59 kD)	2.16	0.007	+	RET9>RET-ve
SLC16A3	Solute carrier family 16 (monocarboxylic acid transporters)-3	2.14	<0.001		RET9>RET-ve
SCARA3	Scavenger receptor class A, member 3	2.11	<0.001		RET9>RET-ve
JTB	Jumping translocation breakpoint	2.07	0.037		RET9>RET-ve
HSPA1L	Heat shock 70 kD protein-like 1	2.06	<0.001	+	RET9>RET-ve
DUSP8	Dual specificity phosphatase 8	2.04	0.052		RET9>RET-ve
ENDOG	Endonuclease G	2.03	0.022		RET9>RET-ve
NOV	Nephroblastoma overexpressed gene	2.02	0.003		RET9>RET-ve
AKAP9	A kinase (PRKA) anchor protein 9	2.01	<0.001		RET9>RET-ve
MOCS3	Molybdopterin synthase sulfurylase	2.01	<0.001		RET9>RET-ve
DDX9	DEAD/H box polypeptide 9 (RNA helicase A, leukophysin)	1.81	0.026		RET9>RET-ve
DELGEF	Deafness locus associated putative guanine nucleotide exchange factor	1.8	0.001		RET9>RET-ve
GRP	Gastrin-releasing peptide	1.8	<0.001		RET9>RET-ve
CTSC	Cathepsin C	1.76	0.038		RET9>RET-ve
SCHIP1	Schwannomin interacting protein 1	1.76	0.013		RET9>RET-ve
S100A10	S100 calcium-binding protein A10 [annexin II ligand, calpactin I, light polypeptide (p11)]	1.73	0.006	+	RET9>RET-ve
HEY1	Hairy/enhancer-of-split related with YRPW motif 1	1.6	0.094		RET9>RET-ve
PFKL	Phosphofructokinase, liver	1.56	0.071		RET9>RET-ve
CD151	CD151 antigen	1.51	0.043		RET9>RET-ve
MPP3	Membrane protein, palmitoylated 3 (MAGUK p55 subfamily 3)	1.45	0.01		RET9>RET-ve
RNF19	Ring finger protein 19, E3 ubiquitin ligase	0.43	0.001		RET-ve>RET9
CIT	Citron (rho-interacting, serine/theorine kinase 21)	0.45	<0.001		RET-ve>RET10
PCBP2	Poly(rC)-binding protein 2	0.47	<0.001		RET-ve>RET11
THH	Trichohyalin	0.5	<0.001		RET-ve>RET12
C6orf32	Chromosome 6 open reading frame 32	0.52	<0.001		RET-ve>RET13
HIC2	Hypermethylated in cancer 2	0.53	<.001		RET-ve>RET14
CGI-67	CGI-67 protein	0.54	<0.001		RET-ve>RET15
PSG11	Pregnancy specific ?1-glycoprotein 11	0.71	0.026		RET-ve>RET16
RPL4	Ribosomal protein L4	0.72	0.001		RET-ve>RET17
SYN1	Synapsin 1	1.73	0.015		RET9>RET51
BPAG1	Bullous pemphigoid antigen 1	1.63	0.074		RET9>RET52
ELK4	ETS-domain protein	1.48	0.059		RET9>RET53
TSC	Tescalcin	1.28	0.034		RET9>RET54
DNAJC3	DnaJ (Hsp40) homolog	0.52	0.008		RET51>RET9
AQP1	Aquaporin 1	0.77	0.012		RET51>RET10
RNF19	Ring finger protein 19, E3 ubiquitin ligase	0.79	0.02		RET51>RET11
