Accession number	Gene name	Gene functiona	Early LVH	Late LVH
BI287300	b-Globin	Oxygen transport	-4.3	-0.5
X05080	b-Glo	Oxygen transport	-1.8	0.9
NM_033234	Hemoglobin b-chain complex	Oxygen transport	-1.5	0.8
AI179404	Hemoglobin a-2 chain	Oxygen transport	-1.5	0.6
X13016	CD48 antigen	Defense response	-1.3	-0.1
BI291229	Dedicator of cytokinesis 9	Signal transduction	-1.2	-0.4
AI235948	Nidogen 1	Cell-matrix adhesion	-1.1	0.1
NM_031646	Receptor (calcitonin) activity-modifying protein 2	G-protein-coupled receptor protein-signaling pathway	-1.1	-0.9
BM384289	HESB-like domain containing 2	Iron–sulfur cluster assembly	-1.1	-0.3
BI295971	Endothelial differentiation sphingolipid G-protein-coupled receptor 1	G-protein-coupled receptor protein-signaling pathway	-1.1	0.1
NM_012949	Enolase 3b	Glycolysis	-1.1	-0.5
AI237401	Globin a	Oxygen transport	-1	0.2
BI285449	Caveolin, caveolae protein 1	Protein oligomerization	-1	-0.6
NM_017314	Polyubiquitin	Protein ubiquitination	-1	-0.1
BI278571	PE-responsive protein c64	Peroxidase activity	-1	-0.4
AW144216	Glutamyl aminopeptidase	Angiogenesis	-0.9	-0.5
NM_031642	Kruppel-like Factor 6	Transcriptional activator	-0.9	-0.3
NM_012792	Flavin-containing monooxygenase 1	Oxidative metabolism	-0.9	-0.2
