Survival Type	Gene Symbol	Hazard ratio	95 percent confidence interval	P-Value
Progression-free survival	ZEB2	1.74	1.08?2.92	0.023
Progression-free survival	CDH1	0.2	0.09?0.45	0.00006
Progression-free survival	LTBP2	1.16	0.75?1.75	0.49
Progression-free survival	COL16A1	1.18	0.92?1.51	0.2
Progression-free survival	ACTA2	1.22	0.90?1.66	0.19
Overall survival	ZEB2	1.89	1.06?3.64	0.029
Overall survival	CDH1	0.59	0.26?1.30	0.19
Overall survival	LTBP2	1.1	0.70?1.66	0.69
Overall survival	COL16A1	1.23	0.93?1.66	0.15
Overall survival	ACTA2	1.43	0.99?2.13	0.052
