Gene	Cellular process	siAGF1/siAGF6
ADAM12	Morphology, migration	0.41
ALDH3B1	Metabolism	2.1
ALOX5AP	Immune response	2.3
ARL15	Unknown	2.4
ATG16L2	Unknown	2.1
AZU1	Immune response	3.9
BAALC	Unknown	0.32
BACH	Metabolism	2.4
BAT2D1	Unknown	2.5
BPI	Immune response	20
BTG1	Transcription	2.3
CD24	Immune response	2.7
CD302	Unknown	2.2
CKLFSF3	Morphology, migration	2
CSF3R	Signal transduction	2.1
CTSG	Immune response	7.2
DUSP6	Signal transduction	0.39
ECM1	Morphology, migration	0.45
EDIL3	Morphology, migration	0.39
ELK3	Transcription	0.47
FLJ12935	Unknown	3
FOSL2	Transcription	0.49
GCA	Vesicle formation	2
ICAM3	Morphology, migration	2.8
IFI16	Transcription	0.48
IGFBP7	Signal transduction	3.6
IL6R	Signal transduction	2
ITM2C	Unknown	2.5
LAPTM5	Signal transduction	2.9
LCP1	Morphology, migration	2.4
LYZ	Immune response	2.4
MTSS1	Morphology, migration	0.29
NIP30	Unknown	2.4
NKG7	Unknown	2.7
OS9	Unknown	2.1
SAMSN1	Unknown	0.43
SLA	Signal transduction	3
SLC2A3	Metabolism	0.32
SPCS3	Unknown	2.1
TSPAN7	Development	0.38
