Survival Type	Gene Symbol	Hazard ratio	95 percent confidence interval	P-Value
Progression-free survival	ZEB2	1.35	1.06-1.77	0.015
Progression-free survival	CDH1	0.75	0.62-0.94	0.017
Progression-free survival	LTBP2	1.63	1.04-2.57	0.032
Progression-free survival	COL16A1	1.33	1.02-1.74	0.034
Progression-free survival	ACTA2	1.21	1.01-1.46	0.036
Overall survival	ZEB2	1.56	1.06?2.47	0.023
Overall survival	CDH1	0.81	0.67?1.03	0.081
Overall survival	LTBP2	2.53	1.43?4.58	0.0017
Overall survival	COL16A1	1.66	1.12?2.59	0.012
Overall survival	ACTA2	1.44	1.10?1.95	0.0087
