Gene	Entrez	Fold-change	Pattern
pthlh	19227	20.5	V
apobec2	11811	16.2	V
1421749_at	1421749_at	14.7	Yng-M
clu	12759	13.8	Coch
pcdh20	219257	12.2	V
kcnd2	16508	11.1	V
dlx1	13390	10.3	V
col14a1	12818	10.1	V
1426941_at	1426941_at	9.9	Coch
gria2	14800	9.3	V
vit	74199	8.3	V
punc	19289	8.0	Yng-M
vnn1	22361	8.0	V
rasgrf1	19417	8.0	Coch
chl1	12661	7.5	V
aldh1a2	19378	6.9	V
cacna2d3	12294	6.8	V
hmx2	15372	6.8	V
hey2	15214	6.8	Coch
frzb	20378	6.6	Coch
aldh1a1	11668	6.5	V
ddx25	30959	6.5	Coch
slc15a2	57738	6.0	Old-M
1600029d21rik	76509	6.0	Coch
car3	12350	5.7	V
tbx3	21386	5.4	V
timp3	21859	5.3	V
apcdd1	494504	5.3	V
arhgap20	244867	5.1	V
aldh1a3	56847	5.1	V
bambi	68010	5.0	V
sema3e	20349	5.0	V
mrg1	17536	4.8	V
dnahc8	13417	4.6	V
hist3h2ba	78303	4.6	Old-M
4631408o11rik	66693	4.6	Coch
ntng1	80883	4.6	Coch
tslp	53603	4.5	V
cd83	12522	4.5	Old-M
cldn8	54420	4.4	V
gbx2	14472	4.4	V
lmo4	16911	4.4	V
ripk5	213452	4.4	Old-M
vars2	22321	4.3	Yng-M
fst	14313	4.2	Coch
meis1	17268	4.1	V
tnnt1	21955	4.1	V
tulp2	56734	4.1	V
cbln1	12404	4.0	V
lnx2	140887	4.0	Old-M
moxd1	59012	4.0	Coch
slc39a8	67547	4.0	Coch
zfp503	218820	3.9	V
otx2	18424	3.9	Coch
eppk1	223650	3.8	V
gfra1	14585	3.8	V
4933439c20rik	236604	3.7	Old-M
fn1	14268	3.6	V
wnk4	69847	3.6	V
vegfc	22341	3.6	Coch
gas1	14451	3.6	V
car13	71934	3.6	Coch
ngfr	18053	3.5	V
commd1	17846	3.5	Old-M
d17h6s56e-5	110956	3.5	Old-M
tmem46	219134	3.5	Coch
hapln1	12950	3.4	V
sox13	20668	3.4	V
bcat1	12035	3.3	Yng-M
esrra	26379	3.3	Yng-M
cldn4	12740	3.3	V
itga4	16401	3.3	V
slc44a3	213603	3.3	V
syk	20963	3.3	V
1434280_at	1434280_at	3.3	Old-M
iqgap1	29875	3.3	Old-M
nts	67405	3.2	V
copeb	23849	3.2	Old-M
lrrtm1	74342	3.1	V
1200003e16rik	66860	3.1	V
cdc42ep1	104445	3.1	V
krt2-7	110310	3.1	V
1448021_at	1448021_at	3.1	Old-M
ivd	56357	3.1	Old-M
thoc2	331401	3.1	Old-M
cnp1	12799	3.1	V
ceacam10	26366	3.0	V
fut9	14348	3.0	V
tecta	21683	3.0	Old-M
slc2a1	20525	3.0	Yng-M
cd47	16423	3.0	Old-M
4933428i03rik	66775	2.9	V
abhd3	106861	2.9	V
gng13	64337	2.9	V
nes	18008	2.9	V
nkd1	93960	2.9	V
crsp7	70625	2.9	Old-M
h2-k1	14972	2.9	Old-M
sdccag10	67285	2.9	Old-M
rspo2	239405	2.9	Coch
sox21	223227	2.9	Coch
pfkl	18641	2.9	V
map2k6	26399	2.8	Yng-M
aire	11634	2.8	V
dncic1	13426	2.8	V
dpysl3	22240	2.8	V
dsc2	13506	2.8	V
efna5	13640	2.8	V
mitf	17342	2.8	V
pip5k1a	18719	2.8	V
sostdc1	66042	2.8	V
rab6b	270192	2.8	Old-M
add1	11518	2.7	Yng-M
btbd2	208198	2.7	Yng-M
ciapin1	109006	2.7	Yng-M
rgs3	50780	2.7	Yng-M
col5a3	53867	2.7	V
elf1	13709	2.7	V
gap43	14432	2.7	V
homer2	26557	2.7	V
igsf8	140559	2.7	V
plekhb1	27276	2.7	V
rdh10	98711	2.7	V
tbx1	21380	2.7	V
vat1	26949	2.7	V
gadd45gip1	102060	2.7	Old-M
hexa	15211	2.7	Old-M
hist1h2bc	68024	2.7	Old-M
sdh1	20322	2.7	Old-M
kctd10	330171	2.6	Yng-M
nfkb2	18034	2.6	Yng-M
per3	18628	2.6	Yng-M
blvra	109778	2.6	V
dnajc1	13418	2.6	V
e130201n16rik	78004	2.6	V
fxyd3	17178	2.6	V
lypd3	72434	2.6	V
nfkbie	18037	2.6	V
pip5kl1	227733	2.6	V
sema3a	20346	2.6	V
slit3	20564	2.6	V
tle2	21886	2.6	V
2600016j21rik	72454	2.6	Old-M
trim24	21848	2.6	Old-M
gata3	14462	2.6	Coch
per2	18627	2.6	Coch
ccnd2	12444	2.5	V
ephb4	13846	2.5	Yng-M
flywch1	224613	2.5	Yng-M
stk11ip	71728	2.5	Yng-M
tmc6	217353	2.5	Yng-M
1427086_at	1427086_at	2.5	V
aldh1a7	26358	2.5	V
dna2l	327762	2.5	V
edg7	65086	2.5	V
egln3	112407	2.5	V
hnrpd	11991	2.5	V
jarid2	16468	2.5	V
oc90	18256	2.5	V
odz2	23964	2.5	V
pcsk5	18552	2.5	V
2310037p21rik	72309	2.5	Old-M
9530064j02	330631	2.5	Old-M
ddit3	13198	2.5	Old-M
dner	227325	2.5	Old-M
e130307c13	232440	2.5	Old-M
nudt13	67725	2.5	Old-M
lcp1	18826	2.5	Coch
ntf3	18205	2.5	Coch
slc29a1	63959	2.5	Coch
trpc1	22063	2.5	Coch
armc6	76813	2.4	Yng-M
col6a1	12833	2.4	Yng-M
comt	12846	2.4	Yng-M
map3k12	26404	2.4	Yng-M
1190002n15rik	68861	2.4	V
a430105i05rik	330177	2.4	V
adamts15	235130	2.4	V
col11a1	12814	2.4	V
dkk1	13380	2.4	V
eefsec	65967	2.4	V
gna14	14675	2.4	V
hivep2	15273	2.4	V
loc546142	546142	2.4	V
mertk	17289	2.4	V
scx	20289	2.4	V
snca	20617	2.4	V
tln1	21894	2.4	V
tmprss5	80893	2.4	V
ankrd24	70615	2.4	Old-M
malat1	72289	2.4	Old-M
mrpl3	94062	2.4	Old-M
npal2	223473	2.4	Old-M
ccdc16	66983	2.4	Coch
map4k4	26921	2.4	V
tpm1	22003	2.3	V
abcb8	74610	2.3	Yng-M
camsap1	227634	2.3	Yng-M
cstf1	67337	2.3	Yng-M
gsr	14782	2.3	Yng-M
lrrc49	102747	2.3	Yng-M
slc30a2	230810	2.3	Yng-M
smyd5	232187	2.3	Yng-M
sulf2	72043	2.3	Yng-M
vps72	21427	2.3	Yng-M
9530028c05	330256	2.3	V
cacna1h	58226	2.3	V
camkv	235604	2.3	V
d11ertd498e	52639	2.3	V
dach2	93837	2.3	V
fhos2	225288	2.3	V
gstt1	14871	2.3	V
hip1r	29816	2.3	V
mxd4	17122	2.3	V
noxo1	71893	2.3	V
pdlim1	54132	2.3	V
s100a11	20195	2.3	V
tmepai	65112	2.3	V
tubb4	22153	2.3	V
1455191_x_at	1455191_x_at	2.3	Old-M
d030056l22rik	225995	2.3	Old-M
ier5	15939	2.3	Old-M
rnd3	74194	2.3	Old-M
sec24d	69608	2.3	Old-M
gas2	14453	2.3	Coch
foxp1	108655	2.3	V
rrm2	20135	2.3	Yng-M
tpr	108989	2.3	Yng-M
sema3b	20347	2.3	V
6030458h05	270066	2.2	Yng-M
eif4g1	208643	2.2	Yng-M
