Gene description	GenBank accession no.	Gene symbol	Fold induction 1h	Fold induction 4h	Fold induction 16h	Function
Connective tissue growth factor	X78947	CTGF	14.7	1.5	2	Secreted proteins
Bone morphogenetic protein 2	M22489	BMP2	10.1	2.6	2.7	Secreted proteins
Platelet-derived growth factor  polypeptide	M12783	PDGFB	8.7	5.3	7.8	Secreted proteins
Chemokine (C-X-C motif) ligand 2	M36820	CXCL2	7.9	6.4	2.9	Secreted proteins
Prostate differentiation factor	AB000584	PLAB	5.7	2.3	1.2	Secreted proteins
IL-8	M28130	CXCL8 / IL8	171.8	247.3	169.4	Secreted proteins
Chemokine (C-X-C motif) ligand 1	X54489	CXCL1	11.5	40.2	17.8	Secreted proteins
Chemokine (C-C motif) ligand 20	U64197	CCL20	7.1	9.2	1.9	Secreted proteins
IL-24	U16261	IL24	4.4	4.6	2.9	Secreted proteins
Vascular endothelial growth factor	M63978	VEGF	2.8	3.2	2.9	Secreted proteins
Heparin-binding epidermal growth factor-like growth factor	M60278	DTR	2.3	8.3	11.6	Secreted proteins
Parathyroid hormone-like hormone	M24351	PTHLH	3	2.8	6.8	Secreted proteins
IL-11	X58377	IL11	3	5.6	6.2	Secreted proteins
Chemokine (C-X-C motif) ligand 6	U81234	CXCL6	2.3	3.1	4.3	Secreted proteins
Leukemia inhibitory factor	X13967	LIF	3.1	3.6	4.1	Secreted proteins
jun B proto-oncogene	M29039	JUNB	48.5	10.1	14.3	Transcription factors
Activating transcription factor 3	L19871	ATF3	33.1	1.1	2	Transcription factors
Early growth response 3	X63741	EGR3	28.2	3.7	1.4	Transcription factors
v-fos FBJ murine osteosarcoma viral oncogene homolog	V01512	FOS	21.1	5	4	Transcription factors
v-jun sarcoma virus 17 oncogene homolog (avian)	J04111	JUN	11.5	8.5	4.9	Transcription factors
Early growth response 4	X69438	EGR4	9.4	1.8	2.4	Transcription factors
Delta sleep inducing peptide, immunoreactor	Hs.75450	DSIPI	5.2	1.7	3.6	Transcription factors
v-maf musculoaponeurotic fibrosarcoma oncogene homolog F	AL021977	MAFF	4.6	3.1	3.1	Transcription factors
Basic helix-loop-helix domain containing, class B, 2	AB004066	BHLHB2	4.6	1.8	2.2	Transcription factors
Cbp/p300-interacting transactivator	Hs.82071	CITED2	4	1.6	2.1	Transcription factors
Glucocorticoid receptor DNA binding factor 1	M73077	GRLF1	4	1.9	2.1	Transcription factors
v-ets erythroblastosis virus E26 oncogene homolog 2	J04102	ETS2	3.5	1.5	2.8	Transcription factors
Breast cancer 1, early onset	L78833	BRCA1	3.4	2.4	2.1	Transcription factors
TGFB inducible early growth response	S81439	TIEG	3.3	2.2	1.3	Transcription factors
Modulator recognition factor 2	Hs.12702	MRF2	3.1	2.1	2.3	Transcription factors
Immediate early protein	M62831	ETR101	3	2.3	2.2	Transcription factors
Chromobox homolog 4	AF013956	CBX4	2.9	4.0	4.9	Transcription factors
cAMP response element-binding protein CRE-BPa	L05515		2.7	3.5	4.6	Transcription factors
Homeobox A1	U37431	HOXA1	2.3	3.5	4.6	Transcription factors
Core promoter element binding protein	AF001461	COPEB	4	3.1	4.1	Transcription factors
Transforming growth factor  -stimulated protein TSC-22	AJ222700	TSC22	1.6	2	4	Transcription factors
ZFM1 protein splice form ABG	Hs.169303	SF1	2.1	1.8	3.9	Transcription factors
LIM homeobox protein 1	U14755	LHX1	1.8	2.9	3.6	Transcription factors
Zinc finger protein 36, C3H type-like 1	X79067	ZFP36L1	1.9	2.6	3.1	Transcription factors
