Gene name and known function	Up/Down regulated	Frequency of patients	Fisher score
R polymerase II, TATA box binding protein; Transcriptional regulation	Down	4/4	1.70
Endoplasmic reticulum chaperone; Enhances nucleotide exchange	Down	4/4	1.47
Matrin 3; Transcriptional regulation	Down	4/4	1.40
Dynactin 4; Function unknown	Down	4/4	1.36
Chromosome 5 open reading frame 5; Potential tumor suppressor gene	Down	4/4	1.32
Heterogenous nuclear ribonucleoprotein A0	Down	4/4	1.24
R binding motif protein 27;	Down	4/4	1.20
Amyloid beta (A4) precursor protein-binding; Alzheimer-associated protein	Down	4/4	1.08
Golgi membrane protein SB140; Function unknown	Down	4/4	1.02
Hypothetical protein MGC21644	Down	4/4	0.96
Casein kinase 1, alpha 1;	Down	4/4	0.87
Ubiquitin-conjugating enzyme E2B; post-replicative DNA damage repair.	Down	4/4	0.67
Catenin, alpha 1; Cadherin-associated protein	Down	4/4	0.50
Ribosomal protein S14;	Down	4/4	0.50
Histone deacetylase 3; Potential tumor suppressor gene	Down	4/4	0.46
Chromosome 5 open reading frame14	Down	3/3	0.55
Purine-rich element binding protein A	Down	3/3	0.18
Hypothetical protein; Unknown function	Down	3/4	0.82
Similar to RIKEN cDNA A430101B06 gene; Function unknown	Down	3/4	0.70
Steroid receptor R activator 1; Expressed in breast cancer cell lines	Down	3/4	0.69
Early growth response 1; Potential cancer suppressor gene	Down	3/4	0.61
Protocadherin beta 5; Cell-to-cell interactions Poly(A) binding protein interacting protein 2	Down	3/4	0.49
VEGF angiogenesis regulator	Down	3/4	0.48
Prefoldin 1; Involved in folding of tubulin	Down	3/4	0.33
Selenoprotein P, plasma, 1; Involved in oxidative defense	Down	3/4	0.33
Protein phosphatase 2; Cell cycle regulation and p53 activation	Down	3/4	0.32
Eukaryotic translation termination factor 1; Function unknown	Down	3/4	0.30
Hypothetical protein 3265	Down	3/4	0.25
CXXC finger 5; activate NF-kappaB and MAPK signaling pathways.	Down	3/4	0.09
Protocadherin beta 12; Function unknown	Down	3/4	0.09
Protocadherin beta 2; Function unknown	Down	3/4	0.08
Protocadherin 1 precursor;	Down	3/4	0.05
Dihydropyrimidinase related protein-3; Function unknown	Down	3/4	0.01
Cell division cycle 23; Cell cycle progression through the G2/M transition	Down	3/4	0.01
Sparc/osteonectin; Associated with VEGF and tumor progression	Down	2/4	0.10
Zinc finger, matrin type 2; Function unknown	Up	2/4	0.25
Transcription elongation regulator 1; TF	Up	2/4	0.29
