Function	Gene	Accession	Fold change
Cell cycle	CEBPD	NM_005195	3.01762
Cell cycle	SFN	BC000329	2.26209
Cell cycle	MYC	NM_002467	1.72323
Cell cycle	CDKN1B	BC001971	0.63824
Apoptosis	IGFBP1	NM_000596	4.11986
Apoptosis	NFIL3	NM_005384	1.95134
Apoptosis	ATF3	NM_001674	2.8937
Apoptosis	TRAF4	NM_004295	1.56184
Apoptosis	GADD45B	NM_015675	2.01087
Apoptosis	BCL2A1	NM_004049	1.75704
Apoptosis	CASP4	U25804	1.59452
Apoptosis	STK17A	AW194730	1.5387
Apoptosis	PDCD2	BF446180	0.58867
Signaling	BCL3	NM_005178	2.10195
Signaling	SOCS3	BG035761	3.92949
Signaling	JUNB	NM_002229	1.92353
Signaling	DUSP5	U16996	2.11909
Signaling	FOSL1	BG251266	2.10867
Signaling	FOSL2	N36408	1.90471
Signaling	IL6R	NM_000565	1.71201
Signaling	TNFRSF12A	NM_016639	1.6742
Signaling	IL1R1	NM_000877	1.82161
Signaling	TIEG2	AA149594	2.083
Signaling	RAB27A	U38654	1.62739
Signaling	JUN	NM_002228	2.17961
Signaling	DUSP1	NM_004417	1.82851
Signaling	LYN	NM_002350	1.52019
Signaling	EGFR	AW157070	1.51298
Signaling	JAK2	AF001362	1.51837
Signaling	IRF1	NM_002198	1.61695
Angiogenesis	ADM	NM_001124	2.63547
Angiogenesis	ANGPTL4	NM_016109	1.99292
Angiogenesis	EPAS1	AF052094	1.56013
Coagulation	FGA	NM_000508	5.4178
Coagulation	FGB	BG545288	5.86271
Coagulation	FGG	NM_000509	6.31786
Coagulation	PLAU	K03226	1.71778
Coagulation	THBD	NM_000361	1.95048
Coagulation	PLAUR	U08839	1.82458
Coagulation	SERPINE1	NM_000602	1.81434
Coagulation	THBS1	NM_003246	2.0796
Coagulation	TFPI2	L27624	1.57622
Lipids	ABCA1	NM_005502	3.88478
Lipids	LDLR	NM_000527	2.82377
Lipids	UGCG	NM_003358	3.40843
Lipids	NPC1	NM_000271	3.42023
Lipids	VLDLR	L22431	1.71423
Lipids	HM74	NM_006018	1.60217
Invasion	FGA	NM_000508	5.4178
Invasion	FGB	BG545288	5.86271
Invasion	FGG	NM_000509	6.31786
Invasion	CTSB	NM_001908	2.0828
Invasion	SERPINE2	AL541302	1.64229
Invasion	CTSL	NM_001912	1.79108
Invasion	CCL2	S69738	4.11116
Invasion	RAB27A	U38654	1.62739
Invasion	NDRG1	NM_006096	2.05333
Invasion	PLAU	K03226	1.71778
Invasion	ICAM1	NM_000201	2.50961
Invasion	PLEKHC1	Z24725	1.75166
Invasion	FLRT3	NM_013281	1.75891
Invasion	SERPINA3	NM_001085	1.82817
Invasion	SERPINB3	BC005224	2.26622
Invasion	COL5A1	AI983428	1.65357
Invasion	SERPINB4	U19557	1.91011
Invasion	PLAUR	U08839	1.82458
Invasion	CXCL2	M57731	1.67439
Invasion	THBD	NM_000361	1.95048
Invasion	ANGPTL4	NM_016109	1.99292
Invasion	SERPINB1	NM_030666	1.75773
Invasion	CEACAM1	X16354	1.66495
