GeneID	Gene name	Fold difference,MK/EB	Functions
ITGB3	Platelet membrane glycoprotein IIIa	43.3	Integrins
ITGA2B	Platelet membrane glycoprotein IIb	31.5	Integrins
ITGA6	Integrin   -6 precursor	6.5	Integrins
PECAM1	Platelet endothelial cell adhesion molecule	47.3	Immunoglobulin superfamily members
CD84	CD84 antigen	12.3	Immunoglobulin superfamily members
C6orf25	G6B protein	10.4	Immunoglobulin superfamily members
VSIG2	V-set and immunoglobulin domain containing 2	10.1	Immunoglobulin superfamily members
C6orf21	G6F protein	9.2	Immunoglobulin superfamily members
FCER1A	High-affinity immunoglobuline receptor   a-subunit precursor	6.3	Immunoglobulin superfamily members
SUCNR1	G protein-coupled receptor 91 (GPR91)	7.2	Gprotein-coupled receptors
GPR171	Probable G protein-coupled receptor H963	2.7	Gprotein-coupled receptors
GPR56	G protein-coupled receptor 56	2.0	Gprotein-coupled receptors
CD9	CD9 antigen	23.9	Tetraspannins
TSPAN15	Tetraspan NET-7	19.0	Tetraspannins
PHEMX	Phemx protein	3.3	Tetraspannins
TSPAN18	Tetraspanin similar to uroplakin 1	2.8	Tetraspannins
TSN9	Tetraspan NET-5	2.6	Tetraspannins
FCER1G	High-affinity immunoglobuline receptor y-subunit	16.0	Adaptor molecules
LAT2	WBSCR5 protein, LAT2	13.1	Adaptor molecules
LAT	Linker for activation of T cells	8.0	Adaptor molecules
GP9	Platelet glycoprotein IX	48.6	Leucine-rich repeat proteins
GP1BA	Platelet glycoprotein Ib	23.1	Leucine-rich repeat proteins
RTN4R	Reticulon 4	3.4	Leucine-rich repeat proteins
TLR9	Toll-like receptor 9	2.3	Leucine-rich repeat proteins
PF4	Platelet factor 4	111.3	Other transmembrane domain-containing proteins
SELP	P-selectin	71.0	Other transmembrane domain-containing proteins
PPBP	Platelet basic protein	62.7	Other transmembrane domain-containing proteins
TMEM40	Transmembrane protein 40	19.8	Other transmembrane domain-containing proteins
LST1	Leukocyte-specific transcript 1 protein (B144 protein)	19.7	Other transmembrane domain-containing proteins
GJA4	Gap junction   -4	15.1	Other transmembrane domain-containing proteins
PLXDC2	Plexin domain-containing 2	13.1	Other transmembrane domain-containing proteins
CAV1	Caveolin-1	10.3	Other transmembrane domain-containing proteins
MEST	Mesoderm-specific transcript	8.6	Other transmembrane domain-containing proteins
EPHNB1	Ephrin-B1	8.2	Other transmembrane domain-containing proteins
SLC44A1	CDW92 antigen	6.6	Other transmembrane domain-containing proteins
HG2A	CD74 antigen	6.3	Other transmembrane domain-containing proteins
CD40	Tumor necrosis factor receptor superfamily member 5, CD40L receptor	6.0	Other transmembrane domain-containing proteins
CCL5	Small inducible cytokine A5	5.6	Other transmembrane domain-containing proteins
ANPEP	Aminopeptidase N (myeloid plasma membrane glycoprotein CD13)	5.6	Other transmembrane domain-containing proteins
CAV2	Caveolin-2	5.5	Other transmembrane domain-containing proteins
CD69	CD69 antigen	4.7	Other transmembrane domain-containing proteins
NINJ2	Ninjurin 2	4.3	Other transmembrane domain-containing proteins
LY6G5C	G5C protein	3.7	Other transmembrane domain-containing proteins
TNFRSF14	Tumor necrosis factor receptor superfamily member 14	3.4	Other transmembrane domain-containing proteins
PTAFR	Platelet-activating factor receptor	2.9	Other transmembrane domain-containing proteins
IL9R	Interleukin-9 receptor	2.8	Other transmembrane domain-containing proteins
ICAM2	Intercellular adhesion molecule-2 (CD102 antigen)	2.6	Other transmembrane domain-containing proteins
ADAM10	ADAM 10	2.5	Other transmembrane domain-containing proteins
NPR3	Atrial natriuretic peptide clearance receptor	2.5	Other transmembrane domain-containing proteins
TREML2	Triggering receptor expressed on myeloid cells-like 2	2.2	Other transmembrane domain-containing proteins
