Function	Gene name	Accession number	Absolute expression wt norm	wt hyp	HIF ?/? norm	HIF ?/? hyp	HIF ?/? vs wt2Log	Hyp vs norm2Log	Interaction HIF-1/hyp2Log	HIF-1 regulated
Interacting with histones	dek gene	AA733594	439.23	144.62	154.91	77.83	?1.20	?1.30	0.3	?
Interacting with histones	DEAD box polypeptide 3	L25126	315.5	133.02	312.04	191.24	0.25	?0.98	0.27	?
Interacting with histones	Fibroblast growth factor-inducible 16/SMC2	U42 385	425.5	181.12	208.3	94.35	?0.99	?1.19	0.04	?
Cell structure	Kinesin family member 5B	U86 090	254.42	83.99	155.38	92.46	?0.29	?1.17	0.43	?
Cell structure	Translocated promoter region	AI843564	217.07	72.58	65.57	19.28	?1.82	?1.67	?0.09	?
Cell structure	Kinectin 1	L43326	183.78	70.79	60.7	28.11	?1.47	?1.24	0.13	?
Cell structure	Procollagen, type IV, alpha 5	Z35 168	261	103.76	131.6	111.95	?0.44	?0.78	0.55	+
Cell structure	RIKEN cDNA 0 610 038P07 gene	AW227 650	226.62	93.56	314.78	486.23	1.43	?0.32	0.95	+
mRNA processing	Transcription elongation factor A (SII) 1	D00925	177.44	56.32	90.2	74.9	?0.28	?0.96	0.69	+
mRNA processing	Heterogeneous nuclear ribonucleoprotein H1	Y14 196	873.6	277.95	375.34	141.83	?1.10	?1.53	0.12	?
mRNA processing	Splicing factor, arginine/serine-rich 5	AF020308	467.26	200.75	149.54	144.92	?1.06	?0.63	0.59	+
RNA binding protein	Fragile X mental retardation syndrome 1 homologue	L23971	442.88	144.33	251.9	171.87	?0.28	?1.09	0.53	+
DNA binding	High mobility group box 2	X67 668	184.14	74.43	89	61.66	?0.66	?0.92	0.39	?
DNA repair	REV3-like	AF083464	258.26	69.95	85.68	33.28	?1.33	?1.62	0.26	?
Transcription factor	RIKEN cDNA 1 810 007M14 gene	AI098965	259.74	89.7	91.64	33.38	?1.47	?1.50	0.04	?
Translation	Eukaryotic translation initiation factor 3	U14 172	624.93	230.16	250.62	59.95	?1.63	?1.75	?0.31	?
Wnt signalling	Calcyclin binding protein	U97 327	387.14	125.63	135.87	41.26	?1.56	?1.67	?0.05	?
Protein transport	RAB7	Y13 361	143.35	40.95	219.43	330.79	1.81	?0.61	1.2	+
Immune system	Complement component factor h	M12660	356.9	109.52	94.16	29.42	?1.91	?1.69	0.01	?
Immune system	Complement factor H-related protein	M29010	357.48	116.56	95.24	33.05	?1.86	?1.57	0.04	?
Apoptosis	Caspase 8 associated protein 2	AI847837	394.01	158.94	144.65	32.87	?1.86	?1.72	?0.41	?
Apoptosis	Zinc finger protein	X95 504	451.02	172	90.59	21.18	?2.67	?1.74	?0.35	?
T-cell development	Thymopoietin	U39 074	405.43	172.17	363.1	350.72	0.43	?0.64	0.59	+
Cell adhesion molecule	Activated leukocyte cell adhesion molecule	L25274	143.72	40.38	32.11	9.44	?2.13	?1.80	0.03	?
rDNA supression	Helicase	U25 691	256.81	87.46	151.64	56.53	?0.69	?1.49	0.07	?
rDNA supression	SWI/SNF related, regulator of chromatin	AA794509	198.75	84.1	118.45	72.82	?0.48	?0.97	0.27	?
Cytokinesis	Septin 7	AJ223782	678.4	220	255.13	114.27	?1.18	?1.39	0.23	?
Cytokinesis	Chondroitin sulphate proteoglycan 6	Y15 128	485.31	179.23	147.64	32.44	?2.09	?1.81	?0.37	?
Cytokinesis	Rho-associated coiled-coil forming kinase 2	U58 513	187.25	77.15	99.54	70.55	?0.52	?0.89	0.39	?
Cytokine	Kit ligand	M57647	483.05	179.16	181.65	81.5	?1.27	?1.29	0.14	?
Serine protease	Kallikrein 9	M17962	185.26	65.55	138.99	80.19	?0.06	?1.15	0.35	?
Unknown	Cluster Incl AW122 568	AW122 568	141.65	19.73	116.23	132.88	1.23	?1.33	1.52	+
Unknown	Expressed sequence C79684	AW047 929	37.86	7.52	6.3	4.71	?1.63	?1.38	0.96	+
Unknown	Cluster Incl AW049 254	AW049 254	167.45	44.18	44.5	13.51	?1.81	?1.82	0.1	?
Unknown	Heat shock 70 kD protein-like 1	AF109905	536.36	148.17	426.45	400.77	0.55	?0.97	0.88	+
Unknown	Zinc finger protein 97	L20450	249.64	71.68	76.8	33.58	?1.40	?1.50	0.3	?
Unknown	RIKEN cDNA 2 310 005N03 gene	AA981581	191.22	60.98	49.26	32.96	?1.42	?1.11	0.53	+
Unknown	Expressed sequence AI317193	AI838094	102.09	33.07	32.08	13.47	?1.48	?1.44	0.19	?
Unknown	Cluster Incl AI462312	AI462312	242.22	80.36	85.64	31.45	?1.43	?1.52	0.07	?
Unknown	Riken cDNA 1 810 019E15	AA733594	439.23	144.62	154.91	77.83	?1.20	?1.30	0.3	?
Unknown	PC4 and SFRS1 interacting protein 2	AW047 331	213.61	76.54	76.94	31.24	?1.38	?1.39	0.09	?
Unknown	RIKEN cDNA 1 190 008F14 gene	AI848671	788.51	298.56	291.63	95.25	?1.54	?1.51	?0.11	?
Unknown	DNA segment, Chr 4	AA914734	269.4	102.8	90.72	51.6	?1.28	?1.10	0.29	?
Unknown	RIKEN cDNA 5 930 426I11 gene	AI464596	191.3	73.4	56.24	41.26	?1.30	?0.91	0.47	?
Unknown	DNA segment, Chr 10, ERATO Doi 438	AI839117	227.51	88.79	94.96	42.13	?1.17	?1.27	0.09	?
Unknown	Zinc finger protein 101	U07 861	200.62	78.91	76.25	41.12	?1.17	?1.12	0.23	?
Unknown	RIKEN cDNA 2 610 042L04 gene	AI853444	350.06	138.17	168.13	117.62	?0.65	?0.93	0.41	?
Unknown	RIKEN cDNA 4 930 553M18	AW046 691	167.75	66.89	77.29	46.07	?0.83	?1.04	0.29	?
Unknown	DNA segment, Chr 6, human D12S2489E	AF054819	216.82	87.85	38.38	112	?1.07	0.12	1.42	+
Unknown	Nucleolar protein 5	AF053232	449.36	182.44	183.51	52.82	?1.54	?1.55	?0.25	?
Unknown	Expressed sequence AU022 875	AA866655	401.83	164.57	162.61	43.43	?1.61	?1.60	?0.31	?
Unknown	Cluster Incl AI843046	AI843046	239.98	99.91	290.7	369.41	1.08	?0.46	0.8	+
Unknown	Zinc finger protein 36	AA032310	982.87	411.42	316.51	180.26	?1.41	?1.03	0.22	?
Unknown	WSB-1	AF033186	607.55	254.65	201.6	114.96	?1.37	?1.03	0.22	?
Unknown	Growth arrest specific 5	AI849615	209.7	90.37	99.4	70.34	?0.72	?0.86	0.36	?
Unknown	Guanylate nucleotide binding protein 3	AW047 476	305.25	131.78	181.96	23.15	?1.63	?2.09	?0.88	+
Unknown	RIKEN cDNA 2 610 023M21 gene	AI841982	755.29	335.04	436.18	129.51	?1.08	?1.46	?0.29	?
