Function	Affymetrix probe ID	GenBank accession no.	Gene	Gene	Expression in APC10.1 (scaled signal)	Log ratio compared to: Normal intestine	Log ratio compared to: Adenoma
Cytoskeletalproteins	101009_at	X15662	Krt2-8	keratincomplex2,basic,gene8	2,077	0.9	0.4
Cytoskeletalproteins	94270_at	M22832	Krt1-18	keratincomplex1,acidic,gene18	1,064	1.6	0.3
Cytoskeletalproteins	92550_at	M36120	Krt1-19	keratincomplex1,acidic,gene19	953	1	1
Cytoskeletalproteins	98476_at	L40631	Ank3	Ankyrin3	243	0.2	0.5
Cytoskeletalproteins	93571_at	M74773	Spnb2	beta-spectrin2,non-erythrocytic	410	0.2	0.2
Cytoskeletalproteins	AFFX-bActinMur/M12481_M_at	M12481	Actb	actin,beta,cytoplasmic	3,048	0.6	0.2
Cytoskeletalproteins	160430_at	M90364	Catnb	Cateninbeta	1,220	0.2	0.4
Extracellularmatrixcomponentsandreceptors	103729_at	M36775	Lama1	laminin,alpha1	3,336	6.7	6.3
Extracellularmatrixcomponentsandreceptors	100428_at	U43327	Lamc2	laminin,gamma2	2,508	4.9	2
Extracellularmatrixcomponentsandreceptors	92759_at	U43298	Lamb3	laminin,beta3	632	2.9	0.5
Extracellularmatrixcomponentsandreceptors	101948_at	X05212	Lamb1-1	lamininB1subunit1	579	4.9	3.3
Extracellularmatrixcomponentsandreceptors	101039_at	X04647	Col4a2	procollagen,typeIV,alpha2	3,490	4.5	2.6
Extracellularmatrixcomponentsandreceptors	101093_at	M15832	Col4a1	procollagen,typeIV,alpha1	2,568	4.5	2
Extracellularmatrixcomponentsandreceptors	95511_at	X69902	Itga6	integrinalpha6	15	2.8	3.2
Extracellularmatrixcomponentsandreceptors	100123_f_at	X15202	Itgb1	integrinbeta1(fibronectinreceptorbeta)	1,211	1	0.7
Extracellularmatrixcomponentsandreceptors	103305_at	L04678	Itgb4	integrinbeta4	112	1.7	1.6
Extracellularmatrixcomponentsandreceptors	97750_at	X06406	Lamr1	lamininreceptor1(67kD)	813	0.1	0.1
Adhesion/polarization	97426_at	X98471	Emp1	epithelialmembraneprotein1	269	2.1	2.2
Adhesion/polarization	98140_at	X60961	Cdh1	cadherin1(E-cadherin)	65	0.3	0.1
Adhesion/polarization	104121_at	M90365	Jup	junctionplakoglobin	359	0.2	0.2
Adhesion/polarization	100064_f_at	M63801	Gja1	connexin43	934	2.8	1.4
Adhesion/polarization	160532_at	M22479	Tpm1	Tropomyosin1,alpha	239	1.1	1.6
Gastrointestinallineage	102241_f_at	AF107298	Tcf712	transcriptionfactor7-like2,Tcf-4	113	0	0
Gastrointestinallineage	93950_at	L10409	Foxa2	forkheadboxA2,Hnf-3b,Tcf-3b	202	2.5	1.7
Gastrointestinallineage	98067_at	U09507	Cdkn1a	Cyclin-dependentkinaseinhibitor1A(P21)	349	1.3	1.3
Gastrointestinallineage	103949_at	X76291	Ihh	Indianhedgehog	144	0.3	0
Gastrointestinallineage	160887_at	D16464	Hes1	hairyandenhancerofsplit1	189	1.7	1.2
Gastrointestinallineage	99622_at	U20344	Klf4	Kruppel-likefactor4(gut)	322	0.8	0.9
Gastrointestinallineage	92796_at	J02980	Akp2	alkalinephosphatase2,liver	83	2.1	1.4
Gastrointestinallineage	93009_at	J04696	Gstm2	glutathioneS-transferase,mu2	1,299	2.5	3.7
