Genbank#	GeneSymbol	Gene Name	6hr	24hr
U19495.1	CXCL12	chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1) (1-4)	NC	21.3
NM_000767.2	CYP2B6	cytochrome P450, family 2, subfamily B, polypeptide 6 (5)	3.6	16.6
NM_002467.1	MYC	v-myc myelocytomatosis viral oncogene homolog (avian) (1, 3)	NC	11
R38389	OLFM1	olfactomedin 1 (1, 4)	2.9	8.4
NM_014668.1	GREB1	GREB1 protein (3, 4, 6)	3.8	5.9
NM_014471.1	SPINK4	serine protease inhibitor, Kazal type 4	2.7	5.3
NM_020190.1	OLFML3	olfactomedin-like 3	NC	4.4
NM_012259.1	HEY2	hairy/enhancer-of-split related with YRPW motif 2	NC	4.1
AI806984	RARA	retinoic acid receptor, alpha (3)	3.2	3.6
NM_003500.1	ACOX2	acyl-Coenzyme A oxidase 2, branched chain(6)	NC	3.5
NM_005739.2	RASGRP1	RAS guanyl releasing protein 1 (calcium and DAG-regulated(3)	2.4a	3.2
BC000278.1	CA12	carbonic anhydrase XII (2, 6)	2.2	3.2
NM_017770.1	ELOVL2	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 2	NC	3.2
NM_018093.1	FLJ10439	hypothetical protein FLJ10439	1.8	3.1
AB018009.1	SLC7A5	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5 (7, 8)	NC	3
NM_003225.1	TFF1	trefoil factor 1 (1-3, 5, 7, 9)	NC	3
AF133207.1	H11	protein kinase H11 (4, 10)	2.3	2.8
NM_004566.1	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	2.2	2.7
NM_006848.1	DIPA	hepatitis delta antigen-interacting protein A	+NC	2.7
AW592266	MYBL1	v-myb myeloblastosis viral oncogene homolog (avian)-like 1 (4, 10)	2	2.7
NM_017767.1	SLC39A4	solute carrier family 39 (zinc transporter) member 4 1	1.2	2.6
AL556409	GAL	Galanin (4)	NC	2.5
NM_017906.1	PAK1IP1	PAK1 interacting protein 1	NC	2.5
AB028949.1	KIAA1026	KIAA1026 protein	2.1	2.4
AB011092.1	ADCY9	adenylate cyclase 9 (2-4)	2	2.4
NM_016323.1	HERC5	hect domain and RLD 5	1.4	2.4
BG491842	BOP1	block of proliferation 1	NC	2.4
AK022829.1	XRCC3	X-ray repair complementing defective repair in Chinese hamster cells 3	NC	2.4
NM_021830.1	PEO1	progressive external ophthalmoplegia 1	2	2.3
U76248.1	SIAH2	seven in absentia homolog 2 (Drosophila) /// seven in absentia homolog 2 (Drosophila) (2, 4)	1.8a	2.3
NM_004704.1	RNU3IP2	RNA, U3 small nucleolar interacting protein 2	NC	2.3
AF026030.1	TIMM44	translocase of inner mitochondrial membrane 44	NC	2.3
NM_001552.1	IGFBP4	homolog (yeast) insulin-like growth factor binding protein 4 (1-5, 8, 9)	1.8	2.2
NM_013319.1	TERE1	transitional epithelia response protein	1.7	2.2
NM_019042.1	FLJ20485	hypothetical protein FLJ20485	1.5	2.2
NM_025215.1	PUS1	pseudouridylate synthase 1	NC	2.2
NM_014285.1	EXOSC2	exosome component 2	NC	2.2
BE747342	IMP4	U3 snoRNP protein 4 homolog	NC	2.2
NM_001536.1	HRMT1L2	HMT1 hnRNP methyltransferase-like 2 (S. cerevisiae)	NC	2.2
U15642.1	E2F5	E2F transcription factor 5, p130-binding	1.9	2.1a
AF226604.1	OPRS1	opioid receptor, sigma 1	NC	2.1
NM_001384.1	DPH2L2	DPH2-like 2 (S. cerevisiae)	NC	2.1
NM_000144.1	FXN	frataxin	NC	2.1
NM_018096.1	FLJ10458	Notchless gene homolog (Drosophila)	NC	2.1
AA164751	FAS	Fas (TNF receptor superfamily, member 6)	NC	2.1
BE881529	LARP	likely ortholog of mouse la related protein	NC	2.1
NM_017518.2	TREX2	three prime repair exonuclease 2	NC	2.1
NM_017848.1	CXorf17	chromosome X open reading frame 17	NC	2.1
NM_000505.2	F12	coagulation factor XII (Hageman factor) (1)	NC	2.1
NM_017722.1	FLJ20244	hypothetical protein FLJ20244	NC	2.1
NM_013300.1	HSU79274	protein predicted by clone 23733	NC	2.1
NM_006366.1	CAP2	CAP, adenylate cyclase-associated protein, 2 (yeast)	1.7	2
NM_024098.1	MGC2574	hypothetical protein MGC2574	1.6	2
NM_006392.1	NOL5A	nucleolar protein 5A (56kDa with KKE/D repeat) (4)	NC	2
NM_005729.1	PPIF	peptidylprolyl isomerase F (cyclophilin F)	NC	2
BC000729.1	AKAP1	A kinase (PRKA) anchor protein 1 (1, 10)	NC	2
NM_022451.1	C10orf117	chromosome 10 open reading frame 117	NC	2
NM_001687.1	ATP5D	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit	NC	2
NM_000356.1	TCOF1	Treacher Collins-Franceschetti syndrome 1	NC	2
NM_017874.1	C20orf27	chromosome 20 open reading frame 27	NC	2
NM_014344.1	FJX1	four jointed box 1 (Drosophila)	NC	2
NM_022767.1	FLJ12484	hypothetical protein FLJ12484	NC	2
M94363	LMNB2	lamin B2	NC	2
NM_019023.1	PRMT7	protein arginine N-methyltransferase 7	NC	2
BE789881	RAB31	RAB31, member RAS oncogene family (2, 3)	NC	2
AL109955	RNPC1	RNA-binding region (RNP1, RRM) containing 1 /// RNA-binding region (RNP1, RRM) containing 1	NC	2
N30910	MGC29875	hypothetical protein MGC29875	1.7	1.9a
D21262.1	NOLC1	nucleolar and coiled-body phosphoprotein 1 (1)	1.6	1.9
NM_018361.1	AGPAT5	1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)	1.6	1.9a
NM_015062.1	PPRC1	peroxisome proliferative activated receptor, gamma, coactivator-related 1	1.6a	1.9
NM_001634.3	AMD1	adenosylmethionine decarboxylase 1(4)	1.5a	1.9
NM_014878.1	KIAA0020	KIAA0020	1.3b	1.9
NM_002707.1	PPM1G	protein phosphatase 1G (formerly 2C), magnesium-dependent, gamma isoform	NC	1.9
AL031588	TRMT1	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase 1	NC	1.9
NM_001069.1	TUBB2	tubulin, beta 2	NC	1.9
NM_006993.1	NPM3	nucleophosmin/nucleoplasmin, 3	NC	1.9
NM_004776.1	B4GALT5	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 5	NC	1.9
NM_012068.2	ATF5	activating transcription factor 5	NC	1.9
