EGID	SYMBOL	GENENAME	ID	logFC	AveExpr	t	P.Value	adj.P.Val
3046	HBE1	hemoglobin, epsilon 1	217683_at	8	7.92	16.59	0	0
3956	LGALS1	lectin, galactoside-binding, soluble, 1 (galectin 1)	216405_at	5.35	6.79	13.31	0	0
	NA	NA	217572_at	6.19	8.27	12.6	0	0
1337	COX6A1	cytochrome c oxidase subunit VIa polypeptide 1	224344_at	3.76	5.54	9.85	0	0
84701	COX4I2	cytochrome c oxidase subunit IV isoform 2 (lung)	232761_at	3.12	5.04	9.67	0	0
414	ARSD	arylsulfatase D	232423_at	2.44	4.39	9.25	0	0
4438	MSH4	mutS homolog 4 (E. coli)	210533_at	1.79	2.97	9.09	0	0
11211	FZD10	frizzled homolog 10 (Drosophila)	219764_at	3.1	3.5	8.84	0	0
492	ATP2B3	ATPase, Ca++ transporting, plasma membrane 3	207026_s_at	1.88	3.92	8.6	0	0
2261	FGFR3	fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism)	204379_s_at	5.65	4.69	8.26	0	0
10417	SPON2	spondin 2, extracellular matrix protein	218638_s_at	1.62	4.7	8.26	0	0
169611	OLFML2A	olfactomedin-like 2A	213075_at	2.86	4.87	7.87	0	0
4814	NINJ1	ninjurin 1	203045_at	1.43	6.16	7.61	0	0
83719	YPEL3	yippee-like 3 (Drosophila)	223179_at	2.26	7.37	7.51	0	0
1028	CDKN1C	cyclin-dependent kinase inhibitor 1C (p57, Kip2)	213183_s_at	3.1	4.49	7.4	0	0
283143	LOC283143	hypothetical protein LOC283143	239675_at	1.25	3.12	7.38	0	0
116151	C20orf108	chromosome 20 open reading frame 108	224690_at	3.13	9.07	7.36	0	0
56243	KIAA1217	KIAA1217	231807_at	2.51	4.03	7.34	0	0
54806	AHI1	Abelson helper integration site 1	237616_at	1.73	4.44	7.14	0	0
4647	MYO7A	myosin VIIA	208189_s_at	2.01	5.37	7.04	0	0
54930	C14orf94	chromosome 14 open reading frame 94	218383_at	1.27	7.86	6.89	0	0
8228	PNPLA4	patatin-like phospholipase domain containing 4	209739_s_at	3.42	4.69	6.74	0	0
3911	LAMA5	laminin, alpha 5	210150_s_at	2.14	6.51	6.73	0	0
23760	PITPNB	phosphatidylinositol transfer protein, beta	235985_at	1.11	7.57	6.67	0	0
728233	PI4KAP1	phosphatidylinositol 4-kinase, catalytic, alpha pseudogene 1	213408_s_at	1.04	9.47	6.6	0	0
84171	LOXL4	lysyl oxidase-like 4	227145_at	1.55	4.88	6.51	0	0
57674	RNF213	ring finger protein 213	230000_at	1.89	5.23	6.48	0	0
55733	HHAT	hedgehog acyltransferase	1556982_at	1.49	5.48	6.42	0	0
57714	KIAA1618	KIAA1618	231956_at	2.44	5.24	6.38	0	0
729652	LOC729652	hypothetical protein LOC729652	1563637_at	2.03	3.58	6.28	0	0
57799	RAB40C	RAB40C, member RAS oncogene family	242449_at	1.7	5.81	6.26	0	0
55466	DNAJA4	DnaJ (Hsp40) homolog, subfamily A, member 4	225061_at	4.14	5.21	6.17	0	0
11343	MGLL	monoglyceride lipase	225102_at	2.5	6.23	6.12	0	0
50649	ARHGEF4	Rho guanine nucleotide exchange factor (GEF) 4	205109_s_at	2.52	4.64	6.09	0	0
124602	KIF19	kinesin family member 19	1553314_a_at	2.66	4.37	6.08	0	0
11178	LZTS1	leucine zipper, putative tumor suppressor 1	47550_at	2.05	6.33	6.04	0	0
55876	GSDML	gasdermin-like	215659_at	1.34	4.37	6.02	0	0
56252	YLPM1	YLP motif containing 1	243310_at	1.82	6.14	6	0	0
26576	SRPK3	SFRS protein kinase 3	206216_at	2.25	5.53	6	0	0
339488	TFAP2E	transcription factor AP-2 epsilon (activating enhancer binding protein 2 epsilon)	1555348_at	1.87	5.14	5.99	0	0
22837	COBLL1	COBL-like 1	243039_at	1.48	4.6	5.97	0	0
26053	AUTS2	autism susceptibility candidate 2	215386_at	1.93	5.25	5.96	0	0
54361	WNT4	wingless-type MMTV integration site family, member 4	208606_s_at	2.65	3.87	5.94	0	0
130872	AHSA2	AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)	226665_at	1.52	6.66	5.93	0	0
200014	CC2D1B	coiled-coil and C2 domain containing 1B	237337_at	1.04	4.93	5.93	0	0
10140	TOB1	transducer of ERBB2, 1	202704_at	1.72	8.49	5.92	0	0
4670	HNRPM	heterogeneous nuclear ribonucleoprotein M	1555843_at	1.47	6.52	5.9	0	0
23037	PDZD2	PDZ domain containing 2	233025_at	2.21	3.68	5.88	0	0
53905	DUOX1	dual oxidase 1	219597_s_at	1.28	4.29	5.88	0	0
8726	EED	embryonic ectoderm development	210656_at	1.67	4.63	5.84	0	0
