Gene Symbol	Description	Fold change (selected CM vs non-selected EB) in this study	Fold change (selected CM vs non-selected EB) in Cao, et al
NPPB	natriuretic peptide precursor B	730.5	ND
NPPA	natriuretic peptide precursor A	672.6	ND
MYBPHL	myosin binding protein H-like	160.2	ND
MYO18B	myosin XVIIIB	130	ND
MYL3	myosin, light polypeptide 3, alkali; ventricular, skeletal, slow	101.8	ND
MYH7	myosin, heavy polypeptide 7, cardiac muscle, beta	99.6	ND
MYL2	myosin, light polypeptide 2, regulatory, cardiac, slow	96.4	ND
MYBPC3	myosin binding protein C, cardiac	86.2	ND
ACTN2	actinin, alpha 2	85.3	ND
TNNC1	troponin C type 1 (slow)	73.9	ND
MYH7B	myosin, heavy polypeptide 7B, cardiac muscle, beta	70.3	ND
MYH11	myosin, heavy polypeptide 11, smooth muscle	68.6	ND
TMOD1	tropomodulin 1	61.9	ND
TNNT2	troponin T type 2 (cardiac)	59.4	ND
MYH6	myosin, heavy polypeptide 6, cardiac muscle, alpha (cardiomyopathy, h	57.4	ND
MYL7	myosin, light polypeptide 7, regulatory	53.5	ND
MYL4	myosin, light polypeptide 4, alkali; atrial, embryonic	49	ND
ACTC	actin, alpha, cardiac muscle 1	32.3	ND
MYL9	myosin, light polypeptide 9, regulatory	21.6	ND
TNNI1	troponin I type 1 (skeletal, slow)	21.5	ND
TNNI3	troponin I type 3 (cardiac)	19.4	ND
ACTA2	actin, alpha 2, smooth muscle, aorta	13	ND
MYO18A	myosin XVIIIA	3.4	ND
ACRC	acidic repeat containing	2.3	1.4
ADRB2	adrenergic, beta-2-, receptor, surface	17.2	3.5
ANKRD1	ankyrin repeat domain 1 (cardiac muscle)	98.1	7.3
ATP6V1D	ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D	2.1	2.1
BAG3	BCL2-associated athanogene 3	3.6	2.2
BMP7	bone morphogenetic protein 7 (osteogenic protein 1)	2.2	3.5
C18orf1	chromosome 18 open reading frame 1	14	3.8
C1orf96	chromosome 1 open reading frame 96	2.9	2.5
C6orf154	chromosome 6 open reading frame 154	3.8	3.6
C6orf85	chromosome 6 open reading frame 85	2.3	2.7
CALD1	caldesmon 1	4.8	5.2
CAMK2D	calcium/calmodulin-dependent protein kinase (CaM kinase) II delta	30.1	2.3
CAV2	caveolin 2	10.1	4
CD58	CD58 molecule	3.5	1.9
CDH2	cadherin 2, type 1, N-cadherin (neuronal)	2.6	2.5
