Gene ID, ranked according to fold change	gene symbol	Fold change after NIPP1 knockdown	Corresponding change after EZH2 knockdown	Expression
3162	HMOX1	6.06	2.16	Upregulated genes
54809	SAMD9	4,26; 3,43; 2,60	7,85; 7,07; 3,88	Upregulated genes
11174	ADAMTS6	4.03	6.71	Upregulated genes
3598	IL13RA2	3.58	1.08	Upregulated genes
25927	C2orf32	3.29	2.33	Upregulated genes
65977	PLEKHA3	3,23; 2,12	2,44; 1,83	Upregulated genes
6303	SAT1	3,11; 3,02	2,55; 2,35	Upregulated genes
219285	SAMD9L	3.03	6.59	Upregulated genes
5054	SERPINE1	3,03;2,87; 2,85; 2,84; 2,84; 2,83; 2,81; 2,81; 2,81; 2,782,48	2,82; 2,75; 2,71; 2,60; 2,75; 2,75; 2,71; 2,68; 2,79; 2,74; 2,62	Upregulated genes
23586	DDX58	3.02	3.91	Upregulated genes
57393	TMEM27	2.96	2.84	Upregulated genes
223117	SEMA3D	2.94	4.04	Upregulated genes
91543	RSAD2	2,88; 2,71	13,29; 14,65	Upregulated genes
2167	FABP4	2,88; 1,69	1,20; 0,85	Upregulated genes
3984	LIMK1	2.82	4.25	Upregulated genes
374860	ANKRD30B	2.74	2.36	Upregulated genes
23767	FLRT3	2.72	4.83	Upregulated genes
9686	VGLL4	2.71	3.4	Upregulated genes
83591	THAP2	2.71	2.78	Upregulated genes
3099	HK2	2,65; 1,8	4,01; 2,51	Upregulated genes
4887	NPY2R	2.64	1.64	Upregulated genes
28962	OSTM1	2,62; 1,78; 1,56	6,00; 3,71; 3,11	Upregulated genes
83896	KRTAP3-1	2.62	1.62	Upregulated genes
51022	GLRX2	2.61	2.33	Upregulated genes
2635	GBP3	2,60; 2,13; 1,90	4,55; 4,05; 1,58	Upregulated genes
27074	LAMP3	2.6	2.94	Upregulated genes
7534	YWHAZ	2,59; 2,49; 2,22; 2,17; 2,11; 2,05; 2,04; 1,65; 1,60	4,61; 3,58; 4,46; 4,25; 4,08; 3,36; 3,94; 2,08; 2,07	Upregulated genes
8671	SLC4A4	2.59	1.61	Upregulated genes
10346	TRIM22	2,59; 2,27	8,24; 5,71	Upregulated genes
23142	DCUN1D4	2.57	2.46	Upregulated genes
8710	SERPINB7	2.56	2.35	Upregulated genes
330	BIRC3	2.56	8.26	Upregulated genes
84259	DCUN1D5	2.55	2.26	Upregulated genes
64135	IFIH1	2.53	5.38	Upregulated genes
3624	INHBA	2.51	3.81	Upregulated genes
5955	RCN2	2.51	2.93	Upregulated genes
57664	PLEKHA4	2.51	3.92	Upregulated genes
