Gene symbol	Gene name/description	Relative expression Ratio RET9:RET-ve	P	Referencea
FOS	v-fos FBJ murine osteosarcoma viral oncogene homolog	1.96	0.001b	(44 , 45)
EIF4G3	Eukaryotic translation initiation factor 4?, 3	1.84	0.005b	-46
JUN	v-jun avian sarcoma virus 17 oncogene homolog	1.53	0.016b	-45
LOX	Lysyl oxidase	1.46	0.135	-46
ITGA6	Integrin, ?6	1.38	0.142	-46
CCND3	Cyclin D3	1.38	0.102	-47
CFL1	Cofilin, non-muscle isoform	1.37	0.021b	-46
CDKN1B	Cyclin-dependent kinase inhibitor 1B (p27, Kip1)	1.35	0.235	-47
CCND1	Cyclin D1	1.34	0.51	-46
CTSL	Cathepsin L	1.27	0.125	-46
VEGF	Vascular enothelial growth factor precursor	1.24	0.359	(48 49 50 51)
ENO2	Enolase 2(?, neuronal)	1.17	0.030b	-48
EGR1	Early growth response protein 1	1.16	0.673	(44 , 48 , 49 , 50)
CXCL12	Chemokine ligand 12, stromal cell-derived factor 1 precursor	1.09	0.067	-46
GJA1	Gap junction protein, ?1, 43 kDa (connexin 43)	1.08	0.835	-52
PTN	Pleiotrophin precursor	1.06	0.9	-46
PLOD2	Procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase) 2	1.05	0.701	-46
STC1	Stanniocalcin	1.01	0.903	-46
DCN	Decorin	0.99	0.525	-46
TIMP3	Tissue inhibitor of metalloproteinase 3	0.9	0.073b	-46
ANXA4	Annexin IV	0.86	0.848	-46
