Unigene	Gene name	Description	Map	Av. tumor/av. Mucosa	P
Hs.12341	ADAR	Adenosine deaminase, RNA-specific, transcript variant ADAR-c	1q21.1-q21.2	0.767	4.90E-05
Hs.119591	AP2S1	Adaptor-related protein complex 2, j 1 subunit, transcript variant AP17	19q13.2-q13.3	0.723	8.80E-06
Hs.433291	ARD1	ARD1 homologue, N-acetyltransferase (Saccharomyces cerevisiae)	Xq28	0.791	0.0003
Hs.521056	ATP5J2	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit f, isoform 2, nuclear gene encoding mitochondrial protein, transcript variant 1	7q22.1	0.654	0.0007
Hs.324521	C14orf156	Chromosome 14 open reading frame 156	14q24.3	0.624	4.70E-06
Hs.368149	CCT7	Chaperonin containing TCP1, subunit 7 (eta), transcript variant 1	2p13.2	0.698	0.0002
Hs.524216	CDCA3	Cell division cycle associated 3	12p13	0.711	0.0005
Hs.414565	CLIC1	Chloride intracellular channel 1	6p22.1-p21.2	0.705	0.0004
Hs.176615	COLEC10	Collectin sub-family member 10 (C-type lectin)	8q23-q24.1	0.579	0.0001
Hs.5120	DNCL1	Dynein, cytoplasmic, light polypeptide 1	12q24.23	0.749	0.0002
Hs.131431	EIF2AK2	Eukaryotic translation initiation factor 2-a kinase 2	2p22-p21	0.717	0.0006
Hs.530096	EIF3S2	Eukaryotic translation initiation factor 3, subunit 2 h, 36 kDa	1p34.1	0.749	0.0008
Hs.415846	FTCD	Formiminotransferase cyclodeaminase, transcript variant B	21q22.3	0.803	0.0009
Hs.301961	GSTM1	Glutathione S-transferase M1	1p13.3	0.613	0.0005
Hs.119192	H2AFZ	H2A histone family, member Z	4q24	0.722	0.0002
Hs.20521	HRMT1L2	HMT1 hnRNP methyltransferase-like 2 (S. cerevisiae), transcript variant 3	19q13.3	0.772	0.0005
NA	HSPC003	HSPC003 protein	NA	0.709	0.0001
Hs.515126	ICAM1	Intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	19p13.3-p13.2	0.529	7.70E-06
Hs.624	IL8	Interleukin 8	4q13-q21	0.431	0.0006
Hs.91142	KHSRP	KH-type splicing regulatory protein (FUSE binding protein 2)	19p13.3	0.773	0.001
Hs.182507	KRTHB5	Keratin, hair, basic, 5	12q13	1.363	0.0008
Hs.549159	LOC51326	ADP-ribosylation factor-like	17q21.31	1.246	0.0009
Hs.432453	MAP3K8	Mitogen-activated protein kinase kinase kinase 8	10p11.23	0.711	0.0003
Hs.355867	MARS	Methionine-tRNA synthetase	12q13.2	0.75	0.0008
Hs.532833	MC4R	Melanocortin 4 receptor	18q22	1.532	0.0001
Hs.471918	MCPIP	MCP-1 treatment-induced protein	1p34.3	0.668	0.0001
Hs.367842	MKI67IP	MKI67 (FHA domain) interacting nucleolar phosphoprotein	2q14.3	0.748	0.0007
Hs.190086	MRCL3	Myosin regulatory light chain	18p11.31	0.663	0.0002
Hs.476706	MRPL37	Mitochondrial ribosomal protein L37, nuclear gene encoding mitochondrial protein	1p32.1	0.789	0.0008
Hs.144941	MUF1	MUF1 protein	1p34.1	0.694	0.0002
Hs.551508	NEB	Nebulin	2q22	1.317	0.0002
Hs.155396	NFE2L2	Nuclear factor (erythroid-derived 2)-like 2	2q31	0.77	0.0006
Hs.209113	NOMO1	NODAL modulator 1	16p13.11	0.77	0.0009
Hs.515876	NRBP	Nuclear receptor binding protein	2p23	0.74	0.0002
Hs.446427	OAZ1	Ornithine decarboxylase antizyme 1	19p13.3	0.753	0.0003
Hs.239499	PDCD11	Programmed cell death 11	10q24.33	0.728	1.60E-05
Hs.443831	PDCD5	Programmed cell death 5	19q12-q13.1	0.656	3.80E-05
Hs.530479	PMF1	Polyamine-modulated factor 1	1q12	0.81	0.0009
Hs.47062	POLR2I	Polymerase (RNA) II (DNA directed) polypeptide I, 14.5 kDa	19q12	0.725	3.00E-05
Hs.434937	PPIB	Peptidylprolyl isomerase B (cyclophilin B)	15q21-q22	0.719	0.0009
Hs.17883	PPM1G	Protein phosphatase 1G ( formerly 2C), magnesium-dependent, g isoform, transcript variant 2	2p23.3	0.705	2.20E-05
Hs.467192	PPP2R1A	Protein phosphatase 2 ( formerly 2A), regulatory subunit A (PR65), a isoform (PPP2R1A), mRNA.	19q13.41	0.827	0.0009
Hs.432121	PRDX2	Peroxiredoxin 2	19p13.2	0.671	0.0001
