Genes	Gene Symbol	Expression (log fold change MCF10CA1a vs MCF10A)	Chromosome location	Function
Keratin 6	KRT6	?6.36	12q13.13	Extracellular matrix
Keratin 8	KRT8	?1.26	12q13.13	Extracellular matrix
Keratin 13	KRT13	?5.47	17q21.2	Extracellular matrix
Keratin 14	KRT14	?3.82	17q21.2	Extracellular matrix
Keratin 15	KRT15	?5.14	17q21.2	Extracellular matrix
Keratin 16	KRT16	?3.99	17q21.2	Extracellular matrix
Keratin 17	KRT17	?3.79	17q21.2	Extracellular matrix
Keratin 18	KRT18	?2.22	12q13.13	Extracellular matrix
Keratin 19	KRT19	?2.31	17q21.2	Extracellular matrix
Keratin 23	KRT23	?5.70	17q21.2	Extracellular matrix
Collagen XIII, ?1	COL13A1	?6.84	10q22.1	Extracellular matrix
Connexin 26	GJB2	?4.81	13q12.11	Cell communication
Connexin 43	GJA1	?6.05	6q22.31	Cell communication
Claudin 1	CLDN1	?5.05	3q28	Cell communication
Claudin 4	CLDN4	?4.23	7q11.23	Cell communication
Claudin 7	CLDN7	?3.20	17p13.1	Cell communication
Claudin 12	CLDN12	?1.13	7q21.13	Cell communication
Vascular endothelial growth factor	VEGF	?1.20	6p21.1	Signal transduction
V-raf murine sarcoma viral oncogene homologue B1	BRAF	?1.24	7q34	Signal transduction
Erythroblastic leukemia viral oncogene homologue 2	ERBB2	?1.57	17q12	Signal transduction
Epidermal growth factor receptor	EGFR	?1.61	7p11.2	Signal transduction
Harvey rat sarcoma viral oncogene homologue	HRAS	?2.64	11p15.5	Signal transduction
Breast cancer 2	BRCA2	?1.42	13q13.1	Oncogenes and tumor suppressors
Myelocytomatosis viral oncogene	MYC	?1.55	8q24.21	Oncogenes and tumor suppressors
Phosphatase and tensin	PTEN	?4.28	10q23.31	Oncogenes and tumor suppressors
Interleukin-A	IL1A	?6.67	2q13	Cytokines
Interleukin-B	IL1B	?8.06	2q13	Cytokines
Interleukin-6	IL6	?4.20	7p15.3	Cytokines
Interleukin-8	IL8	?4.71	4q13.3	Cytokines
Interleukin-11	IL11	?2.50	19q13.42	Cytokines
