Gene function	Gene symbol	Gene name
Cellular metabolism	AGXT2	Alanine-glyoxylate aminotransferase 2
Cellular metabolism	COX6C	Cytochrome c oxidase subunit VIc
Cellular metabolism	CYP11B2	Cytochrome P450, family 11, subfamily B
Chromatin organization/modification	FBXL10	F-box and leucine-rich repeat protein 10
Chromatin organization/modification	HIST1H3H	Histone cluster 1, H3h
Chromatin organization/modification	HIST2H2AB	Histone cluster 2, H2ab
Cytoskeletal organization/motility	DNAH9	Dynein, axonemal, heavy chain 9
Cytoskeletal organization/motility	SSH2	Slingshot homolog 2
Ion transport	CACNB2	Calcium channel, voltage-dependent, beta 2 subunit
Ion transport	FXYD7	FXYD domain-containing ion transport regulator 7
Ion transport	SLC2A10	Solute carrier family 2
Ion transport	SLC6A20	Solute carrier family 6
Ion transport	SLC25A19	Solute carrier family 25
Proliferation/differentiation	CCNE1	Cyclin E1
Proliferation/differentiation	CDC25A	Cell division cycle 25 homolog A
Proliferation/differentiation	CDK4	Cyclin-dependent kinase 4
Proliferation/differentiation	FGF23	Fibroblast growth factor 23
Proliferation/differentiation	FHL1	Four and a half LIM domains 1
Proliferation/differentiation	FLT1	fms-related tyrosine kinase 1
Proliferation/differentiation	IGFBPL1	Insulin-like growth factor binding protein-like 1
Proliferation/differentiation	IGSF8	Immunoglobulin superfamily, member 8
Proliferation/differentiation	IL1RL1	Interleukin 1 receptor-like 1
Proliferation/differentiation	SKP2	S-phase kinase-associated protein 2 (p45)
Proliferation/differentiation	TBDN100	NMDA receptor regulated 1
Protein synthesis	HSC20	HscB iron-sulfur cluster co-chaperone homolog
Protein synthesis	MRPL37	Mitochondrial ribosomal protein L37
Protein synthesis	NOLC1	Nucleolar and coiled-body phosphoprotein 1
Protein synthesis	RPLP1	Ribosomal protein, large, P1
Protein synthesis	RPS5	Ribosomal protein S5
Signal transduction	MAP2K7	Mitogen-activated protein kinase kinase 7
Signal transduction	PPP1R15A	Protein phosphatase 1, regulatory subunit 15A
Signal transduction	RAB21	RAB21, member RAS oncogene family
Signal transduction	SRP14	Signal recognition particle 14kDa
Transcriptional regulation	ANKRD23	Ankyrin repeat domain 23
Transcriptional regulation	BTBD3	BTB (POZ) domain containing 3
Transcriptional regulation	CREB1	cAMP responsive element binding protein 1
Transcriptional regulation	HSF2BP	Heat shock transcription factor 2 binding protein
Transcriptional regulation	KLF2	Kruppel-like factor 2
Transcriptional regulation	SFRS8	Splicing factor, arginine/serine-rich 8
Transcriptional regulation	ZNF277	Zinc finger protein 277 pseudogene
Transcriptional regulation	ZNF541	Zinc finger protein 541
Miscellaneous	ANKRD7	Ankyrin repeat domain 7
Miscellaneous	BCL2L1	BCL2-like 1
Miscellaneous	CLPS	Colipase
Miscellaneous	KRTAP13–4	Keratin associated protein 13–4
Miscellaneous	MAGED2	Melanoma antigen family D, 2
Miscellaneous	NSE2	Non-SMC element 2, MMS21 homolog
Miscellaneous	OR13C5	Olfactory receptor, family 13, subfamily C
Miscellaneous	PSMB7	Proteasome subunit, beta type, 7
Miscellaneous	TMPRSS2	Transmembrane protease, serine 2
