Gene description	Functional category	Accession no.	Hybridization intensity (SE) DMSO	Taxol	Taxol + U0126	U0126	Cluster
Mcl-1:a Bcl-2 family protein	Antiapoptosis	L08246	14,541 (519)	15,511 (647)	5,412 (60)	5,377 (137)	Cluster 1
ICAM1:b major group rhinovirus receptor	Cell adhesion	M24283	1,025 (61)	1,313 (386)	756 (199)	367 (67)	Cluster 1
Integrin ?5: vitronectin receptor	Cell adhesion	X53002	3,221 (25)	3,741 (70)	1,660 (214)	2,127 (360)	Cluster 1
Cyclin D1/Bcl-1:a G1-S checkpoint	Cell cycle control	M64349	11,131 (826)	13,970 (3,085)	5,806 (1,119)	5,799 (760)	Cluster 1
KIFC3: kinesin family molecular motor	Cytoskeletal protein	AF004426	1,333 (308)	1,986 (49)	?137 (1,040)	713 (665)	Cluster 1
SGNE1/7B2: secretory granule protein	Hormone secretion	Y00757	1,269 (396)	1,223 (250)	454 (16)	471 (196)	Cluster 1
ETR101	Immediate early gene	M62831	15,227 (1,008)	14,098 (733)	7,143 (624)	6,923 (39)	Cluster 1
IGFBP8: connective tissue growth factor	Immediate early gene	X78947	13,759 (647)	16,319 (3,074)	8,795 (1,050)	6,362 (484)	Cluster 1
Follicular variant translocation 1	Secreted protein	X63657	1,067 (187)	1,279 (263)	414 (29)	443 (27)	Cluster 1
A2b adenosine receptor: G-protein-coupled receptor	Signal transduction	X68487	1,893 (195)	2,079 (131)	1,024 (72)	885 (38)	Cluster 1
LNK: lymphocyte adaptor protein	Signal transduction	AF055581	2,584 (385)	2,487 (127)	1,414 (277)	1,060 (9)	Cluster 1
PTPG1/PTP-PEST: tyrosine phosphatase	Signal transduction	M93425	5,250 (152)	4,671 (789)	2,055 (7)	1,875 (238)	Cluster 1
GEF-H1: rho/rac nucleotide exchange	Signal transduction	AB014551	5,708 (352)	5,050 (394)	2,530 (531)	2,453 (73)	Cluster 1
STK17A/DRAK1: serine/threonine kinase	Signal transduction	AI961743	3,269 (491)	3,396 (255)	1,324 (249)	1,491 (268)	Cluster 1
Traf1: TNF receptor-associated factor	Signal transduction	U19261	1,448 (359)	2,015 (615)	864 (248)	351 (146)	Cluster 1
CEP3/BORG2: cdc 42 effector protein	Signal transduction	AF094521	1,261 (144)	1,415 (70)	678 (132)	570 (48)	Cluster 1
GLUT3: glucose transporter-like protein	Solute transporter	M20681	3,643 (329)	3,406 (55)	1,333 (359)	1,381 (85)	Cluster 1
fra-1: fos-like antigen 1	Transcriptional regulation	X16707	5,896 (2,073)	8,332 (677)	2,340 (203)	2,105 (241)	Cluster 1
TAZ: transcriptional coactivator	Transcriptional regulation	AL050107	9,499 (1,644)	9,356 (1,959)	4,433 (679)	4,134 (632)	Cluster 1
ELL: elongation factor	Transcriptional regulation	U16282	1,393 (692)	2,053 (224)	335 (529)	985 (825)	Cluster 1
OSMRB: oncostatin-M receptor ?	Transmembrane receptor	U60805	1,639 (196)	2,269 (287)	963 (252)	698 (120)	Cluster 1
LOC57228	Unknown	AF091087	5,094 (1)	6,548 (140)	1,949 (181)	2,928 (408)	Cluster 1
KIAA0084	Unknown	D42043	2,786 (506)	2,521 (135)	1,285 (238)	1,607 (26)	Cluster 1
KIAA0938	Unknown	AB023155	1,079 (22)	1,324 (284)	587 (70)	355 (86)	Cluster 1
DKFZp586F2224	Unknown	AI655015	1,930 (430)	1,934 (384)	826 (140)	1,118 (38)	Cluster 1
