ID	Name	Description	Function	Gene Expression Patterns
X54942	CKS1	CDC28 protein kinase 2	Cell cycle	Genes with similar cell cycle-related expression patterns in normal fibroblasts and tumor-related HeLa cells
X05360	CDC2	Cell division cycle 2	Cell cycle	Genes with similar cell cycle-related expression patterns in normal fibroblasts and tumor-related HeLa cells
U05340	CDC20	Cell division cycle 20, Saccharomyces cerevisiaehomologue	Cell cycle	Genes with similar cell cycle-related expression patterns in normal fibroblasts and tumor-related HeLa cells
L22005	CDC34	Cell division cycle 34	Cell cycle	Genes with similar cell cycle-related expression patterns in normal fibroblasts and tumor-related HeLa cells
U14518	CENPA	Centromere protein A (17kD)	Cell cycle	Genes with similar cell cycle-related expression patterns in normal fibroblasts and tumor-related HeLa cells
X51688	CCNA2	Cyclin A	Cell cycle	Genes with similar cell cycle-related expression patterns in normal fibroblasts and tumor-related HeLa cells
M25753	CCNB1	Cyclin B1	Cell cycle	Genes with similar cell cycle-related expression patterns in normal fibroblasts and tumor-related HeLa cells
Z36714	CCNF	Cyclin F	Cell cycle	Genes with similar cell cycle-related expression patterns in normal fibroblasts and tumor-related HeLa cells
X80230	CDK9	Cyclin-dependent kinase 9 (CDC2-related kinase)	Cell cycle	Genes with similar cell cycle-related expression patterns in normal fibroblasts and tumor-related HeLa cells
U40343	CDKN2D	Cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)	Cell cycle	Genes with similar cell cycle-related expression patterns in normal fibroblasts and tumor-related HeLa cells
M13194	ERCC1	Excision repair cross-complementing rodent repair deficiency	Cell cycle	Genes with similar cell cycle-related expression patterns in normal fibroblasts and tumor-related HeLa cells
D64142	H1FX	H1 histone family, member X	Cell cycle	Genes with similar cell cycle-related expression patterns in normal fibroblasts and tumor-related HeLa cells
X14850	H2AFX	H2A histone family, member X	Cell cycle	Genes with similar cell cycle-related expression patterns in normal fibroblasts and tumor-related HeLa cells
X60486	H4FG	H4 histone family, member G	Cell cycle	Genes with similar cell cycle-related expression patterns in normal fibroblasts and tumor-related HeLa cells
J05614	PCNA	Human proliferating cell nuclear antigen (PCNA) gene	Cell cycle	Genes with similar cell cycle-related expression patterns in normal fibroblasts and tumor-related HeLa cells
D26361	KIAA0042	Kinesin superfamily member DUnc 104	Cell cycle	Genes with similar cell cycle-related expression patterns in normal fibroblasts and tumor-related HeLa cells
