Symbol	Gene name	Accession2	Ratio3	n4	p-value	Expression
TR	thioredoxin reductase beta	AA434130	1,56	4	0,013	Up-regulated
CAMP	cathelicidin antimicrobial peptide	AA609759	1,5	4	0,041	Up-regulated
PPIG	Peptidyl-prolyl isomerase G (cyclophilin G)	AA458502	1,49	4	0,046	Up-regulated
ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)	AA600217	1,47	4	0,003	Up-regulated
DYT1	Dystonia 1, torsion (autosomal dominant; torsin A)	AA394148	1,44	3	0,026	Up-regulated
DPYD	dihydropyrimidine dehydrogenase	AA428170	1,44	3	0,008	Up-regulated
NF2	neurofibromin 2 (bilateral acoustic neuroma)	AA428960	1,44	4	0,002	Up-regulated
CYP2C8	cytochrome P450, subfamily IIC (mephenytoin 4-hydroxylase), polypeptide 8	N53136	1,44	4	0,003	Up-regulated
DSP	desmoplakin (DPI, DPII)	H90899	1,43	4	0,024	Up-regulated
NFIL3	nuclear factor, interleukin 3 regulated	AA633811	1,4	4	0,043	Up-regulated
ACTN3	actinin, alpha 3	AA196000	1,4	4	0,008	Up-regulated
	T cell receptor delta locus	AA670107	1,38	4	0,002	Up-regulated
LMO7	LIM domain only 7	AA005112	1,36	4	0,004	Up-regulated
CDH6	Cadherin 6, type 2, K-cadherin (fetal kidney)	AA421819	1,36	4	0,031	Up-regulated
ACY1	aminoacylase 1	AA402915	1,36	4	<0.001	Up-regulated
PCCA	propionyl Coenzyme A carboxylase, alpha polypeptide	AA608575	1,36	4	0,027	Up-regulated
NFE2L1	nuclear factor (erythroid-derived 2)-like 1	AA496576	1,35	4	0,037	Up-regulated
ERCC5	excision repair cross-complementing rodent repair deficiency, complementation group 5 (xeroderma pigmentosum, complementation group G (Cockayne syndrome))	N62586	1,35	4	0,037	Up-regulated
RBBP1	retinoblastoma-binding protein 1	AA128328	1,35	4	0,028	Up-regulated
FLJ20275	hypothetical protein FLJ20275	AA458682	1,34	4	0,033	Up-regulated
KIAA0135	KIAA0135 protein	AA427740	1,34	4	0,028	Up-regulated
SATB1	special AT-rich sequence binding protein 1 (binds to nuclear matrix/scaffold-associating DNAs)	AA022561	1,33	4	0,007	Up-regulated
VDAC1	voltage-dependent anion channel 1	AA044059	1,32	4	0,029	Up-regulated
S100A2	S100 calcium-binding protein A2	AA458884	1,31	4	0,034	Up-regulated
SLAM	signaling lymphocytic activation molecule	AA458996	1,3	4	0,021	Up-regulated
IRAK1	interleukin-1 receptor-associated kinase 1	AA683550	1,29	4	0,019	Up-regulated
SERPINB3	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 3	AA398883	1,29	4	0,018	Up-regulated
CIN85	c-Cbl-interacting protein	AA989257	1,29	4	0,031	Up-regulated
IMPA2	inositol(myo)-1(or 4)-monophosphatase 2	R42685	1,28	4	0,047	Up-regulated
NEK1	NIMA (never in mitosis gene a)-related kinase 1	N71695	1,28	4	0,045	Up-regulated
NP	nucleoside phosphorylase	AA430382	1,27	4	0,008	Up-regulated
LMO2	LIM domain only 2 (rhombotin-like 1)	AA464644	1,27	4	0,05	Up-regulated
FLJ22418	hypothetical protein FLJ22418	AA404609	1,27	4	0,009	Up-regulated
CPA3	carboxypeptidase A3 (mast cell)	T64223	1,26	4	0,026	Up-regulated
TYROBP	TYRO protein tyrosine kinase binding protein	H12338	1,25	4	0,013	Up-regulated
MADH7	MAD (mothers against decapentaplegic, Drosophila) homolog 7	R82176	1,25	4	0,021	Up-regulated
GSTT1	glutathione S-transferase theta 1	H99813	1,25	4	0,041	Up-regulated
IL2RB	interleukin 2 receptor, beta	AA057156	0,36	4	0,021	Down-regulated
CD164	CD164 antigen, sialomucin	AA598561	0,44	4	0,004	Down-regulated
FHL1	four and a half LIM domains 1	AA456394	0,46	4	0,02	Down-regulated
GNRH1	gonadotropin-releasing hormone 1 (leutinizing-releasing hormone)	AA043996	0,47	4	0,005	Down-regulated
TIMP3	tissue inhibitor of metalloproteinase 3 (Sorsby fundus dystrophy, pseudoinflammatory)	AA099153	0,47	3	0,008	Down-regulated
CCR1	chemokine (C-C motif) receptor 1	AA036881	0,53	4	0,036	Down-regulated
MEIS2	Meis (mouse) homolog 2	AA148641	0,53	4	0,005	Down-regulated
NID2	Nidogen 2	AA479199	0,55	4	0,028	Down-regulated
SPOP	speckle-type POZ protein	AA256459	0,55	4	0,016	Down-regulated
HCK	hemopoietic cell kinase	AA149096	0,56	4	0,01	Down-regulated
PFKM	phosphofructokinase, muscle	AA099169	0,59	4	0,017	Down-regulated
ELF2	E74-like factor 2 (ets domain transcription factor)	AA453714	0,6	4	0,006	Down-regulated
LAMB2	laminin, beta 2 (laminin S)	AA156802	0,61	4	0,012	Down-regulated
