Accession no.	Gene name	Hybridization intensity Non-treated	Hybridization intensity HLA-G-treated	Fold decrease over non-treated	Regulation
X00497	CD74	14407 (1901)	4873 (625)	3	Down-regulated genes
X62744	HLA-DMA	1273 (131)	531 (70)	2.4	Down-regulated genes
U15085	HLA-DMB	1368 (179)	416 (86)	3.3	Down-regulated genes
BC021136	IFI30	4338 (634)	1741 (232)	2.5	Down-regulated genes
BC000718	Dynactin 2	1006 (125)	348 (64)	2.9	Down-regulated genes
AF313469	Dectin-1	29053 (3265)	13522 (1426)	2.2	Down-regulated genes
AF305068	DC-STAMP	5315 (734)	1881 (229)	2.8	Down-regulated genes
AB013924	DC-LAMP3	3223 (562)	1453 (259)	2.2	Down-regulated genes
BC009470	PRKRA	5672 (593)	2650 (237)	2.1	Down-regulated genes
BC020848	RNASE6	1609 (138)	632 (86)	2.5	Down-regulated genes
M32599	GAPDH	64042 (7423)	63628 (5840)	1	Down-regulated genes
M15330	IL-1beta	2187 (267)	6778 (1046)	-3.1	Up-regulated genes
S53354	CD83	1699 (317)	3396 (564)	-2	Up-regulated genes
