Probe ID	Gene Symbol	Description	CM/ES Fold change	CM/EB Fold change	FH/ES Fold change	FH/EB Fold change	AH/ES Fold change	AH/EB Fold change
4390482	ATP1B4	ATPase, (Na+)/K+ transporting, beta 4 polypeptide	9696.61	9696.61	621.52	621.52	1	1
3450360	TGFB2	transforming growth factor, beta 2	1371.74	21.49	72.01	1.13	1	0.02
6860754	ARG1	arginase, liver	1362.99	36.61	302.73	8.13	1	0.03
6510451	NPPA	natriuretic peptide precursor A	1145.07	672.55	1540.76	904.96	169.06	99.3
460224	APIN	odontogenic, ameloblast asssociated	918.83	5.55	1	0.01	1	0.01
3830079	SAA4	serum amyloid A4, constitutive	865.47	140.47	3.04	0.49	1	0.16
1240044	CEACAM6	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)	794.77	192.86	51.52	12.5	1	0.24
3180356	UGT2B4	UDP glucuronosyltransferase 2 family, polypeptide B4	556.28	19.75	2.91	0.1	2156.29	76.55
3310204	RERG	RAS-like, estrogen-regulated, growth inhibitor	527.24	4.66	106.02	0.94	96.46	0.85
6510176	UACA	uveal autoantigen with coiled-coil domains and ankyrin repeats	517.88	132	195.84	49.92	67.32	17.16
5560600	BMP5	bone morphogenetic protein 5	503.63	8.34	108.7	1.8	8.86	0.15
3190521	CAPN3	calpain 3, (p94)	489.83	489.83	23.11	23.11	10.91	10.91
1770538	CDH10	cadherin 10, type 2 (T2-cadherin)	468.15	4.12	13.24	0.12	0.18	0
780333	LYZL4	lysozyme-like 4	430.98	136.85	1	0.32	1	0.32
1400386	SMAD9	SMAD, mothers against DPP homolog 9 (Drosophila)	424.41	22.98	172.27	9.33	7.81	0.42
2600408	SLC6A4	solute carrier family 6 (neurotransmitter transporter, serotonin), member 4	418.53	21.85	220.56	11.52	1	0.05
2030088	TRIM55	tripartite motif-containing 55	414.28	57.52	175.64	24.39	101.53	14.1
4060037	CRHBP	corticotropin releasing hormone binding protein	413.98	10.16	16.99	0.42	37.91	0.93
2450180	KCNJ5	potassium inwardly-rectifying channel, subfamily J, member 5	404.66	404.66	477.01	477.01	94.57	94.57
3360717	MYL4	myosin, light polypeptide 4, alkali; atrial, embryonic	403.32	8.12	565.31	11.38	43.58	0.88
870372	C9orf50	chromosome 9 open reading frame 50	378.18	11.65	28.26	0.87	6.6	0.2
1010136	HSPA6	heat shock 70kDa protein 6 (HSP70B)	354.84	62.3	48.36	8.49	65.73	11.54
4780390	MTUS1	mitochondrial tumor suppressor 1	340.47	41.74	354.3	43.44	67.42	8.27
290554	LMBRD2	LMBR1 domain containing 2	325.41	91.08	2.47	0.69	3.73	1.04
1850482	REEP3	receptor accessory protein 3	323.1	2.35	134.74	0.98	4.17	0.03
