Systematic	Gene Symbol	Description	Entrez Gene	Log Intensity Values M1	A7	A14	C7	C14	O7	O14
GI_10092638-S	CRIM1	Homo sapiens cysteine-rich motor neuron 1 (CRIM1), mRNA.	51232	0.4651	?0.2063	?0.6833	?1.9801	?2.6196	0.7914	0.2217
GI_10864010-S	SQRDL	Homo sapiens sulfide quinone reductase-like (yeast) (SQRDL), mRNA.	58472	?0.1645	0.1717	0.1247	?1.5334	?0.8840	0.5703	0.5038
GI_11038618-S	ACTG1	Homo sapiens actin, gamma 1 (ACTG1), mRNA.	71	?0.0072	?0.1794	?0.0395	?0.0042	?2.2372	0.0448	0.0241
GI_11038653-S	ADAMTS1	Homo sapiens a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 1 (ADAMTS1), mRNA.	9510	0.5214	0.4270	0.5894	?1.5745	?1.4460	0.1991	?0.4178
GI_12707576-A	PRRX1	Homo sapiens paired related homeobox 1 (PRRX1), transcript variant pmx-1b, mRNA.	5396	0.0160	0.1085	?0.1453	?0.6314	?2.0757	0.0910	0.0510
GI_13324676-S	ENPP1	Homo sapiens ectonucleotide pyrophosphatase/phosphodiesterase 1 (ENPP1), mRNA.	5167	0.2188	?0.7887	?0.5631	1.9896	3.0516	?1.1652	?0.4323
GI_15431299-S	RPL18A	Homo sapiens ribosomal protein L18a (RPL18A), mRNA.	6142	?0.1112	0.2481	0.3441	0.0796	?2.9240	?0.0726	?0.0164
GI_15451855-S	CAV1	Homo sapiens caveolin 1, caveolae protein, 22kDa (CAV1), mRNA.	857	?0.0298	0.0461	?0.0099	?1.8823	?2.9455	0.2833	0.1870
GI_15812177-S	ZFP36L2	Homo sapiens zinc finger protein 36, C3H type-like 2 (ZFP36L2), mRNA.	678	?0.0637	?0.0697	0.0828	?2.2275	?4.5010	0.5894	0.2873
GI_15812218-S	RPL30	Homo sapiens ribosomal protein L30 (RPL30), mRNA.	6156	0.0221	0.0191	0.1733	0.2595	?2.1783	?0.0882	?0.1202
GI_16905511-S	RPLP1	Homo sapiens ribosomal protein, large, P1 (RPLP1), mRNA.	6176	?0.1977	0.2942	0.4468	0.2875	?1.7766	?0.1865	?0.0211
GI_17738295-A	CDKN2A	Homo sapiens cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4) (CDKN2A), transcript variant 2, mRNA.	1029	?0.0342	?0.1126	?0.1345	1.0308	1.5830	?0.8788	?0.4961
GI_17981693-A	CDKN2B	Homo sapiens cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4) (CDKN2B), transcript variant 1, mRNA.	1030	0.3149	?0.0605	?0.0050	1.8528	1.8740	?0.8466	?0.9401
GI_19743818-A	ITGB1	Homo sapiens integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12) (ITGB1), transcript variant 1D, mRNA.	3688	0.1959	?0.1890	?0.1713	?0.2380	?1.6136	0.1627	0.1693
GI_19743844-I	DCN	Homo sapiens decorin (DCN), transcript variant A1, mRNA.	1634	?0.6986	0.6614	0.7053	?0.4066	?2.9945	0.2199	0.4903
GI_19923197-S	RUNX1	Homo sapiens runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene) (RUNX1), mRNA.	861	0.0426	0.0033	?0.0123	1.6058	2.0494	?0.7632	?0.3739
GI_19923342-S	CITED2	Homo sapiens Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2 (CITED2), mRNA.	10370	0.1673	?0.1273	?0.1224	?1.9288	?1.8481	0.4883	0.2444
GI_22547122-S	TNFRSF11B	Homo sapiens tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin) (TNFRSF11B), mRNA.	4982	1.0152	?1.5872	?1.9738	?3.1668	?2.7616	0.6988	0.8340
GI_23111004-S	MFAP4	Homo sapiens microfibrillar-associated protein 4 (MFAP4), mRNA.	4239	?0.2909	?0.5414	?1.7318	2.1228	1.7113	0.0428	0.6477
GI_23397428-S	PCID1	Homo sapiens dendritic cell protein (GA17), mRNA.	10480	0.1144	0.2116	0.2173	?0.1421	?1.7940	?0.0654	?0.2127
GI_24041028-I	NOS2A	Homo sapiens nitric oxide synthase 2A (inducible, hepatocytes) (NOS2A), transcript variant 1, mRNA.	4843	?0.1207	0.0448	?0.0612	?2.0008	?3.4169	0.3731	0.3042
GI_24234684-I	HSPA8	Homo sapiens heat shock 70kDa protein 8 (HSPA8), transcript variant 1, mRNA.	3312	?0.0229	?0.0928	0.1287	0.0586	?2.0821	0.0267	?0.1250
GI_24430217-S	IL11	Homo sapiens interleukin 11 (IL11), mRNA.	3589	0.4145	?1.0965	?0.7898	2.0906	2.4231	?1.7893	?1.0528
GI_24475846-S	IVNS1ABP	Homo sapiens influenza virus NS1A binding protein (IVNS1ABP), mRNA.	10625	?0.2214	?0.4830	?0.4939	1.4905	2.2335	0.4409	0.3169
GI_27886606-A	PTK7	Homo sapiens PTK7 protein tyrosine kinase 7 (PTK7), transcript variant PTK7-3, mRNA.	5754	?0.2624	0.3245	0.1712	2.0455	1.2798	?0.8832	?1.3761
