Unigene Human	Mouse	Gene symbol Human	Gene symbol	Description	Log ratio (A/B) Human	Mouse	Function
Hs.113503	Mm.151329	RANBP5	Kpnb3	Karyopherin (importin) beta 3	0.97	0.81	Nuclear pore transport
Hs.180446	Mm.16710	KPNB1	Kpnb1	Karyopherin (importin) beta 1	0.98	0.75	Nuclear pore transport
Hs.90073	Mm.22417	CSE1L	Cse1l	Chromosome segregation 1-like (budding yeast); Exportin	1.13	0.9	Nuclear pore transport
Hs.75462	Mm.239605	BTG2	Btg2	BTG family, member 2	0.71	1.46	Anti-apoptosis
Hs.171391	Mm.226905	CTBP2	Ctbp2	C-terminal binding protein 2	0.8	0.75	Anti-apoptosis
Hs.75562	Mm.5021	DDR1	Ddr1	Discoidin domain receptor family, member 1	0.69	1.49	Anti-apoptosis
Hs.180414	Mm.197551	HSPA8	Hspa8	Heat shock 70kDa protein 8	0.77	1.25	Anti-apoptosis
Hs.145279	Mm.28805	SET	Set	SET translocation (myeloid leukemia-associated)	1.03	0.76	Anti-apoptosis
Hs.115770	Mm.6426	TNFSF11	Tnfsf11	Tumor necrosis factor (ligand) superfamily, member 11	0.81	0.85	Anti-apoptosis
Hs.373508	Mm.3399	TRAF2	Traf2	TNF receptor-associated factor 2	0.67	0.78	Anti-apoptosis
Hs.349530	Mm.3308	YWHAH	Ywhah	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein	1.12	0.88	Anti-apoptosis
Hs.152759	Mm.22430	ASK	Ask	Activator of S phase kinase	1.15	0.96	Cell growth and proliferation
Hs.1634	Mm.29800	CDC25A	Cdc25a	Cell division cycle 25A	0.58	1.32	Cell growth and proliferation
Hs.28853	Mm.20842	CDC7	Cdc7	CDC7 Cell division cycle 7-like 1 (budding yeast)	0.84	0.95	Cell growth and proliferation
Hs.95577	Mm.6839	CDK4	Cdk4	Cyclin-dependent kinase 4	1.31	0.93	Cell growth and proliferation
