Accession no.	Gene name	Fold induction
NM_005689	ABCB6	14.7
NM_001613	ACTA2	5.8
NM_000024	ADRB2	11.1
NM_024060	MGC5395	7.3
NM_000693	ALDH1A3	9.5
NM_001635	AMPH	4.6
NM_001630	ANXA8	13.3
NM_004040	ARHB	6.6
NM_175744	ARHC	4.2
NM_005737	ARL	6.1
NM_021913	AXL	19.8
NM_001197	BIK	8.1
NM_001723	BPAG1	7.4
NM_000494	BPAG2	11.8
NM_013279	c11orf9	12
W28438	c14orf78	17.2
NM_030806	c1orf21	8.9
NM_007293	C4A	17.3
NM_012121	CDC42EP4	5
NM_001793	CDH3	8.1
NM_001807	CEL	23.8
NM_003879	CFLAR	8.8
NM_005203	COL13A1	9.2
NM_001312	CRIP2	27.9
NM_001897	CSPG4	13.9
NM_020248	CTNNBIP1	19
NM_013993	DDR1	6.5
NM_007021	DEPP	6.6
NM_004402	DFFB	4.2
NM_004753	DHRS3	8.5
NM_006052	DSCR3	4
NM_003583	DYRK2	7.3
NM_004428	EFNA1	15.6
NM_005451	ENIGMA	5
NM_004443	EPHB3	4.9
NM_001988	EVPL	16.9
NM_004110	FDXR	4.5
NM_005103	FEZ1	10.3
NM_000800	FGF1	4.9
NM_000141	FGFR2	4
NM_001451	FOXF1	13.2
NM_004960	FUS	9.3
NM_001680	FXYD2	4.4
NM_013267	GA	9.5
NM_000156	GAMT	39.6
NM_006478	GAS2L1	5.2
NM_000820	GAS6	4.4
NM_002050	GATA2	8.1
NM_005265	GGT1	5.9
XM_290331	GGT2	7.1
NM_016235	GPRC5	8.5
NM_000835	GRIN2C	5
NM_002087	GRN	6.4
NM_007032	HRIHFB2122	14.7
NM_000413	HSD17B1	11.1
NM_005529	HSPG2	9.4
NM_001553	IGFBP7	6.7
NM_000418	IL4R	4
NM_005541	INPP5D	5.7
NM_014652	IPO13	4.8
NM_002198	IRF1	4.7
NM_000419	ITGA2B	6.7
NM_002204	ITGA3	10.8
NM_000211	ITGB2	8.2
NM_025194	ITPKC	12.5
NM_002226	JAG2	4.1
NM_002229	JUNB	9
NM_002246	KCNK3	10.2
AB006622	KIAA0284	4.2
AB002301	KIAA0303	13.1
AB018310	KIAA0767	4.5
NM_014398	LAMP3	4.6
NM_000229	LCAT	14.4
NM_006150	LMO6	16.9
NM_002392	MDM2	5.1
NM_006343	MERTK	6.4
NM_004225	MFHAS1	5.9
NM_002430	MN1	9.3
M62324	MRF1	5.2
NM_003970	MYOM2	91.9
NM_005382	NEF3	7.8
NM_002507	NGFR	9.1
NM_000435	NOTCH3	7.1
NM_014293	NPTXR	5.6
NM_005010	NRCAM	5.2
NM_002526	NT5E	27.7
NM_012385	P8	21.7
NM_015089	PARC	7
NM_004881	PIG3	12.2
NM_004864	PLAB	4
NM_000930	PLAT	6.2
NM_002632	PIGF	4
NM_002688	PNUTL1	9.3
NM_002699	POU3F1	13.1
NM_002705	PPL	9
NM_006404	PROCR	4.1
NM_016335	PRODH	6.8
NM_004878	PTGES	38.7
NM_002829	PTPN3	4.7
NM_002852	PTX3	7.3
NM_014417	PUMA	4.3
NM_014636	RALGPS1A	4
NM_002885	RAP1GA1	7.6
NM_005978	S100A2	25.7
NM_002996	SCYD1	4.4
NM_002997	SDC1	4.4
NM_003004	SECTM1	59.8
NM_002639	SERPINB5	6.7
NM_006142	SFN	12.5
NM_003078	SMARCD3	11.2
NM_003087	SNCG	72.1
NM_003105	SORL1	4.7
NM_004509	SP110	8.8
NM_014850	SRGAP2	10.2
NM_000349	STAR	43.2
NM_005819	STX6	5
NM_003181	T	5.7
NM_006474	T1A-2	6.7
NM_000593	TAP1	4.5
NM_015993	TM4SF11	6.3
NM_003271	TM4SF7	8.9
NM_001252	TNFSF7	4.1
NM_003279	TNNC2	29.2
NM_016272	TOB2	6.8
NM_007233	TP53AP1	5.2
NM_003385	VSNL1	37.8
NM_000389	WAF1	6.7
NM_030761	WNT4	4.6
NM_007155	ZP3	7.5
