Gene Name	Gene ID	Fold Decrease Array (8-16h)
sulfotransferase family 1E, member 1	Sultfe1	0.13
neurotensin	Nts	0.21
chemokine (C-X-C motif) receptor 4	Cxcr4	0.06
protein kinase, cGMP-dependent, type II	Prkg2	27
activated leukocyte cell adhesion molecule	Alcam	0.52
Cd34 antigen	Cd34	0.37
prostaglandin-endoperoxide synthase 1	Ptgs1	0.39
frizzled homolog 1 (Drosophila)	Fzd1	0.28
claudin 1	Cldn1	0.04
metallothionein 2	Mt2	0.27
chondroitin sulfate proteoglycan 2 (Versican)	Cspg2	0.29
hyaluronan synthase 2	Has2	0.37
a disintegrin-like and metalloprotease with thrombospondin type 1 motif, 1	Adamts1	0.37
