Acc	Symbol	name	Unigene	LLID	Function	Chromosome	Cytoband	0439gpr MPP vs LT	0461gpr LT vs MPP	5351gpr MPP vs LT	5352gpr LT vs MPP	5359gpr LT vs MPP	5360gpr MPP vs LT	Pass	Fold change	1/fold change	Score(d)	Numerator(r)	Denominator(s+s0)	q-value (%)
BG073341	Dhrs3	dehydrogenase/reductase (SDR family) member 3	Mm.14063	20148		4	4 E1	2.5229	2.3417	2.6693	2.7356	2.4899	2.2439	6	5.698678395	0.175479283	4.782912991	2.50055	0.522809009	0.289800804
BG075534		2 days neonate thymus thymic cells cDNA, RIKEN full-length enriched library, clone:E430008K23 product:unknown EST, full insert sequence	Mm.30745	NA			NA	2.3811	2.6703	2.3382	2.3732	2.104	2.2434	6	5.141111705	0.194510459	4.496967788	2.3517	0.522952378	0.289800804
BG074408	Ddx4	DEAD (Asp-Glu-Ala-Asp) box polypeptide 4	Mm.12818	13206		13		2.8454	1.8186	3.151	3.2185	2.9365	4.0032	6	8.766063608	0.114076288	4.07533864	2.995533333	0.735039121	0.289800804
AV074733	Igh-6	immunoglobulin heavy chain 6 (heavy chain of IgM)	Mm.351746	16019		12		3.9149	4.7104	3.2416	3.2562	1.8566	2.8402	6	11.84323511	8.44E-02	3.928901899	3.303316667	0.840773517	0.289800804
AV023026	Satb1	special AT-rich sequence binding protein 1	Mm.4381	20230	special AT-rich sequence binding protein 1	17	17 C	2.4486	3.5232	2.421	3.0791	1.9649	2.3089	6	6.603529304	0.151434173	3.865991137	2.624283333	0.678812558	0.289800804
AA395947	Il1r1	interleukin 1 receptor, type I	Mm.896	16177		1		3.0218	2.7238	2.2493	2.3628	1.8746	2.0965	6	5.428301883	0.184219673	3.864998274	2.388133333	0.617887296	0.289800804
BG070287	Igh-6	immunoglobulin heavy chain 6 (heavy chain of IgM)	Mm.351746	16019		12		3.1531	4.7166	3.305	3.2065	2.6197	1.9401	6	10.71441708	0.093332189	3.841971183	3.156833333	0.821670227	0.289800804
BG065579	Satb1	special AT-rich sequence binding protein 1	Mm.4381	20230		17	17 C	2.6711	3.325	2.2416	2.4001	1.8086	2.549	6	5.958896438	0.167816308	3.834057088	2.499233333	0.65185084	0.289800804
AI838613	Emp1	epithelial membrane protein 1	Mm.182785	13730		6		2.9152	2.7188	2.8834	2.7473	1.8689	1.7391	6	5.86847401	0.17040205	3.741048313	2.478783333	0.66259057	0.289800804
AI847831	D430026P16Rik	RIKEN cDNA D430026P16 gene	Mm.169755	320183		10	10 D2	1.8075	2.6883	2.003	1.9308	2.6118	2.3617	6	4.83654893	0.206758996	3.733774044	2.23385	0.598282053	0.289800804
BG072100	Chdh	choline dehydrogenase	Mm.259916	218865		14	14 A3	3.3146	2.9346	2.0348	2.1918	2.274	4.3063	6	8.480388014	0.117919133	3.549028216	2.842683333	0.800975129	0.289800804
AV087001				NA	CD53 antigen		NA	2.0732	1.8163	2.1227	2.3914	1.4948	2.2648	6	4.159305394	0.24042476	3.501001282	2.0272	0.57903435	0.289800804
X12531	Ccl3	chemokine (C-C motif) ligand 3	Mm.1282	20302		11		1.9936	3.8717	2.6483	2.9487	1.9527	2.1261	6	6.807831646	0.146889649	3.457244999	2.590183333	0.749204449	0.289800804
AA395947	Il1r1	interleukin 1 receptor, type I	Mm.896	16177		1		3.0078	2.7036	2.1283	2.3514	1.438	2.0928	6	5.168006265	0.193498217	3.420967431	2.286983333	0.66851947	0.289800804
NA	NA	NA	NA		NA			2.0501	1.6799	1.6811	1.8537	1.491	1.6343	6	3.346932215	0.298781073	3.294087554	1.731683333	0.525694386	0.289800804
AV008822	Lck	lymphocyte protein tyrosine kinase	Mm.293753	16818		4		1.8714	1.6176	2.2363	2.236	1.3987	2.4707	6	4.05500727	0.246608682	3.206551173	1.971783333	0.614923395	0.289800804
AA154832	Ccl9	chemokine (C-C motif) ligand 9	Mm.2271	20308		11		2.9006	3.4408	2.4696	2.6925	1.4105	1.6562	6	6.023266103	0.166022882	3.195164442	2.428366667	0.760013048	0.289800804
BG067618	Cnn3	calponin 3, acidic	Mm.275555	71994		3	3 G1	3.1852	2.623	2.58	2.6066	0.878	2.921	6	6.122948647	0.163320004	3.168496149	2.465633333	0.778171479	0.289800804
BG064394	Atp1b1	ATPase, Na+/K+ transporting, beta 1 polypeptide	Mm.4550	11931		1		1.9079	1.7044	1.5276	1.5604	1.5165	1.4787	6	3.081984819	0.324466232	3.150922687	1.615916667	0.512839199	0.289800804
AV017127	Notch1	Notch gene homolog 1 (Drosophila)	Mm.330072	18128		2		2.0911	2.4041	1.7959	1.7989	1.7353	1.3063	6	3.718033525	0.268959382	3.108623299	1.855266667	0.596812958	0.289800804
