Symbol	Frequency	Primary	AIPCa	Mean	Fold	Gene description
ACPP	100	69.3	?45.70	7,659	3.39	Acid phosphatase, prostate
KLK3	100	35.08	?23.15	4,642	2.85	Kallikrein 3, (prostate-specific antigen)
KRT18	98	17.42	?11.43	3,695	2.41	Keratin 18
KLK2	97	18.76	?12.49	1,657	2.69	Kallikrein 2, prostatic
NKX3-1	88	11.94	?7.97	5,583	2.08	NK3 transcription factor–related, l
RPL11	85	7.59	?5.25	2,896	1.71	Ribosomal protein L11
MYLK	80	10.93	?6.75	1,371	6.12	Myosin, light polypeptide kinase
MYH11	77	10.46	?6.45	1,781	10.1	Myosin, heavy polypeptide 11, smooth muscle
TAOK3	55	2.56	?1.57	842	3.92	TAO kinase 3
RDH11	40	3.05	?1.93	2,690	2.85	Retinol dehydrogenase 11
COL1A2	37	?2.68	2.01	6,611	9.03	Collagen, type I, ? 2
CSRP1	27	2.24	?1.29	727	4.11	Cysteine and glycine-rich protein 1
SET	25	?1.10	0.87	392	1.55	SET translocation (myeloid leukemia associated)
PAFAH1B1	22	1.73	?1.05	2,597	2.75	Platelet-activating factor acetylhydrolase
TACSTD2	22	1.61	?1.13	23	1.2	Tumor-associated calcium signal transducer
ACTA2	22	1.12	?0.69	1,519	3.54	Actin, ? 2, smooth muscle
DDAH1	17	1.76	?1.36	1,280	2.19	Dimethylarginine dimethylaminohydrolase 1
ALDH1A3	17	0.67	?0.43	1,526	3.64	Aldehyde dehydrogenase 1 family, member A3
SORD	15	0.85	?0.59	1,655	3.68	Sorbitol dehydrogenase
PART1	14	0.65	?0.045	423	3.62	Prostate androgen–regulated transcript 1
