Chromosome	HGNCsymbol	Description	NCBI accession no.	Normal vs. MGUS Fold change	P	Normal vs. MM Fold change	P	MGUS vs. MM Fold change	P
1p13.3	KCND3	Potassium voltage-gated channel, Shal-related subfamily, member 3	AF048713	1.99	0.003	1.74	0.002	—	—
1p13-p12	HMGCS2	3-Hydroxy-3-methylglutaryl-coenzyme A synthase 2 (mitochondrial)	X83618	—	—	-2.22	0.036	-1.52	0.032
1p31.1	ACADM	Acyl-coenzyme A dehydrogenase, C-4 to C-12 straight chain	M91432	—	—	—	—	-1.8	0.04
4p16.1	WDR1	WD repeat domain 1	AL050108	—	—	—	—	-2.07	0.009
5q31	SEPP1	Selenoprotein P, plasma, 1	Z11793	-6.2	0.027	-10.04	0.021	—	—
6p21.33	HIST1H2BK	Histone 1, H2bk	AJ223352	-3.24	0.007	—	—	2.14	0.02
6p22-p21.3	HIST1H1B	Histone 1, H1b	Z98744	—	—	2.82	0.02	—	—
6q12	PTP4A1	Protein tyrosine phosphatase type IVA, member 1	U48296	-2.68	0.031	-3.2	0.021	—	—
6q22-q23	MYB	v-myb myeloblastosis viral oncogene homolog (avian)	U22376	2.16	0.028	2.53	0.005	—	—
6q25.1	ESR1	Estrogen receptor 1	X03635	—	—	1.75	0.035	—	—
6q25-q27	WTAP	Wilms tumor 1 associated protein	D14661	—	—	-3.06	0.026	—	—
8p12	TMEM66	Transmembrane protein 66	W26659	—	—	-2.25	0.007	—	—
8p21.3	DOK2	Docking protein 2, 56 kDa	AF034970	—	—	4.07	0.009	—	—
8p21.3	GFRA2	GDNF family receptor  2	U97145	-3.22	0.047	—	—	—	—
8p22-21.3	ASAH1	N-acylsphingosine amidohydrolase (acid ceramidase) 1	U70063	—	—	-2.72	0.018	—	—
12p13.2	GABARAPL1	GABA(A) receptor-associated protein-like 1	W28281	—	—	-3.13	0.043	—	—
12q23.3	CKAP4	Cytoskeleton-associated protein 4	X69910	-2.45	0.029	-2.47	0.028	—	—
13q12	HMGB1	High-mobility group box 1	D63874	—	—	-3.15	0.03	—	—
13q12.1	SAP18	Sin3-associated polypeptide, 18 kDa	U96915	—	—	-4.41	0.042	—	—
13q12.3-q1 3.1	GTF3A	General transcription factor IIIA	D32257	-2.81	0.045	-3.2	0.036	—	—
13q12-q13	CG018	Hypothetical gene CG018	AL049786	1.74	0.011	—	—	—	—
13q12-q14	TPT1	Tumor protein, translationally controlled 1	X16064	—	—	-1.55	-0.001	—	—
13q14.11	MRPS31	Mitochondrial ribosomal protein S31	Z68747	—	—	-3.21	0.01	—	—
13q31.2-q3 2.3	STK24	Serine/threonine kinase 24 (STE20 homolog, yeast)	AF024636	-3.31	0.004	-4.57	0.004	—	—
13q32	ZIC2	Zic family member 2 (odd-paired homolog, Drosophila)	AF104902	—	—	1.31	0.008	—	—
13q32.3	TM9SF2	Transmembrane 9 superfamily member 2	U81006	-3.23	0.02	-4.28	0.013	—	—
13q34	ATP11A	ATPase, class VI, type 11A	AB028944	2.34	0.001	1.96	0.003	—	—
13q34	LAMP1	Lysosomal-associated membrane protein 1	J04182	-2.9	0.013	-4.47	0.008	—	—
14q22-q24	ZFP36L1	Zinc finger protein 36, C3H type-like 1	X79067	-5.6	0.006	-7.45	0.004	—	—
14q24.1	ACTN1	Actinin,  1	X15804	—	—	—	—	-23.19	0.046
16q12.2-q13	HERPUD1	Endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1	D14695	-1.99	0.013	-2.94	-0.001	—	—
16q13	CNGB1	Cyclic nucleotide gated channel  1	U18945	2.92	-0.001	2.84	0.002	—	—
16q22.3q24.1	GABARAPL2	GABA(A) receptor-associated protein-like 2	AI565760	-2.44	0.042	-2.92	0.027	—	—
16q22-q23	MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	AF055376	—	—	-9.81	0.049	—	—
16q24.2	MAP1LC3B	Microtubule-associated protein 1 light chain 3 B	W28807	2.12	0.031	-3.53	0.008	—	—
16q24.3	RPL13	Ribosomal protein L13	X64707	—	—	—	—	1.5	0.043
17p13.1	GABARAP	GABA(A) receptor-associated protein	AF044671	2.52	0.031	-3.26	0.02	—	—
17p13.1	SENP3	SUMO1/sentrin/SMT3 specific protease 3	AL050283	—	—	2.04	0.041	—	—
17p13.1	CD68	Serine/threonine kinase 17b (apoptosis-inducing)	AA203487	—	—	—	—	-2.02	0.009
20p12	BMP2	Bone morphogenetic protein 2	M22489	—	—	85.74	0.002	10.71	0.039
20p12.1	DSTN	Destrin (actin depolymerizing factor)	S65738	—	—	-2.54	0.005	—	—
20p13	SOX12	SRY (sex determining region Y)-box 12	U35612	1.62	0.017	1.98	0.004	—	—
20pter-p12	PRNP	Prion protein	U29185	-3.86	0.006	-5.12	0.005	—	—
22q12.1	TPST2	Tyrosylprotein sulfotransferase 2	AF049891	-4.02	0.014	-6.72	0.011	—	—
22q12.1	XBP1	X-box binding protein 1	Z93930	—	—	-1.72	0.002	—	—
22q13.1	TOM1	Target of myb1 (chicken)	AJ006973	3.07	0.009	—	—	—	—
22q13.31	KIAA0153	KIAA0153 protein	D63487	—	—	1.72	0.006	—	—
