Gene symbol	Gene full name	Affy_ID	P value	Function
Clu	Clusterin	1418626_a_at	0.000036	Anti-apoptotic
Tff3	Trefoil factor 3 (intestinal)	1417370_at	0.000005	Unknown
Ezh2	Enhancer of zeste homolog 2 (Drosophila)	1416544_at	0.000033	Regulation of gene transcription and chromatin structure
Mki67	Antigen identified by monoclonal antibody Ki67	1426817_at	0.000041	Maintenance of cell proliferation
Hpn	Hepsin (transmembrane protease, serine 1)	1420712_a_at	0.001013	Cell growth and maintenance of cell morphology
Ceacam1	CEA-related cell adhesion molecule 1	1422123_s_at	0.000249	Cell adhesion and angiogenesis
Ctsb	Cathepsin B	1448732_at	0.008506	Intracellular protein degradation, tumor invasion and metastasis
Cdkn1a	Cyclin-dependent kinase inhibitor 1A (p21Cip1)	1421679_a_at	0.000312	Cell cycle inhibitor
Pim1	Pim-1 oncogene, Proviral integration site 1	1435872_at	0.008672	Cell proliferation and survival
Ets1	Ets1 oncogene, E26 avian leukemia oncogene 1, 5 domain	1452163_at	0.001276	Transcriptional factor
Vav3	Vav 3 oncogene	1448600_s_at	0.000378	Exchange factor for GTP-binding proteins RhoA, RhoG and Rac1
AR	Androgen receptor	1422982_at	0.008010	AR signaling, regulation of gene transcription
E2f4	E2F transcription factor 4, p107/p130-binding	1451480_at	0.698346	Transcriptional activator
Igfbp2	Insulin-like growth factor binding protein 2	1454159_a_at	0.155708	Prolong the half-life of the IGF, regulation of cell growth
Fn1	Fibronectin 1	1437218_at	0.709165	Cell adhesion, cell motility, and maintenance of cell shape
Mta1	Metastasis associated 1	1417295_at	0.228818	Covalent modification of histones
Bcl2	B-cell leukemia/lymphoma 2	1422938_at	0.498633	Anti-apoptotic
Insr	Insulin receptor	1450225_at	0.364985	Receptor for insulin, tyrosine-protein kinase activity
Ccne1	Cyclin E1	1416492_at	0.413585	Cell cycle regulator
Klk3	Kallikrein 3, (prostate specific antigen)	1427380_at	0.623846	Liquefaction of seminal coagulum
Amacr	Alpha-methylacyl-CoA racemase	1417208_at	0.487786	Fatty acid metabolism
Met	Met proto-oncogene	1422990_at	0.354915	Receptor for HGF, tyrosine-protein kinase activity.
