Probe ID	Gene Symbol	Chromosomal location	Representative public ID	Score	Fold Change	q-value	Sam
214369_s_at	RASGRP2	Chr:11q13	AI688812	5.844967	1.64012	4.451984	cluster1
204069_at	MEIS1	Chr:2p14-p13	NM_002398	4.940681	2.05273	0.546787	cluster3
209905_at	HOXA9	Chr:7p15-p14	AI246769	4.147647	1.86246	0.959275	cluster3
210365_at	RUNX1	Chr:21q22.3	D43967	4.971706	1.93522	0.546787	cluster3
211182_x_at	RUNX1	Chr:21q22.3	AF312387	4.568657	1.60447	0.695068	cluster3
211620_x_at	---	Chr:21q22.3	L21756	4.730006	1.56558	0.623415	cluster3
214651_s_at	HOXA9	Chr:7p15-p14	U41813	4.306589	2.03456	0.866197	cluster3
201416_at	SOX4	Chr:6p22.3	BG528420	4.255867	2.05602	1.652055	cluster4
201418_s_at	SOX4	Chr:6p22.3	NM_003107	4.202122	2.04755	1.652055	cluster4
201531_at	ZFP36	Chr:19q13.1	NM_003407	-5.40807	0.33307	0.109866	cluster4
203233_at	IL4R	Chr:16p11.2-12.1	NM_000418	-8.93654	0.2386	0.109866	cluster4
204069_at	MEIS1	Chr:2p14-p13	NM_002398	-5.34268	0.17418	0.109866	cluster4
206589_at	GFI1	Chr:1p22	NM_005263	-4.70179	0.43818	0.241475	cluster4
208129_x_at	RUNX1	Chr:21q22.3	NM_001754	-4.97066	0.60259	0.109866	cluster4
209359_x_at	RUNX1	Chr:21q22.3	L34598	-4.56452	0.64615	0.258318	cluster4
209905_at	HOXA9	Chr:7p15-p14	AI246769	-4.02982	0.23224	1.866838	cluster4
210365_at	RUNX1	Chr:21q22.3	D43967	-4.57062	0.36417	0.258318	cluster4
213668_s_at	SOX4	Chr:6p22.3	AI989477	4.64662	2.22445	0.37678	cluster4
214651_s_at	HOXA9	Chr:7p15-p14	U41813	-4.5245	0.19274	0.258318	cluster4
218902_at	NOTCH1	Chr:9q34.3	NM_017617	7.37871	2.57801	0.109866	cluster4
