Unigene	Symbol	Description	Functions	Fold change	P
Hs.81256	S100A4	S100 calcium-binding protein A4	Ca binding	29.59	0
Hs.174185	ENPP2	Ectonucleotide pyrophosphatase 2	Cell motility	28.72	0.045
Hs.90005	SCGN10	Stathmin-like 2	Neuronal protein	28.46	0.037
Hs.92282	PITX2	Paired-like homeodomain transcription factor 2	Transcription factor	19.04	0.047
Hs.83326	MMP3	Matrix metalloproteinase 3 (stromelysin 1)	Protease	18.6	0.005
Hs.202095	EMX2	Empty spiracles homolog 2 (Drosophila)	Brain development	17.53	0.037
Hs.103291	NRN1	Neuritin	Neuronal protein	14.73	0.002
Hs.820	HOXC6	Homeo box C6	Homeobox family	13.11	0.002
Hs.237356	SDF1	Stromal cell-derived factor 1	Chemokine	12.59	0.021
Hs.288467		EST	?	12.38	0.014
Hs.1239	ANPEP	Alanyl (membrane) aminopeptidase	Protease	10.17	0.008
Hs.271977	EN1	Engrailed homolog 1	Homeobox family	10	0.031
Hs.102171	ISLR	Immunoglobulin superfamily containingleucine-rich repeat	Cell adhesion	9.46	0.006
Hs.82422	CAPG	Capping protein (actin filament), gelsolin-like	Cytoskeleton	9.42	0.037
Hs.103839	EPB41L3	Erythrocyte membrane protein band 4.1-like 3	Membrane proteins	8.46	0.006
Hs.173717	PPAP2B	Phosphatidic acid phosphatase type 2B	Metabolism	8.44	0.01
Hs.66744	TWIST1	Twist homolog 1	Transcription factor, differentiation	8.36	0.03
Hs.127428	HOXA9	Class I homeoprotein	Homeobox family	8.21	0.007
Hs.86368	CLGN	Calmegin	Chaperone protein	7.62	0.048
Hs.139033	PEG3	Microfibril-associated glycoprotein-2	Signal transduction	7.34	0.03
Hs.83450	LAMA3	Laminin,  3	Basement membrane	7.18	0.037
Hs.77515	ITPR3	Inositol 1,4,5-triphosphate receptor, type 3	Signal transduction	7.08	0.003
Hs.82109	SDC1	Syndecan 1	Cell adhesion	6.8	0.034
Hs.280895		EST	?	6.76	0.009
Hs.285754	MET	Met proto-oncogene (hepatocyte growth factor receptor)	Cell motility, receptor	6.51	0.045
Hs.195727	TEM1	Tumor endothelial marker 1 precursor	Angiogenesis?	6.19	0.005
Hs.1298	MME	Membrane metallo-endopeptidase	Protease	6.04	0.022
Hs.74120	APM2	Adipose-specific 2	?	5.91	0.045
Hs.43658		EST	?	5.89	0.023
Hs.29423	SRCL	Collectin subfamily member 12	Scavenger receptor	5.89	0.019
Hs.57548		EST	?	5.74	0.001
Hs.8025	ANGPTL2	Angiopoietin-like 2	Angiogenesis?	5.2	0.03
Hs.202833	HMOX1	Heme oxygenase (decycling) 1	Metabolism	5.19	0.017
Hs.296811	ID2B	Striated muscle contraction regulatory protein	Muscle	5.11	0.04
Hs.79368	EMP1	Epithelial membrane protein 1	Membrane glycoprotein	5.09	0.001
Hs.324787	SLC5A3	Solute carrier family 5 (inositol transporters), member 3	Transporter	5.03	0.049
Hs.10323		EST	?	4.85	0.01
Hs.96063	IRS1	Insulin receptor substrate 1	Insulin receptor	4.7	0.018
Hs.155606	PMX1	Paired mesoderm homeobox 1	Homeobox family	4.67	0.005
Hs.183650	CRABP2	Cellular retinoic acid-binding protein 2	?	4.64	0.045
Hs.9315	HNOEL-iso	HNOEL-iso protein	?	4.63	0.007
Hs.424414	MSX1	Msh homeobox homolog 1 (Drosophila)	Homeobox family	4.59	0.023
Hs.268016		EST	?	4.58	0.031
Hs.44276	HOXC10	Homeobox C10	Homeobox family	4.48	0.001
Hs.87819		EST	?	4.46	0.009
Hs.180919	ID2	Inhibitor of DNA-binding 2	Cell differentiation	4.31	0.033
Hs.24587	EFS2	Signal transduction protein (SH3 containing)	Signal transduction	4.31	0.015
Hs.173859	FZD7	Frizzled homolog 7 (Drosophila)	WNT signaling	4.21	0.01
Hs.86172	PRX2	Paired related homeobox protein	Homeobox family	4.17	0.018
Hs.82962	TYMS	Thymidylate synthetase	DNA synthesis	4.15	0.002
Hs.169487	MAFB	Avian	Transcription factor	4.02	0.003
Hs.202097	PCOLCE	Procollagen C-endopeptidase enhancer	ECM	3.92	0.036
Hs.306098	AKR1C1	Aldo-keto reductase family 1, member C1	Metabolism	3.85	0.035
Hs.177635		KIAA1095 protein	?	3.83	0.002
Hs.79033	QPCT	Glutaminyl-peptide cyclotransferase (glutaminyl cyclase)	Protein synthesis	3.8	0
Hs.23016	RDC1	G protein-coupled receptor	Chemokine receptor	3.7	0.037
Hs.161002	AIM1	Absent in melanoma1	?	3.69	0.006
Hs.326612	SECTM1	Secreted and transmembrane 1	?	3.69	0.034
Hs.73625	RAB6KIFL	RAB6 interacting, kinesin-like (rabkinesin 6)	Microtubule-associated	3.68	0.004
Hs.6349		Hypothetical gene BC008967	?	3.64	0.017
Hs.207407	FLJ21195	Similar to protein related to DAC and cerberus	?	3.63	0.001
Hs.223025	RAB31	RAB31, member RAS oncogene family	GTP-binding protein	3.61	0.016
Hs.239506	MAB21L1	Mab-21-like 1 (Caenorhabditis elegans)	Neural development?	3.6	0.002
Hs.202696	KCNK2	Potassium channel, subfamily K, member 2	Ion channel	3.59	0
Hs.75111	PRSS11	Protease, serine, 11	Protease	3.58	0
Hs.110637	HOXA10	Homeobox A10	Homeobox family	3.48	0.009
Hs.104741	TOPK	Pdz-binding kinase; T-cell originated protein kinase	Mitosis	3.47	0.003
Hs.78909	ZFP36L2	EGF-response factor 2	Transcription factor	3.41	0.038
Hs.4854	CDKN2C	Cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)	Cell cycle	3.37	0.017
