Gene	Probe Set ID	Ratio	95% CI		ZamLog2FC	GioLog2FC
IGF2	210881_s_at	18.3	7.9	42.7	4.2	105.6
IGF2	202410_x_at	16.0	6.2	41.4	4.0	105.6
CDC2	203213_at	13.8	5.7	33.6	3.8	7.7
BARD1	205345_at	12.8	8.6	18.9	3.7	5.2
TOP2A	201292_at	8.6	3.2	23.0	3.1	8.8
TOP2A	201291_s_at	8.6	2.5	29.3	3.1	8.8
ANGPT2	205572_at	7.7	2.7	22.0	3.0	4.4
FOXM1	202580_x_at	7.2	2.2	24.0	2.8	6.4
TPX2	210052_s_at	6.8	3.0	15.3	2.8	15.6
STK6	208079_s_at	6.2	2.8	13.5	2.6	4.7
KIAA0101	202503_s_at	5.9	3.7	9.6	2.6	28.2
CDC2	203214_x_at	5.5	2.2	13.7	2.5	7.7
CDC2	210559_s_at	5.4	1.9	15.3	2.4	7.7
FGFR1	210973_s_at	5.3	1.9	14.9	2.4	4.4
ELF4	31845_at	5.0	2.6	9.8	2.3	5.2
TYMS	202589_at	4.6	2.4	8.9	2.2	4.6
STK6	204092_s_at	4.4	2.1	9.4	2.2	4.7
ENC1	201341_at	4.4	2.1	9.4	2.1	11.4
ANGPT2	211148_s_at	4.3	2.0	9.2	2.1	4.4
APOBEC3B	206632_s_at	3.9	1.9	7.7	1.9	10.8
CCNB2	202705_at	3.7	2.3	5.9	1.9	8.9
KIAA0186	206102_at	3.6	1.6	8.0	1.9	7.1
SPP1	209875_s_at	3.5	1.4	8.8	1.8	20.9
CCNE1	213523_at	3.3	2.2	5.0	1.7	10.4
BUB1B	203755_at	3.3	1.8	5.9	1.7	4.9
H2AFZ	213911_s_at	3.2	2.3	4.6	1.7	3.3
GGH	203560_at	3.2	2.0	5.1	1.7	7.2
H2AFZ	200853_at	3.0	1.9	4.7	1.6	3.3
HMGB2	208808_s_at	2.8	1.9	4.2	1.5	3.5
KIF11	204444_at	2.8	1.1	7.3	1.5	6.7
MGC5576	201764_at	2.7	1.6	4.6	1.4	3.4
SMC4L1	201664_at	2.7	1.9	3.7	1.4	5.3
ELF4	203490_at	2.6	1.5	4.6	1.4	5.2
MAD2L1	203362_s_at	2.6	0.9	7.5	1.4	4
ENC1	201340_s_at	2.5	1.3	4.9	1.3	11.4
P4HA2	202733_at	2.4	1.4	4.2	1.3	3.4
FAP	209955_s_at	2.3	1.3	4.1	1.2	6.2
SMC4L1	201663_s_at	2.2	1.3	3.5	1.1	5.3
WEE1	212533_at	2.1	1.2	3.9	1.1	5.5
CDKN3	209714_s_at	2.0	1.3	3.3	1.0	6.8
UBE2C	202954_at	2.0	1.5	2.7	1.0	32.4
CNAP1	201774_s_at	1.9	1.4	2.6	0.9	4.1
FGFR1	211535_s_at	1.9	0.8	4.6	0.9	4.4
CSRP2	211126_s_at	1.8	1.0	3.4	0.9	3.4
KIAA0101	211713_x_at	1.6	0.8	3.2	0.7	28.2
WEE1	215711_s_at	1.6	0.8	3.1	0.6	5.5
TOMM34	201870_at	1.3	1.0	1.6	0.4	8.7
FGFR1	207822_at	1.3	0.7	2.2	0.3	4.4
FGFR1	222164_at	1.2	0.9	1.8	0.3	4.4
IGF1	209542_x_at	1.2	0.5	3.2	0.3	-3.6
SMC4L1	215623_x_at	1.2	0.7	1.9	0.2	5.3
FBLN1	207834_at	1.1	0.5	2.6	0.1	-9.1
TWIST1	213943_at	1.1	0.6	1.9	0.1	8.4
---	207835_at	1.1	0.5	2.3	0.1	-9.1
FGFR1	207937_x_at	1.1	0.8	1.4	0.1	4.4
CSRP2	207030_s_at	1.1	0.5	2.1	0.1	3.4
