Genbank ID	Gene Title	Gene Symbol	5 h  FC ± SEM	8 d  FC ± SEM	1.5 mos  FC ± SEM	6 mos    FC ± SEM	Gene sequence
BC011229	flavin containing monooxygenase 1	Fmo1	-1.9 ± 0.3	N.C.	N.C.	N.C.	2
NM_010232	flavin containing monooxygenase 5	Fmo5	-1.9 ± 0.4	N.C.	N.C.	N.C.	3
AI265721	RIKEN cDNA 9030012A22 gene	9030012A22Rik	N.C.	-2.1 ± 0.4	N.C.	N.C.	4
BB251523	aldehyde dehydrogenase 18 family, member A1	Aldh18a1	N.C.	N.C.	-1.8 ± 0.4	N.C.	5
BG076366	RIKEN cDNA E030003E18 gene	Aldh1a1	-2.3 ± 0.5	N.C.	N.C.	N.C.	6
BB193643	carbonic anhydrase 7	Car7	N.C.	-1.9 ± 0.4	N.C.	N.C.	7
NM_053071	cytochrome c oxidase, subunit VIc	Cox6c	N.C.	-1.6 ± 0.4	N.C.	N.C.	8
NM_009945	cytochrome c oxidase, subunit VIIa 2	Cox7a2	N.C.	-1.5 ± 0.4	N.C.	N.C.	9
AF037370	cytochrome c oxidase, subunit VIIa 1	Cox7a1	N.C.	-2.0 ± 0.5	N.C.	N.C.	10
BG075615	COX10 homolog, cytochrome c oxidase assembly protein, heme A: farnesyltransferase (yeast)	Cox10	N.C.	-2.1 ± 0.4	N.C.	N.C.	11
BB218627	cytochrome b, ascorbate dependent 3	Cybasc3	-2.5 ± 0.4	N.C.	N.C.	N.C.	12
NM_007825	cytochrome P450, family 7, subfamily b, polypeptide 1	Cyp7b1	-1.6 ± 0.4	-2.8 ± 0.4	N.C.	N.C.	13
BC021498	COX15 homolog, cytochrome c oxidase assembly protein (yeast)	Cox15	-1.5 ± 0.4	N.C.	N.C.	N.C.	14
BB751459	sulfatase 1	Sulf1	-1.8 ± 0.4	N.C.	N.C.	N.C.	2
BC018333	aldo-keto reductase family 1, member D1	Akr1d1	N.C.	-2.4 ± 0.4	N.C.	N.C.	29
AF047725	cytochrome P450, family 2, subfamily c, polypeptide 38	Cyp2c38	N.C.	-2.0 ± 0.4	N.C.	N.C.	15
BM243793	amine oxidase, flavin containing 1	Aof1	-2.1 ± 0.4	N.C.	N.C.	N.C.	56
NM_054080	aldo-keto reductase family 1, member C20	Akr1c20	N.C.	-4.0 ± 0.5	N.C.	N.C.	1042
AW986246	monoamine oxidase A	Maoa	-1.5 ± 0.3	N.C.	N.C.	N.C.	1405
BC013477	alcohol dehydrogenase 1 (class I)	Adh1	-1.7 ± 0.4	N.C.	N.C.	N.C.	1520
BC012692	aldo-keto reductase family 1, member E1	Akr1e1	-1.9 ± 0.4	N.C.	N.C.	N.C.	1516
BC021619	methionine sulfoxide reductase B2	Msrb2	-1.5 ± 0.4	N.C.	N.C.	N.C.	1569
NM_133809	kynurenine 3-monooxygenase (kynurenine 3-hydroxylase)	Kmo	-2.4 ± 0.4	N.C.	-1.7 ± 0.4	N.C.	1922
AV235415	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide	Ywhae	N.C.	-1.7 ± 0.4	N.C.	N.C.	257
NM_018763	carbohydrate sulfotransferase 2	Chst2	-1.5 ± 0.4	N.C.	-1.5 ± 0.4	-1.5 ± 0.4	4
NM_023850	carbohydrate (keratan sulfate Gal-6) sulfotransferase 1	Chst1	-1.9 ± 0.4	N.C.	N.C.	N.C.	5
