Gene symbol	Fold change	Gene title	UniGene
CXCL12	-405	Chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	Hs.522891
FGL2	-233	Fibrinogen-like 2	Hs.520989
GDF10	-144	Growth differentiation factor 10	Hs.2171
PRG1	-112	Proteoglycan 1, secretory granule	Hs.1908
TMEM16A	-111	Transmembrane protein 16A	Hs.503074
KIT	-104	v-kit Hardy–Zuckerman 4 feline sarcoma viral oncogene homolog	Hs.479754
ALDH1A2	-99	Aldehyde dehydrogenase 1 family, member A2	Hs.435689
HAND1	-71	Heart and neural crest derivatives expressed 1	Hs.152531
LPHN2	-59	Latrophilin 2	Hs.24212
MYOC	-47	Myocilin, trabecular meshwork inducible glucocorticoid response	Hs.436037
CST1	-43	Cystatin SN	Hs.123114
PTGIS	-42	Prostaglandin I2 (prostacyclin) synthase///prostaglandin I2 (prostacyclin) synthase	Hs.302085
ABCG1	-39	ATP-binding cassette, subfamily G (WHITE), member 1	Hs.124649
CHODL	-38	Chondrolectin	Hs.283725
PIP5K1B	-36	Phosphatidylinositol-4-phosphate 5-kinase, type I, beta	Hs.534371
VCAM1	-36	Vascular cell adhesion molecule 1	Hs.109225
BCHE	-36	Butyrylcholinesterase	Hs.420483
CA2	-35	Carbonic anhydrase II	Hs.155097
CXCR4	-32	Chemokine (C-X-C motif) receptor 4	Hs.421986
MEOX2	-31	Mesenchyme homeo box 2 (growth arrest-specific homeo box)	Hs.527007
