Grp1 Mean	Grp1 SEM	Grp2 Mean	Grp2 SEM	Ratio	Direction	p-value	Gene Identifier	Other ID	Gene Name	UG Cluster	LocusLink	Gene ID
4.422187	0.094234	8.109597	0.316922	12.88	Up	0.000367905	NM_019102	213844_at	Homeobox A5	Hs.533357	3202	HOXA5
4.968677	0.33778	8.099907	0.147379	8.76	Up	0.001052237	W60810	223282_at	Teashirt family zinc finger 1	Hs.284217	10194	TSHZ1
5.550433	0.305603	8.654393	0.159483	8.6	Up	0.000842235	AF039698	223283_s_at	Teashirt family zinc finger 1	Hs.284217	10194	TSHZ1
4.395547	0.032049	7.04493	0.218262	6.27	Up	0.000275549	AW137982	235521_at	Homeobox A5	Hs.533357	3202	HOXA5
4.75331	0.266434	7.252287	0.372891	5.65	Up	0.005496444	N21127	227049_at	Transcribed locus	Hs.465433	-	-
4.086807	0.022687	6.208843	0.462299	4.35	Up	0.010147597	NM_021951	220493_at	Doublesex and mab-3 related transcription factor 1	Hs.98586	1761	DMRT1
5.426623	0.574263	7.53953	0.326774	4.33	Up	0.03296809	NM_024972	220898_at	-	-	-	-
6.704663	0.521131	8.778373	0.243655	4.21	Up	0.022663077	BE672313	221959_at	Chromosome 8 open reading frame 72	Hs.154652	90362	C8orf72
4.897453	0.237706	6.838073	0.364601	3.84	Up	0.011171618	BF591611	227978_s_at	Zinc binding alcohol dehydrogenase, domain containing 2	Hs.591065	284273	ZADH2
6.715123	0.137849	4.807373	0.154113	3.75	Down	0.000766888	NM_003385	203798_s_at	Visinin-like 1	Hs.444212	7447	VSNL1
5.372753	0.137451	7.21314	0.213325	3.58	Up	0.001919351	BF591611	227977_at	Zinc binding alcohol dehydrogenase, domain containing 2	Hs.591065	284273	ZADH2
5.698693	0.134222	7.48077	0.346091	3.44	Up	0.008643368	BC033780	1554239_s_at	Zinc binding alcohol dehydrogenase, domain containing 2	Hs.591065	284273	ZADH2
7.772277	0.351079	9.5234	0.212431	3.37	Up	0.012976512	NM_016152	208530_s_at	Retinoic acid receptor, beta	Hs.536687	5915	RARB
7.52957	0.483833	9.245763	0.329928	3.29	Up	0.042789298	AW903934	232668_at	Chromosome 8 open reading frame 72	Hs.154652	90362	C8orf72
10.716267	0.233855	12.395867	0.295085	3.2	Up	0.011152372	NM_003240	206012_at	Pyrroline-5-carboxylate reductase family, member 2	Hs.520187	29920	PYCR2
5.97125	0.148801	7.624437	0.455404	3.15	Up	0.026039642	NM_022783	218858_at	DEP domain containing 6	Hs.112981	64798	DEPDC6
5.908997	0.210242	7.53937	0.259424	3.1	Up	0.008145772	NM_004981	208359_s_at	Potassium inwardly-rectifying channel, subfamily J, member 4	Hs.32505	3761	KCNJ4
7.78644	0.430816	9.394497	0.128196	3.05	Up	0.023218323	NM_000965	205080_at	Retinoic acid receptor, beta	Hs.536687	5915	RARB
4.607617	0.066566	6.204677	0.336159	3.03	Up	0.009586627	BG168924	234977_at	Zinc binding alcohol dehydrogenase, domain containing 2	Hs.591065	284273	ZADH2
4.379477	0.054999	5.95732	0.481586	2.99	Up	0.03122234	AW510657	228904_at	Homeobox B5	Hs.98428	3215	HOXB5
6.01298	0.319742	7.562653	0.282691	2.93	Up	0.022140138	AL832770	1559477_s_at	Meis1, myeloid ecotropic viral integration site 1 homolog (mouse)	-	4211	-
5.970493	0.159159	7.43326	0.224972	2.76	Up	0.006054499	AK026815	212327_at	DKFZP686A01247 hypothetical protein	Hs.335163	22998	DKFZP686A01247
