Probe ID	Symbol	Gene description	Biological function	Fold change	P-value
208737_at	ATP6V1G1	ATPase, H+transporting, lysosomal 13 kDa, V1 subunit G isoform 1	ATP biosynthesis Biosynthesis	1.491	0.00206
213379_at	CL640	Hypothetical protein CL640	ATP biosynthesis Biosynthesis	1.514	0.01234
201193_at	IDH1	Isocitrate dehydrogenase 1 (NADPþ), soluble	Glyoxylate cycle Muscle contraction	1.524	0.00206
212328_at	KIAA1102	KIAA1102 protein	Glyoxylate cycle Muscle contraction	1.528	0.00206
201849_at	BNIP3	BCL2/adenovirus E1B 19 kDa interacting protein 3	Apoptosis	1.536	0.00253
212224_at	ALDH1A1	Aldehyde dehydrogenase 1 family, member A1	Apoptosis	1.537	0.01234
218428_s_at	REV1L	REV1-like (yeast)	Mutagenesis	1.548	0.01234
201273_s_at	SRP9	Signal recognition particle 9 kDa	Mutagenesis	1.548	0.01234
206765_at	KCNJ2	Potassium inwardly rectifying channel, subfamily J, member 2	Ion transport	1.56	0.01234
204041_at	MAOB	Monoamine odxidase B	Electron transport	1.568	0.0003
218263_s_at	LOC58486	Transposon-derived Buster1 transposase-like protein	Electron transport	1.592	0.00206
209656_s_at	TM4SF10	Transmembrane 4 superfamily member 10	Electron transport	1.605	0.01234
213019_at	RANBP6	RAN-binding protein 6	Electron transport	1.638	0.00206
203811_s_at	DNAJB4	DnaJ (Hsp40) homolog, subfamily B, member 4	Protein folding	1.649	0.01234
217801_at	ATP5E	ATP synthase, H+transporting, mitochondrial F1 complex	ATP biosynthesis Cell adhesion	1.662	0.01234
209732_at	CLECSF2	C-type (calcium-dependent, carbohydrate recognition domain) lectin	ATP biosynthesis Cell adhesion	1.694	0.04923
208652_at	PPP2CA	Protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform	Cell cycle regulation	1.697	0.01234
218139_s_at	C14orf108	Chromosome 14 open-reading frame 108	Cell cycle regulation	1.698	0.00206
201597_at	COX7A2	Cytochrome c oxidase subunit VIIa polypeptide 2 (liver)	Electron transport	1.702	0.00206
200777_s_at	BZW1	Basic leucine zipper and W2 domains 1	Translation regulation	1.702	0.00206
217869_at	HSD17B12	Hydroxysteroid (17-beta) dehydrogenase 12	Metabolism	1.706	0.01234
216814_at	ACTR3	ARP3 actin-related protein 3 homolog (yeast)	Cell motility	1.711	0.01234
201005_at	CD9	CD9 antigen (p24)	Cell motility	1.817	0.01234
203789_s_at	SEMA3C	Sema domain, immunoglobulin domain (Ig), short basic domain	Immune response	1.899	0.00992
220556_at	ATP1B4	ATPase, (Na+)/Kþtransporting, beta 4 polypeptide	Transport	1.903	0.00206
200884_at	CKB	creatine kinase, brain	Transport	1.911	0.01234
203186_s_at	S100A4	S100 calcium-binding protein A4	Transport	2.007	0.02918
201744_s_at	LUM	Lumican	Cartilage condensation	2.011	0.03133
215000_s_at	FEZ2	Fasciculation and elongation protein zeta 2 (zygin II)	Signal transduction	2.143	0.01362
213765_at	MFAP5	Microfibrillar associated protein 5	Signal transduction	2.182	0.01234
213564_x_at	LDHB	Lactate dehydrogenase B	Signal transduction	2.557	0.01234
208691_at	TFRC	Transferrin receptor (p90, CD71)	Ion transport	2.746	0.0034
219827_at	UCP3	Uncoupling protein 3 (mitochondrial, proton carrier)	Energy pathways	22.272	0.00206
201010_s_at	TXNIP	Thioredoxin-interacting protein	Signal transduction	21.785	0.02575
203068_at	KIAA0469	KIAA0469 gene product	Signal transduction	21.562	0.01234
