Gene symbol	False discovery rate	Fold Change
CCL20	1.39E-03	17.9
MAFF	6.95E-08	17.4
ABCF2	3.76E-05	15.2
STX11	8.44E-04	13.9
IL8	2.65E-03	11
HIS1	6.95E-08	9.9
GBX2	1.90E-03	9.8
FLJ22059	1.74E-05	9.8
HOXA11	3.43E-05	9.5
SPRY2	3.62E-05	9
SAT	2.37E-06	8.9
APOE	5.44E-03	8.5
DTR	6.95E-08	8
SAT	4.68E-08	7.5
NSPC1	4.45E-04	7.4
HSU53209	1.52E-03	7.2
	2.48E-06	7.1
LHX6	1.33E-04	6.7
DKK1	6.95E-08	6.6
ATF3	6.95E-08	6.6
SAT	2.95E-06	6.4
HIS1	2.00E-04	6.4
IER5	1.48E-08	6.2
LOC56906	6.95E-08	6.2
GADD45B	2.37E-06	6.1
RFPL3S	8.42E-03	6.1
CLN8	3.75E-03	5.9
DUSP6	6.03E-05	5.9
EDN1	1.37E-05	5.7
OSR2	2.95E-06	5.7
ENC1	2.31E-04	5.7
PTGER4	1.88E-06	5.7
H2AFJ	3.67E-04	5.6
DTR	4.94E-07	5.6
PI3	6.75E-05	5.6
THBD	2.77E-04	5.5
SIRT4	8.19E-03	5.4
ZF5128	7.64E-03	5.4
SSI-1	2.21E-03	5.4
KIAA0014	2.77E-04	5.3
HOXC13	1.36E-05	5.3
TUBB	6.95E-08	5.2
AMACR	3.46E-06	5.1
H3FL	7.71E-04	5.1
GADD45A	1.85E-06	5
BAT1	1.11E-03	5
NMA	4.94E-07	5
	1.21E-06	4.9
FZD7	6.38E-05	4.9
TRO	9.05E-02	4.9
