UniGene	Description	Fold ind.	P-value
Hs.583348	Inhibin-?A (activin A)	1408.55	0.0008
Hs.624	Interleukin 8	421.68	0.0004
Hs.411311	Interleukin 24	314.08	0.0039
Hs.512234	Interleukin 6 (interferon-?2)	140.56	0.0023
Hs.501497	CD70 molecule	129.34	0.0003
Hs.170009	Transforming growth factor-?	115.36	0
Hs.272373	Interleukin 20	49.18	0.0028
Hs.473163	Bone morphogenetic protein 7 (osteogenic protein 1)	43.71	0.0003
Hs.126256	Interleukin 1-?	42.22	0.009
Hs.478275	Tumour necrosis factor (ligand) superfamily, member 10	40.64	0
Hs.591873	Interleukin 7	40.09	0.001
Hs.1573	Growth differentiation factor 5 (cartilage-derived morphogenetic protein-1)	39.81	0.0008
Hs.241570	Tumour necrosis factor (TNF superfamily, member 2)	38.45	0.0003
Hs.181097	Tumour necrosis factor (ligand) superfamily, member 4	32.33	0.0031
Hs.856	Interferon-?	27.76	0.0005
Hs.1722	Interleukin 1-?	19.29	0.0028
Hs.370414	Nodal homolog (mouse)	10.85	0.0012
Hs.211238	Interleukin 1 family, member 9	10.02	0.0011
Hs.960	Interleukin 9	8.06	0.0012
Hs.591402	Colony-stimulating factor 1 (macrophage)	5.98	0.0005
Hs.121507	Bone morphogenetic protein 3 (osteogenic)	5.84	0.0088
