Systematic	Gene Symbol	Description	Entrez Gene	Log Intensity Values M1	A7	A14	C7	C14	O7	O14
GI_19718771-A	ASNS	Homo sapiens asparagine synthetase (ASNS), transcript variant 2, mRNA.	440	?0.1019	?0.0374	0.1849	0.5929	0.0534	?1.0255	?1.8108
GI_21536375-S	ABCA1	Homo sapiens ATP-binding cassette, sub-family A (ABC1), member 1 (ABCA1), mRNA.	19	?0.5192	0.5348	0.6213	0.1887	0.5923	?1.9320	?1.5142
GI_31324542-S	CAMK2N1	Homo sapiens calcium/calmodulin-dependent protein kinase II (CaMKIINalpha), mRNA.	55450	?0.2246	?0.4192	?0.3417	?0.1424	0.1180	1.7298	1.2202
GI_32454742-S	SESN2	Homo sapiens sestrin 2 (SESN2), mRNA.	83667	?0.2094	0.1280	?0.1020	0.3158	0.5667	?1.8970	?1.7065
GI_32895369-I	COL8A1	Homo sapiens collagen, type VIII, alpha 1 (COL8A1), transcript variant 1, mRNA.	1295	?0.4428	0.1210	0.2237	?0.0357	?0.6490	1.6968	1.7090
GI_34147362-S	CHAC1	Homo sapiens ChaC, cation transport regulator homolog 1 (CHAC), mRNA.	79094	?0.2553	0.1101	?0.0950	0.5006	0.4728	?2.3917	?3.0191
GI_34304343-A	PSAT1	Homo sapiens phosphoserine aminotransferase 1 (PSAT1), transcript variant 2, mRNA.	29968	?0.1904	?0.0119	?0.0150	0.3055	0.3759	?1.0343	?1.9438
GI_34335231-S	CKB	Homo sapiens creatine kinase, brain (CKB), mRNA.	1152	?0.1061	0.0640	0.0098	?1.0072	?0.6971	1.6670	1.1553
GI_40317627-S	THBS2	Homo sapiens thrombospondin 2 (THBS2), mRNA.	7058	?0.2273	0.2227	0.2376	0.4389	0.7230	?1.6717	?1.1177
GI_41327717-S	TRIB3	Homo sapiens tribbles homolog 3 (TRIB3), mRNA.	57761	?0.1660	0.0469	0.0306	0.6307	0.7093	?2.2294	?2.7153
GI_4503056-S	CRYAB	Homo sapiens crystallin, alpha B (CRYAB), mRNA.	1410	?0.5427	0.0298	0.4269	?1.2512	?1.5658	1.8900	1.3472
GI_4504548-S	TNC	Homo sapiens tenascin C (hexabrachion) (TNC), mRNA.	3371	?0.7480	0.4149	1.2472	0.7650	0.5521	?2.6035	?0.1086
GI_4504698-S	INHBA	Homo sapiens inhibin, beta A (activin A, activin AB alpha polypeptide) (INHBA), mRNA.	3624	0.3740	?0.2509	?0.3453	0.8710	1.2611	?1.7800	?1.6715
GI_4505862-S	PLAU	Homo sapiens plasminogen activator, urokinase (PLAU), mRNA.	5328	?0.2149	0.0965	?0.0939	0.3283	1.1263	?2.6139	?1.0715
GI_4885390-S	HAS2	Homo sapiens hyaluronan synthase 2 (HAS2), mRNA.	3037	1.0175	0.6149	0.2605	?0.5098	?0.2841	?1.9315	?2.6956
GI_6996017-S	MSC	Homo sapiens musculin (activated B-cell factor-1) (MSC), mRNA.	9242	?0.2468	0.1220	0.0326	0.6070	0.7514	?1.9060	?1.7725
GI_7110718-S	DKK1	Homo sapiens dickkopf homolog 1 (Xenopus laevis) (DKK1), mRNA.	22943	0.3416	?0.4198	?0.3411	?1.4630	?1.3528	1.5285	1.6294
GI_7242221-A	FST	Homo sapiens follistatin (FST), transcript variant FST344, mRNA.	10468	0.0179	?0.0288	?0.0145	0.1460	0.9252	?2.3128	?1.6736
GI_8922262-S	FLJ10159	Homo sapiens hypothetical protein FLJ10159 (FLJ10159), mRNA.	55084	?0.4032	0.4661	0.2950	0.2315	0.5413	?1.9443	?2.0349
GI_9951924-S	CA12	Homo sapiens carbonic anhydrase XII (CA12), mRNA.	771	0.2539	?0.1149	0.0570	0.4061	0.3374	?1.6546	?1.9875
