Probe_ID	Gene Symbol	Gene ID	Gene Name	Regession Coeff	R-squared	Pearson Correlation	p-value
240244_at	Not known	Not known	Not known	0.85	0.58	0.76	0.000
205132_at	ACTC1	70	actin, alpha, cardiac muscle 1	1.02	0.52	0.72	0.000
235004_at	RBM24	221662	RNA binding motif protein 24	1.25	0.52	0.72	0.000
219106_s_at	KBTBD10	10324	kelch repeat and BTB (POZ) domain containing 10	0.73	0.43	0.65	0.000
205177_at	TNNI1	7135	troponin I type 1 (skeletal, slow)	0.75	0.41	0.64	0.000
205054_at	NEB	4703	nebulin	0.80	0.40	0.63	0.000
1552767_a_at	HS6ST2	90161	heparan sulfate 6-O-sulfotransferase 2	0.97	0.36	0.60	0.000
206633_at	CHRNA1	1134	cholinergic receptor, nicotinic, alpha 1 (muscle)	0.99	0.36	0.60	0.000
205940_at	MYH3	4621	myosin, heavy chain 3, skeletal muscle, embryonic	0.55	0.36	0.60	0.000
214121_x_at	PDLIM7	9260	PDZ and LIM domain 7 (enigma)	1.54	0.36	0.60	0.000
222827_s_at	KBTBD10	10324	kelch repeat and BTB (POZ) domain containing 10	0.73	0.36	0.60	0.000
203861_s_at	ACTN2	88	actinin, alpha 2	0.85	0.35	0.60	0.000
205163_at	MYLPF	29895	fast skeletal myosin light chain 2	0.56	0.35	0.59	0.000
230030_at	HS6ST2	90161	heparan sulfate 6-O-sulfotransferase 2	0.94	0.35	0.59	0.000
202222_s_at	DES	1674	desmin	0.92	0.35	0.59	0.000
218678_at	NES	10763	nestin	1.28	0.34	0.59	0.000
203862_s_at	ACTN2	88	actinin, alpha 2	0.87	0.34	0.58	0.000
226096_at	FNDC5	252995	fibronectin type III domain containing 5	0.84	0.34	0.58	0.000
226103_at	NEXN	91624	nexilin (F actin binding protein)	0.96	0.34	0.58	0.000
214357_at	C1orf105	92346	chromosome 1 open reading frame 105	0.67	0.33	0.58	0.000
210395_x_at	MYL4	4635	myosin, light chain 4, alkali; atrial, embryonic	0.79	0.33	0.58	0.000
226884_at	LRRN1	57633	leucine rich repeat neuronal 1	0.73	0.33	0.58	0.000
210088_x_at	MYL4	4635	myosin, light chain 4, alkali; atrial, embryonic	0.78	0.33	0.57	0.000
212654_at	TPM2	7169	tropomyosin 2 (beta)	0.78	0.33	0.57	0.000
212361_s_at	ATP2A2	488	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	1.47	0.31	0.56	0.000
206393_at	TNNI2	7136	troponin I type 2 (skeletal, fast)	0.64	0.31	0.55	0.000
216054_x_at	MYL4	4635	myosin, light chain 4, alkali; atrial, embryonic	0.75	0.30	0.55	0.000
1554640_at	PALM2	114299	paralemmin 2	0.94	0.30	0.55	0.000
