Fold change	Gene title	Gene symbol	Genebank40	Expression
4.14	Stimulated by retinoic acid gene 6	Stra6	NM_009291.1	Up-regulated
2.37	Leucine zipper transcription factor-like 1	Lztfl1	NM_033322.1	Up-regulated
2	Hypermethylated in cancer 1	Hic1	NM_010430.1	Up-regulated
1.73	Xanthine dehydrogenase	Xdh	AV286265	Up-regulated
1.63	Granzyme G	Gzmg	NM_010375.1	Up-regulated
1.63	Purinergic receptor P2X, ligand-gated ion channel 4	P2rx4	AJ251462.1	Up-regulated
1.49	Serine (or cysteine) proteinase inhibitor, clade E, member 2	Serpine2	NM_009255.1	Up-regulated
1.49	Serine (or cysteine) proteinase inhibitor, clade A, member 3G	Serpina3g	BC002065.1	Up-regulated
1.45	Growth factor independent 1	Gfi1	NM_010278.1	Up-regulated
1.45	Glucosaminyl (N-acetyl) transferase 2, I-branching enzyme	Gcnt2	BM236768	Up-regulated
1.44	Transglutaminase 2, C polypeptide (n=2)	Tgm2	BB550124	Up-regulated
1.42	Tribbles homolog 2 (Drosophila)	Trib2	BC027159.1	Up-regulated
1.38	Leukocyte immunoglobulin-like receptor, subfamily B, member 4	Lilrb4	U05264.1	Up-regulated
1.35	Sprouty-related, EVH1 domain containing 2	Spred2	AV229054	Up-regulated
1.35	GTPase, IMAP family member 3	Gimap3	NM_031247.1	Up-regulated
?1.26	CD44 antigen	Cd44	BC005676.1	Down-regulated
?1.26	Interleukin 7 receptor	Il7r	NM_008372.2	Down-regulated
?1.31	Asparagine synthetase (n=2)	Asns	BC005552.1	Down-regulated
?1.32	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4	St8sia4	NM_009183.1	Down-regulated
?1.39	Beta galactoside alpha 2,6 sialyltransferase 1	St6gal1	BG075800	Down-regulated
?1.42	Inducible T-cell co-stimulator (n=2)	Icos	NM_017480.1	Down-regulated
?1.42	Membrane-spanning 4-domains, subfamily A, member 4C	Ms4a4c	NM_022429.1	Down-regulated
?1.45	Selectin, lymphocyte (n=2)	Sell	M36005.1	Down-regulated
?1.49	Prion protein (n=2)	Prnp	NM_011170.1	Down-regulated
?1.50	RIKEN cDNA 1190002H23 gene (n=2)	1190002H23Rik	BB408123	Down-regulated
?1.56	Syndecan binding protein (syntenin) 2	Sdcbp2	BC005556.1	Down-regulated
?1.61	Glutamic pyruvate transaminase (alanine aminotransferase) 2	Gpt2	BI648645	Down-regulated
?1.63	Interleukin 10	Il10	NM_010548.1	Down-regulated
?1.64	Palmitoyl-protein thioesterase precursor	ppt	AF087568.1	Down-regulated
?1.69	Cystathionase (cystathionine gamma-lyase)	Cth	BC019483.1	Down-regulated
?1.81	Interleukin 18 receptor 1	Il18r1	NM_008365.1	Down-regulated
?1.95	Plexin C1 (n=2)	Plxnc1	BB765457	Down-regulated
?2.02	Interleukin 24	Il24	AF333251.1	Down-regulated
?2.11	Hemogen	Hemgn	NM_053149.1	Down-regulated
?2.23	Killer cell lectin-like receptor subfamily C, member 1 /// member 2	Klrc1 /// Klrc2	AF106008.1	Down-regulated
?2.25	Semaphorin 4A (n=2)	Sema4a	NM_013658.1	Down-regulated
?4.23	Lamin A	Lmna	NM_019390.1	Down-regulated
