Probe ID	Symbol	Function	Fold changea 3 days  (average)	Exp 1	Exp 2	Fold changea 8 days  (average)	Exp 1	Exp 2	5 CpG  island (CGI)
D21063_at	MCM2	Cell cycle	-14.4	~-19.2	-9.5	-22.4	~-24.4	~-20.4	CGI
X51688_at	CCNA2	Cell cycle	-11.3	~-11.2	~-11.3	-11.15	~-12.7	-9.6	CGI
X65550_at	MKI67	Cell cycle	-5.5	~-4.1	~-6.8	-6.6	~-4.9	~-8.3	CGI
X85137_s_at	KNSL1	Cell cycle	-3.1	-3.9	-2.2	-4.7	-4.4	-5	N
L25876_at	CDKN3	Cell cycle	-4.4	-4.8	-3.9	-4.05	-4	-4.1	N
L36033_at	CDF1	Cytokine	-1.8	-1.4	-2.1	-8.6	~-8.5	-8.7	CGI
X62534_s_at	HMG2	Nuclear protein	-3.9	-4	-3.7	-5.3	-5.2	-5.4	CGI
D82345_at	TMSNB	Thymosin f	-4.2	-3.5	-4.9	-7	~-8.0	-6	N
U74612_at	FOXM1	Transcription factor	-7.9	-9.2	-6.6	-9	-11.6	-6.4	CGI
U61145_at	EZH2	Transcription factor	-4.3	~-5.4	-3.1	-6.65	~-6.1	~-7.2	CGI
D14657_at	KIAA0101	Unknown function	-3	-3.6	-2.4	-4.85	-5.1	-4.6	N
