Genbank	Gene name	Gene description	Expression ratios wt inj.	Expression ratios D1	Expression ratios D2	Expression ratios D3
X03690	Igh-6	immunoglobulin heavy chain 6 (heavy chain of IgM)	1.3	3.3	2.9	5
X58251	Col1alpha2	procollagen. type I. alpha 2	0.9	2	3.3	4.2
AA170663	Igh-VJ558	immunoglobulin heavy chain (J558 family)	1.2	2.2	3.7	3
M92649	Nos2	nitric oxide synthase 2. inducible. macrophage	1.4	1.9	2.1	2.8
AA162879	Sdf1	chemokine (C-X-C motif) ligand 12	1.1	2	2.1	2.6
AF021345	Selp	selenoprotein P	1.1	2.7	2.3	2.5
U04674	Lig1	ligase I. DNA. ATP-dependent	1.4	2.1	1.3	2.4
D16503	Lef-1	lymphoid enhanced factor 1	0.9	1.4	1.3	2.4
L11332	Cd38	CD38 antigen	1.1	1.8	2.4	2.3
AA066782	Spp1	secreted phosphoprotein 1	0.9	2.2	1.7	2.3
D43769	Xcl1	chemokine (C motif) ligand 1	1	1.5	1.5	2.2
AI325836	Sepp1	selenoprotein P. plasma. 1	1.1	3.2	3	2.2
AF059029	Camk2d	calcium/calmodulin-dependent protein kinase II. delta	1.2	1.7	1.6	2.2
X70423	Igh-4	immunoglobulin heavy chain 4 (serum IgG1)	1.3	2.2	1.2	2.1
Z31556	Cct3	chaperonin subunit 3 (gamma)	1.1	1.7	1.6	2
AA170626	Igj	immunoglobulin joining chain	0.9	1.9	2.3	2
AF067774	Bcl3	B-cell leukemia/lymphoma 3	1	1.2	1.4	1.9
AF114258	Foxo1	forkhead box O1	0.8	1.5	1.2	1.9
D17556	Hspa9a	heat shock protein. A	0.9	1.4	1.3	1.9
L07607	Mif	macrophage migration inhibitory factor	0.8	1.3	1.2	1.9
Z11974	Mrc1	mannose receptor. C type 1	0.8	1.7	1.4	1.9
AA002476	Copz2	coatomer protein complex. subunit zeta 2	1	1.3	1.4	1.9
AB014494	Arntl	aryl hydrocarbon receptor nuclear translocator-like	1	1.2	1.2	1.8
M30856	Il2ra	interleukin 2 receptor. alpha chain	1	1.9	1.6	1.8
D17556	Hspa9a	heat shock protein. A	1	2.1	1.9	1.7
AA124794	Il7R	interleukin 7 receptor	0.9	1.9	1.2	1.7
X67809	Ppicap	peptidylprolyl isomerase C-associated protein	1.2	2.6	2.1	1.7
D13546	Pola2	polymerase (DNA directed). alpha 2	0.8	2.5	1.3	1.7
AA161821	Vpreb3	pre-B lymphocyte gene 3	0.9	1.1	1.4	1.6
X74266	Pla2g2a	phospholipase A2. group IIA (platelets. synovial fluid)	1.1	1.3	1	1.6
D90374	Apex1	apurinic/apyrimidinic endonuclease 1	0.9	1.3	1.6	1.6
AF041060	Grpel2	GrpE-like 2. mitochondrial	1	1.6	1.2	1.6
U43206	Pbp	phosphatidylethanolamine binding protein	0.8	1.5	1.3	1.6
D00613	Mglap	matrix gamma-carboxyglutamate (gla) protein	1.2	2.7	1.7	1.6
M83749	Ccnd2	cyclin D2	1	1.6	1.4	1.5
U08020	Col1a1	procollagen. type I. alpha 1	1.1	1.2	1.7	1.5
M36829	Hspcb	heat shock protein 1. beta	0.9	1.4	1.7	1.5
X53476	Hmgn1	high mobility group nucleosomal binding domain 1	0.9	1.1	1.1	1.5
M20625	Cyct	cytochrome c. testis	0.8	1.4	1.7	1.4
AA170669	Prdx1	peroxiredoxin 1	0.9	1.4	1.2	1.4
Y00225	Rpl3	ribosomal protein L3	0.9	1.5	1.5	1.4
AJ242663	Ctsz	cathepsin Z	0.8	1.3	1.2	1.3
L00039	c-myc	myelocytomatosis oncogene	0.8	1.4	1.2	1.3
