Fold change (microarray)	Fold change (real-time PCR)	Gene	Description	Functiona	NF-?B–binding sites
4.8	4.2	MYC	V-myc myelocytomatosis viral oncogene homologue (avian)	Regulation of apoptosis	1
2.3	ND	SNCA	Synuclein, ?	Anti	1
2.1	ND	PROK2	Prokineticin 2	Anti	1
1.7	2.9	IKBKG	Inhibitor of ?-light polypeptide gene enhancer in B cells, kinase ?	Pro	1
1.6	ND	PBEF	Pre–B cell colony–enhancing factor 1	Anti	1
1.6	ND	BNIP1	Bcl2/adenovirus E1B 19-kD interacting protein 1	Anti and pro	2
1.5	ND	MAPK14	Mitogen-activated protein kinase 14	Anti	2
1.5	ND	MYB	V-myb myeloblastosis viral oncogene homologue (avian)	Regulation of apoptosis	1
2.1	ND	PDCD8	Programmed cell death 8	Pro	0
2	ND	HRK	Harakiri, Bcl2-interacting protein	Pro	0
1.8	ND	HTATIP2	HIV-1 Tat interactive protein 2	Anti	0
1.7	ND	BCAP31	B cell receptor–associated protein 31	Apoptosis	0
1.6	ND	PLAGL1	Pleiomorphic adenoma genelike 1	Pro	0
1.6	ND	BAX	Bcl2-associated X protein	Pro	0
1.6	ND	P8	P8 protein	Pro	0
1.6	ND	BAG2	Bcl2-associated athanogene 2	Apoptosis	0
1.6	ND	MRPS30	Mitochondria ribosomal protein S30	Apoptosis	0
1.5	ND	TNFRSF6	TNF receptor superfamily, member 6	Anti	0
?3.0	ND	SFRP1	Secreted frizzled rp1	Anti	2
?3.0	ND	CD24	CD24 antigen	Pro	1
?2.1	ND	FLI1	Friend leukemia virus integration 1	Cell death	1
?2.0	ND	RUNX3	Runt-related transcription factor 3	Apoptosis	2
?1.6	ND	PSEN1	Presenilin 1	Anti	1
?1.6	ND	CDC2L2	Cell division cycle 2–like 2	Apoptosis	1
?1.6	?3.6	DUSP6	Dual specificity phosphatase 6	Apoptosis	1
?3.0	ND	TGF-?1	Transforming growth factor ?1	Anti	0
?2.1	ND	Bcl2	B cell CLL/lymphoma 2	Anti	0
?1.9	ND	PHLDA2	Pleckstrin homology-like DA2	Apoptosis	0
?1.9	ND	AKT1	V-akt murine thymoma viral oncogene	Anti	0
?1.7	ND	TIA1	RNA-binding protein	Apoptosis	0
?1.8	ND	PTPN6	Protein tyrosine phosphatase N6	Apoptosis	0
?1.7	ND	PRKCZ	Protein kinase C, ?	Anti	0
?1.7	ND	MCL1	Bcl-2 related protein	Anti and pro	0
1.7	2.3	IRAK1	IL-1 receptor-associated kinase 1	NF-?B pathway	0
